Block,Time Block,BSIUL,CHAMERA3,JHAJJAR,CHAMERA2,DHAULIGNGA,BRBCL,DULHASTI,DADRT2,FSTPP I & II,CHAMERA1,KGSU3AND4,KISHANGANGA,KHSTPP-II,KHSTPP-I,KKNP,KGSU1AND2,KOLDAM,KUDGI,KOTESHWR,KKNPPU2,MAPS,RAPPC,NNTPP,NAPP,NTPL,PARBATI3,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,SALAL,SEWA2,RIHAND3,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,RSTPSU7,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,TALA,TALST2,TANAKPUR,TANDA2,TelanganaSTPP,ANTA_CRF,UNCHAHAR2,URI,ANTA_RF,TEHRI,UNCHAHAR1,VALLURNTECL,ANTA_LF,UNCHAHAR4,URI2,ANTA_GF,UNCHAHAR3,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,12.54,30.85,381.95,42.53,38.85,19.23,51.73,653.85,13.75,40.54,0,2.77,142.62,42.61,0,0,5.15,0,37.16,0,0,58.21,0,43.6,0,20.27,0,0,0,160.7,0,3.4,0,80.47,16.7,122.71,117.05,362.45,69.25,0,0,0,89.9,0.43,0,10.04,0,10.47,0,0,0,39.554,37.16,0,51.12,19.41,0,0,0,34.67,0,24.79,0,0,0,0,0,0,76.68,0,0,0,0,0,0

2,00:15-00:30,12.54,30.85,381.95,42.53,38.85,19.24,51.73,653.85,13.75,40.54,0,2.77,142.62,42.61,0,0,5.15,0,37.16,0,0,58.21,0,43.6,0,20.27,0,0,0,160.7,0,3.4,0,80.47,16.7,122.71,117.05,362.45,69.25,0,0,0,89.9,0.43,0,10.04,0,10.47,0,0,0,39.554,37.16,0,51.12,19.41,0,0,0,34.67,0,24.79,0,0,0,0,0,0,76.68,0,0,0,0,0,0

3,00:30-00:45,12.54,30.85,381.95,42.53,38.85,19.24,51.73,653.85,13.75,40.54,0,2.77,142.62,42.61,0,0,5.15,0,37.16,0,0,58.21,0,43.6,0,20.27,0,0,0,160.7,0,3.4,0,80.47,11.14,122.71,117.05,362.45,69.25,0,0,0,89.9,0.43,0,10.04,0,10.47,0,0,0,38.135115681,31.85,0,51.12,19.41,0,0,0,22.74,0,24.79,0,0,0,0,0,0,76.68,0,0,0,0,0,0

4,00:45-01:00,12.54,30.85,381.95,42.53,38.85,19.24,51.73,653.85,13.75,40.54,0,2.77,142.62,42.61,0,0,5.15,0,37.16,0,0,58.21,0,43.6,0,20.27,0,0,0,160.7,0,3.4,0,80.47,11.14,122.71,117.05,362.45,69.25,0,0,0,89.9,0.43,0,10.04,0,10.47,0,0,0,38.135115681,31.85,0,51.12,19.41,0,0,0,22.74,0,24.79,0,0,0,0,0,0,76.68,0,0,0,0,0,0

5,01:00-01:15,6.27,30.85,381.95,42.53,38.85,19.24,51.73,653.85,13.75,40.54,0,2.77,142.62,42.61,0,0,5.15,0,37.16,0,0,58.21,0,43.6,0,16.89,0,0,0,160.7,0,3.4,0,80.47,11.14,122.71,117.05,362.45,69.25,0,0,0,89.9,0.43,0,10.04,0,10.47,0,0,0,38.135115681,31.85,0,51.12,19.41,0,0,0,23.45,0,24.79,0,0,0,0,0,0,76.68,0,0,0,0,0,0

