Column1,Block,NR/2025/24753/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3733,NER/2024/2820/A/48584,NR/30092023/31122025/SH-07,NR/2024/24508/A/48628,NR/2025/24740/C,NR/2025/24742/C,NR/2025/24743/C,NR/2024/24507/A/48629,NR/2024/24614/A/48627,GNA/WR/2025/01/01/8625,NR/2024/24435/A/48363,GNA/NR/2025/01/01/5531,NR/2024/24418/A/48351,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/2024/24566/A/48352,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,NR/2024/24434/A/48368,NR/2025/24752/C,NR/2025/24765/C,SR/2024/15456/A/48371,NR/2025/24751/C,WR/2024/25501/A/48590,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,Total
,,SJVNL,NDMC,NDMC,NDMC,IEXL,IEXL,APPCPL,BAWANA_GAS,NVVNL,TPDDL,NVVNL,NVVNL,NVVNL,NVVNL,TPTCL,IEXL,PXIL,ITCLH,PUNJAB,HPXL,NDMC,IEXL,DELHI,IEXL,IEXL,SJVNL,HPXL,IEXL,SJVNL,APPCPL,MANIKARAN,APPCPL,IEXL,HPXL,
,,NA,NA,NA,NA,MP_State,ODISHA_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,KARNATAKA_STATE,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,TELANGANA_State,HIMACHAL_STATE,NA,NA,UTTARPRADESH_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,
,,RSRPL_BKN,JPL2,RKM_POWER,RKM_POWER,JP_BINA,NBVLIPP,BYPL,BAWANA_GAS,TRN_ENERGY,JHAJJAR,JIPL,TRN_ENERGY,JIPL,TRN_ENERGY,BYPL,NSLSUGARALAND,JPNIGRIE_JNSTPP,ITCWIND,BAWANA_GAS,SKS_Raigarh,SKS_Raigarh,NSLKSLWPRTY,CHANJUII,SKS_Raigarh,TESPL_BKN2,BCMLUH,JPNIGRIE_JNSTPP,BYPL,TPSL_BKN2,BRPL,BRPL,BYPL,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,GOA_State,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,BRPL,BRPL,Manipur_Ben,HARYANA,NDMC,TPDDL,NDMC,NDMC,NDMC,NDMC,TPC_MSEB,MES_Delhi,BRPL,ITCLH,PUNJAB,BRPL,NDMC,MES_Delhi,TPDDL,BRPL,MES_Delhi,NDMC,BYPL,TANGEDCO,NDMC,GOA_Beneficiary,AEML,AEML,BRPL,BRPL,
,,North-North,West-North,West-North,West-North,West-North,East-North,North-East-North East,North-North,West-North,North-North,East-North,West-North,East-North,West-North,North-West,South-West-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,West-North,North-West-South,North-North,North-West,North-West,North-West,West-North,West-North,
1,00:00-00:15,0,28.68,28.68,28.68,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,375.71999999999997

2,00:15-00:30,0,28.68,28.68,28.68,47.8,20.07,0,0,8.69,0,0,0,17.21,0,0,9.56,28.68,0.38,0,19.12,8.6,5.74,1.46,47.8,0,0,0,0,0,0,0,0,26.77,47.8,375.71999999999997

