Block,Time Block,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,DADRI_RF,DADRI_LF,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,VALLURNTECL,URI,UNCHAHAR4,URI2,ANTA_LF,AURY_LF,DADRI_GF,ANTA_RF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,BRBCL,BSIUL,CHAMERA1,KGSU1AND2,JHAJJAR,DHAULIGNGA,FSTPP I & II,KGSU3AND4,DADRT2,DULHASTI,CHAMERA3,CHAMERA2,TALA,TEHRI,UNCHAHAR2,UNCHAHAR1,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR3,NLCTS2EXP,NTPL,PARBATI2,NNTPP,SIMHST2,RAMPUR,RIHAND3,SINGRAULI,RAPPC,SALAL,SEWA2,PARBATI3,RIHAND2,RIHAND1,RAPPB,SASAN,RSTPSU1TO6,SINGRAULI_HYDRO,RAPPD,RSTPSU7,SIMHST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,2,32.49,0,0,0,0,0,0,0,0,0,0,19.26,6.28,40.59,0,331.79,10.54,14.86,0,437.85,57.3,33.73,47,11.32,19.63,42.38,21.13,5.32,0,6.04,0,26.66,0,0,32.57,0,0,6.26,92.25,144.22,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

2,00:15-00:30,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,2,32.49,0,0,0,0,0,0,0,0,0,0,19.26,6.28,40.59,0,331.79,10.54,14.86,0,437.85,57.3,33.73,47,11.32,9.58,42.38,21.13,5.32,0,6.04,0,26.66,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

3,00:30-00:45,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,2,32.49,0,0,0,0,0,0,0,0,0,0,17.51,12.56,40.59,0,331.79,10.54,14.86,0,437.85,57.3,33.73,47,11.32,9.58,42.38,21.13,5.32,0,6.04,0,26.66,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

4,00:45-01:00,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,2,32.49,0,0,0,0,0,0,0,0,0,0,15.84,12.56,40.59,0,331.79,10.54,14.86,0,437.85,57.3,33.73,47,11.32,9.81,42.38,21.13,5.32,0,6.04,0,26.66,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

5,01:00-01:15,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.73,32.49,0,0,0,0,0,0,0,0,0,0,15.73,12.56,40.59,0,331.79,10.54,14.86,0,388.55,57.3,33.73,47,11.32,9.81,36.8,17.82,5.32,0,6.04,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

6,01:15-01:30,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.73,32.49,0,0,0,0,0,0,0,0,0,0,15.04,12.56,40.59,0,331.79,10.54,14.86,0,388.55,57.3,33.73,47,11.32,9.81,36.8,17.82,5.32,0,6.04,0,22.99,0,0,32.57,0,0,6.26,92.25,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

7,01:30-01:45,0,0,159.85,0,24.44,0,0,43.85,0,10.04,142.81,0,0,0,9.24,8.31,0,35.61,1.64,32.49,0,0,0,0,0,0,0,0,0,0,13.92,12.56,40.59,0,331.79,10.54,14.86,0,388.55,57.3,33.73,47,10.76,9.81,42.38,21.03,5.32,0,0.49,0,26.42,0,0,32.57,0,0,6.26,92.17,144.78,66.51,81.12,18.2,32.51,119.97,93.63,0,398.68,0,0.94,20.86,0,0,0,0,0,0,0

