Block,Time,RAPPC,DADRI_CRF,PARBATI3,TANAKPUR,UNCHAHAR4,JHAJJAR,DADRT2,AURY_LF,SINGRAULI,AURY_GF,RIHAND3,UNCHAHAR1,SEWA2,SINGRAULI_HYDRO,CHAMERA1,KOLDAM,RIHAND2,UNCHAHAR2,AURY_CRF,KISHANGANGA,RAMPUR,ANTA_LF,URI,TANDA2,RAPPB,URI2,DULHASTI,SALAL,BSIUL,ANTA_GF,ANTA_RF,RIHAND1,AURY_RF,DHAULIGNGA,NJPC,ANTA_CRF,CHAMERA2,DADRI_RF,NAPP,KOTESHWR,DADRI_LF,TEHRI,DADRI_GF,UNCHAHAR3,CHAMERA3,SASAN,BRBCL,KHSTPP-II,TALA,FSTPP I & II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,65.488818,0.000000,18.369994,10.487803,2.976288,406.894208,663.371201,0.000000,126.044448,0.000000,125.774752,21.101718,0.000000,1.105605,40.597031,9.835863,119.802816,42.625549,0.000000,8.033715,6.497280,0.000000,30.837811,5.160923,0.000000,37.247250,56.210797,74.988973,0.000000,0.000000,0.000000,93.484284,0.000000,41.934007,173.339836,0.000000,46.715035,0.000000,47.431509,39.974024,0.000000,67.539152,0.000000,26.621866,33.549463,266.565600,14.448000,137.919163,9.486557,13.118784,30.986240,0,0,0,0,0

2,00:15-00:30,65.488818,0.000000,18.369994,10.487803,2.976288,406.894208,663.371201,0.000000,126.044448,0.000000,125.774752,21.101718,0.000000,1.105605,40.597031,9.835863,119.802816,42.625549,0.000000,8.033715,6.497280,0.000000,30.837811,5.160923,0.000000,37.247250,56.210797,74.988973,0.000000,0.000000,0.000000,93.484284,0.000000,41.934007,173.339836,0.000000,46.715035,0.000000,47.431509,39.974024,0.000000,67.539152,0.000000,26.621866,33.549463,266.565600,14.448000,137.919163,9.684783,13.118784,30.986240,0,0,0,0,0

3,00:30-00:45,65.488818,0.000000,18.369994,10.487803,2.976288,406.894208,663.371201,0.000000,126.044448,0.000000,125.774752,21.101718,0.000000,1.105605,40.597031,9.835863,119.802816,42.625549,0.000000,8.033715,6.497280,0.000000,30.837811,5.160923,0.000000,37.247250,56.210797,74.988973,0.000000,0.000000,0.000000,93.484284,0.000000,41.934007,173.339836,0.000000,46.715035,0.000000,47.431509,39.974024,0.000000,67.539152,0.000000,26.621866,33.549463,266.565600,14.448000,137.919163,9.514875,13.118784,30.986240,0,0,0,0,0

4,00:45-01:00,65.488818,0.000000,18.369994,10.487803,2.976288,406.894208,663.371201,0.000000,126.044448,0.000000,125.774752,21.101718,0.000000,1.105605,40.597031,9.835863,119.802816,42.625549,0.000000,8.033715,6.497280,0.000000,30.837811,5.160923,0.000000,37.247250,56.210797,74.988973,0.000000,0.000000,0.000000,93.484284,0.000000,41.934007,173.339836,0.000000,46.715035,0.000000,47.431509,39.974024,0.000000,67.539152,0.000000,26.621866,33.549463,266.565600,14.448000,137.919163,9.514875,13.118784,30.986240,0,0,0,0,0

5,01:00-01:15,65.488818,0.000000,18.369994,10.487803,2.976288,406.894208,663.371201,0.000000,126.044448,0.000000,125.774752,21.101718,0.000000,1.105605,40.597031,9.835863,119.802816,42.625549,0.000000,8.033715,6.497280,0.000000,30.837811,5.160923,0.000000,16.930568,56.210797,74.988973,0.000000,0.000000,0.000000,93.484284,0.000000,41.934007,173.339836,0.000000,46.715035,0.000000,47.431509,39.974024,0.000000,67.539152,0.000000,26.621866,33.549463,266.565600,14.448000,137.919163,9.514875,13.118784,30.986240,0,0,0,0,0

