Block,Time,KGSU3AND4,KHSTPP-I,NLCIIST2,PARBATI3,RAMPUR,RIHAND1,RIHAND3,RSTPSU1TO6,UNCHAHAR2,AURY_CRF,DADRI_LF,DADRT2,KKNPPU2,KUDGI,SEWA2,SIMHST1,SINGRAULI,UNCHAHAR4,ANTA_CRF,MAPS,RAPPB,RAPPC,RSTPSU7,SASAN,TelanganaSTPP,URI,URI2,VALLURNTECL,AURY_GF,AURY_LF,DADRI_CRF,DADRI_RF,BRBCL,CHAMERA3,NJPC,RIHAND2,TALA,TEHRI,BSIUL,KISHANGANGA,NLCEXP,NTPL,RAPPD,SALAL,TALST2,TANDA2,ANTA_RF,DADRI_GF,CHAMERA1,CHAMERA2,DHAULIGNGA,DULHASTI,JHAJJAR,KHSTPP-II,KKNP,SINGRAULI_HYDRO,ANTA_LF,KOTESHWR,NAPP,NNTPP,FSTPP I & II,KGSU1AND2,KOLDAM,NLCIIST1,NLCTS2EXP,PARBATI2,SIMHST2,TANAKPUR,UNCHAHAR1,UNCHAHAR3,ANTA_GF,AURY_RF
1,00:00-00:15,0,45.53,0,67.51,6.98,97.23,95.79,0,44.49,0,0,573.92,0,0,12.61,0,143.68,2.3,0,0,0,67.88,0,414,0,50.23,38.1,0,0,0,0,98.41,20,35.03,180.89,124.58,10.58,29.61,13.04,8.63,0,0,19.14,76.69,0,5.7,49.86,0,42.22,48.81,32.83,58.69,605.67,148.3,0,1.13,0,10.43,25.51,0,20.8,0,7.19,0,0,41.33,0,8.33,21.64,27.68,0,80.77

2,00:15-00:30,0,45.53,0,67.51,6.98,97.23,95.79,0,44.49,0,0,573.92,0,0,12.61,0,143.68,2.3,0,0,0,67.88,0,414,0,50.23,38.1,0,0,0,0,98.41,20,35.03,180.89,124.58,10.58,29.61,13.04,8.63,0,0,19.14,76.69,0,5.7,49.86,0,42.22,48.81,32.83,58.69,605.67,148.3,0,1.13,0,10.43,25.51,0,20.8,0,7.19,0,0,41.33,0,8.33,21.64,27.68,0,80.77

3,00:30-00:45,0,45.53,0,67.51,6.98,97.23,95.79,0,44.49,0,0,573.92,0,0,12.61,0,143.68,2.3,0,0,0,67.88,0,414,0,50.23,38.1,0,0,0,0,98.41,20,35.03,180.89,124.58,10.58,29.61,13.04,8.63,0,0,19.14,76.69,0,5.7,49.86,0,42.22,48.81,32.83,58.69,605.67,148.3,0,1.13,0,10.43,25.51,0,20.8,0,7.19,0,0,41.33,0,8.33,21.64,27.68,0,80.77

4,00:45-01:00,0,45.53,0,67.51,6.98,97.23,95.79,0,44.49,0,0,573.92,0,0,12.61,0,143.68,2.3,0,0,0,67.88,0,414,0,50.23,38.1,0,0,0,0,98.41,20,35.03,180.89,124.58,10.58,29.61,13.04,8.63,0,0,19.14,76.69,0,5.7,49.86,0,42.22,48.81,32.83,58.69,605.67,148.3,0,1.13,0,10.43,25.51,0,20.8,0,7.19,0,0,41.33,0,8.33,21.64,27.68,0,80.77

5,01:00-01:15,0,45.53,0,67.51,6.98,97.23,95.79,0,45,0,0,573.92,0,0,12.61,0,143.68,2.3,0,0,0,67.88,0,414,0,50.23,38.1,0,0,0,0,98.41,20,35.03,180.89,124.58,10.58,29.61,13.04,8.63,0,0,19.14,76.69,0,5.7,51.17,0,42.22,48.81,32.83,58.69,605.67,148.3,0,1.13,0,10.43,25.51,0,20.8,0,7.19,0,0,41.33,0,5.13,21.64,27.68,0,80.77

