Block,Time Block,DADRT2,KOTESHWR,KOLDAM,BSIUL,BRBCL,CHAMERA1,KHSTPP-I,JHAJJAR,KGSU1AND2,KHSTPP-II,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,KISHANGANGA,KKNPPU2,KKNP,CHAMERA3,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,UNCHAHAR2,URI,CHAMERA2,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,NLCEXP,MAPS,NJPC,NAPP,KUDGI,TEHRI,TelanganaSTPP,TALST2,TANAKPUR,TALA,TEHRIPSP,TANDA2,SASAN,SINGRAULI_HYDRO,SIMHST1,SIMHST2,RSTPSU7,SINGRAULI,SALAL,SEWA2,PARBATI3,RIHAND2,PARBATI2,RAPPB,NLCIIST1,RIHAND1,NLCIIST2,RAPPD,RSTPSU1TO6,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,RIHAND3,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,532.29,20.18,10.29,12.6,16.56,40.73,32.84,496.42,0,136.85,0,42.37,18.67,56.81,8.42,0,0,33.91,20.18,2.31,0,36.87,27.05,43.11,48.54,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,23.16,0,28.22,0,0,9.65,0.85,50.24,6.1,404.5,1.18,0,0,0,148.11,82.53,0,75.75,92.04,56.09,0,0,61.35,0,24.78,0,0,6.8,0,65.92,89.26,0,0,0,0,0,0

2,00:15-00:30,532.29,20.18,10.29,12.6,13.33,40.73,32.84,496.42,0,136.85,0,42.37,18.67,56.81,8.42,0,0,33.91,20.23,2.31,0,36.87,27.05,43.11,48.54,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,23.16,0,28.22,0,0,9.65,0.85,50.24,6.1,404.66,1.18,0,0,0,148.11,82.53,0,75.75,92.04,56.09,0,0,61.35,0,24.78,0,0,6.8,0,65.92,89.26,0,0,0,0,0,0

3,00:30-00:45,532.29,20.18,10.29,12.6,12.93,40.73,32.84,496.42,0,136.85,0,42.37,18.67,38.4,8.42,0,0,33.91,20.23,2.31,0,36.87,27.05,43.11,49.08,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,23.16,0,28.22,0,0,9.65,0.85,50.24,6.1,404.66,1.18,0,0,0,148.11,82.53,0,75.75,92.04,56.09,0,0,61.35,0,24.78,0,0,6.8,0,65.92,89.26,0,0,0,0,0,0

4,00:45-01:00,532.29,20.18,10.29,12.6,11.87,40.73,32.84,496.42,0,136.85,0,42.37,18.67,38.4,8.42,0,0,33.91,20.23,2.31,0,36.87,27.05,43.11,49.08,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,23.16,0,28.22,0,0,9.65,0.85,50.24,6.1,404.66,1.18,0,0,0,148.11,82.53,0,75.75,92.04,56.09,0,0,61.35,0,24.78,0,0,6.8,0,65.92,89.26,0,0,0,0,0,0

5,01:00-01:15,532.29,20.18,10.29,12.6,12.19,40.73,32.84,496.42,0,136.85,0,42.37,18.67,38.4,8.42,0,0,33.91,20.23,2.31,0,36.87,27.05,43.11,49.08,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.05,23.16,0,28.22,0,0,9.65,0.85,50.24,6.1,404.66,1.18,0,0,0,148.11,82.53,0,75.75,92.04,56.09,0,0,61.35,0,24.78,0,0,6.8,0,65.92,89.26,0,0,0,0,0,0

