Block,Time,NR/01122023/07122023/HP-18,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_35,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2020_06,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,WR/01102023/30052048/L_NR_2022_10,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01122023/15122023/HP-15
1,00:00-00:15,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.240000,0,0,0.000000,23.68,23.91,0.000000,0,0.000000,0.000000,0,114.390000,23.91,48.06,0,71.520000,81.67,25.950000,24.030000,192.260000,0,25.950000,48.060000,0,81.67,71.73,7.01,0,96.130000,57.250000

2,00:15-00:30,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.240000,0,0,0.000000,22.84,23.39,0.000000,0,0.000000,0.000000,0,114.390000,23.38,48.06,0,71.520000,80.67,25.950000,24.030000,173.030000,0,25.950000,48.060000,0,80.67,70.16,7.01,0,96.130000,57.250000

3,00:30-00:45,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.240000,0,0,0.000000,22.51,22.94,0.000000,0,0.000000,0.000000,0,114.390000,22.93,48.06,0,71.520000,79.34,25.950000,24.030000,173.030000,0,25.950000,48.060000,0,79.34,68.81,7.01,0,96.130000,57.250000

4,00:45-01:00,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.240000,0,0,0.000000,21.34,22.38,0.000000,0,0.000000,0.000000,0,114.390000,22.37,48.06,0,71.520000,78.34,25.950000,24.990000,153.810000,0,25.950000,48.060000,0,78.34,67.13,7.01,0,96.130000,57.250000

5,01:00-01:15,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.320000,0,0,0.000000,19.68,21.83,0.000000,0,0.000000,0.000000,0,114.390000,21.81,48.06,0,71.520000,53.34,25.950000,24.990000,148.690000,0,25.950000,48.060000,0,53.34,65.48,7.01,0,96.130000,57.250000

6,01:15-01:30,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.320000,0,0,0.000000,15.15,20.1,0.000000,0,0.000000,0.000000,0,114.390000,20.1,48.06,0,71.520000,51.67,25.950000,24.990000,148.690000,0,25.950000,48.060000,0,51.67,60.31,7.01,0,96.130000,57.250000

7,01:30-01:45,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,14.22,0.000000,0,0.000000,0.000000,0,114.390000,14.22,48.06,0,71.520000,40.01,25.950000,24.990000,148.690000,0,25.950000,48.060000,0,40.01,42.66,7.01,0,96.130000,57.250000

8,01:45-02:00,122.930000,1.890000,31.720000,0,1.450000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,13.91,0.000000,0,0.000000,0.000000,0,114.390000,13.91,48.06,0,71.520000,39.51,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,39.51,41.73,7.01,0,96.130000,57.250000

9,02:00-02:15,122.930000,1.890000,31.720000,0,1.370000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,10.39,0.000000,0,0.000000,0.000000,0,114.390000,10.38,48.06,0,71.520000,29.33,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,29.33,31.16,7.01,0,96.130000,57.250000

10,02:15-02:30,122.930000,1.890000,31.720000,0,1.370000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,10.21,0.000000,0,0.000000,0.000000,0,114.390000,10.21,48.06,0,71.520000,28.33,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,28.33,30.62,7.01,0,96.130000,57.250000

11,02:30-02:45,122.930000,1.890000,31.720000,0,1.370000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,10.12,0.000000,0,0.000000,0.000000,0,114.390000,10.11,48.06,0,71.520000,26.67,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,26.67,30.35,7.01,0,96.130000,57.250000

12,02:45-03:00,122.930000,1.890000,31.720000,0,1.370000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,9.77,0.000000,0,0.000000,0.000000,0,114.390000,9.78,48.06,0,71.520000,25,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,25,29.32,7.01,0,96.130000,57.250000

13,03:00-03:15,122.930000,1.890000,31.720000,0,1.370000,0,0,0,0,0,1.320000,0,0,0.000000,7.66,8.48,0.000000,0,0.000000,0.000000,0,114.390000,8.47,48.06,0,71.520000,24.67,25.950000,24.030000,148.690000,0,25.950000,48.060000,0,24.67,25.43,7.01,0,96.130000,57.250000

