Block,Time,BSIUL,CHAMERA1,CHAMERA3,CHAMERA2,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,URI2,SINGRAULI_HYDRO,TEHRI,UNCHAHAR4,DHAULIGNGA,JHAJJAR,SEWA2,KISHANGANGA,KOTESHWR,NAPP,NJPC,RAPPB,RAPPC,RIHAND1,DADRT2,DULHASTI,RIHAND2,SALAL,RIHAND3,KOLDAM,PARBATI3,RAMPUR,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,0,42.66,0,0,103.96875,12.4257,0,19.414,42.392196,26.39091,47.472,32.41932,0.89911,42.84,0,36.5917,653.1525,15.804048,0,5.916,39.516,0,0,50.76,92,686.779958,0,118.125,0,123.665625,0,0,0,0,67.332,0,0,0,40.95,0,0,0,39.456,28.496,10.96,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,18.0236,18.140334,29.4,147.515625,27.315,414

2,00:15-00:30,0,42.66,0,0,103.96875,12.4257,0,19.414,42.392196,26.39091,47.472,32.41932,0.89911,42.84,0,36.5917,653.1525,15.804048,0,5.916,39.516,0,0,50.76,92,686.779958,0,118.125,0,123.665625,0,0,0,0,67.332,0,0,0,40.95,0,0,0,39.456,28.496,10.96,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,15.9355,18.140334,29.4,147.515625,27.315,414

3,00:30-00:45,0,42.66,0,0,103.96875,12.4257,0,19.414,42.392196,26.39091,47.472,32.41932,0.89911,34.209,0,36.5917,653.1525,15.804048,0,5.916,39.516,0,0,50.76,92,686.779958,0,118.125,0,123.665625,0,0,0,0,67.332,0,0,0,42,0,0,0,39.456,28.496,10.96,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,15.9355,18.140334,29.4,147.515625,27.315,414

4,00:45-01:00,0,42.66,0,0,103.96875,12.4257,0,19.414,42.392196,26.39091,47.472,32.41932,0.89911,22.806,0,36.5917,653.1525,15.804048,0,5.916,39.516,0,0,50.76,92,686.779958,0,118.125,0,123.665625,0,0,0,0,67.332,0,0,0,42,0,0,0,39.456,28.496,10.96,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,15.9355,18.140334,29.4,147.515625,27.315,414

5,01:00-01:15,0,42.66,0,0,103.96875,12.4257,0,19.414,42.392196,26.39091,47.472,31.897382,0.89911,22.806,0,36.5917,653.1525,15.804048,0,5.916,39.516,0,0,50.76,92,686.779958,0,118.125,0,123.665625,0,0,0,0,67.332,0,0,0,42,0,0,0,39.456,28.496,10.96,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,15.9355,18.140334,29.4,147.515625,27.315,414

