Block,Time,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,JHAJJAR,DULHASTI,UNCHAHAR3,URI2,UNCHAHAR4,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,SEWA2,UNCHAHAR2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,UNCHAHAR1,KOTESHWR,SINGRAULI_HYDRO,RIHAND3,TEHRI,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,32.41932,0,0,0,139.3125,0,118.125,0,15.804048,42.392196,153.6034,92,0,51.1407,39.0888,19.414,35.496,0.9565,123.665625,67.536,42.66,6.5208,41.952,13.1943,85.988,0,0,2.1,0,34.65,0,59.73,0,2.172,0,78.912,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,24.108,15.00135,14.253199,416.25

2,00:15-00:30,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,32.41932,0,0,0,139.3125,0,118.125,0,15.804048,42.392196,153.6034,92,0,51.1407,39.0888,19.414,35.496,0.9565,123.665625,67.536,42.66,6.5208,41.952,13.1943,85.988,0,0,6.3,0,30.45,0,59.73,0,2.172,0,78.912,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,24.108,15.00135,14.253199,416.25

3,00:30-00:45,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,31.6122,0,0,0,139.3125,0,118.125,0,15.804048,42.392196,153.6034,92,0,51.1407,39.0888,19.414,35.496,0.9565,123.665625,67.536,42.66,6.5208,41.952,13.1943,85.988,0,0,10.5,0,26.25,0,59.73,0,2.172,0,78.912,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,24.108,15.00135,14.253199,416.25

4,00:45-01:00,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,31.6122,0,0,0,139.3125,0,118.125,0,15.804048,42.392196,153.6034,92,0,51.1407,39.0888,19.414,35.496,0.9565,123.665625,67.536,42.66,6.5208,41.952,13.1943,85.988,0,0,14.7,0,22.05,0,59.73,0,2.172,0,78.912,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,24.108,15.00135,14.253199,416.25

5,01:00-01:15,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,31.6122,0,0,0,139.3125,0,118.125,0,15.804048,42.392196,153.6034,92,0,51.1407,39.0888,19.414,35.496,0.9565,123.665625,67.536,42.66,6.5208,41.952,13.1943,85.988,0,0,16.8,0,19.95,0,59.73,0,2.172,0,78.912,0,0,0,0,0,0,0,0,0,93.75,0,0,0,0,0,0,0,0,0,0,33.385,98.34375,24.108,15.00135,14.253199,416.25

