Column1,Time,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/9334,NR/01102023/06022042/L_NR_2012_07,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/11/4172,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/11/3573,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/7960,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/04/11/9952,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/5285,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,27,3.83,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,23.67,70.99,0,0,23.67,54.33,0,10.6,54.33,18.33,52.5,9.62,1.92,9.62,0,48.12,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

2,00:15-00:30,0,27,3.83,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,24.17,72.49,0,0,24.17,54.67,0,10.2,54.67,18.67,52.5,9.62,1.92,9.62,0,48.12,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

3,00:30-00:45,0,27,3.83,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,24.67,73.99,0,0,24.67,55,0,9.8,55,24.33,52.5,9.62,1.92,9.62,0,48.12,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

4,00:45-01:00,0,27,3.83,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,25,75,0,0,25,55,0,9.4,55,25.33,52.5,9.62,1.92,9.62,0,48.12,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

5,01:00-01:15,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,25,75,0,0,25,55,0,9.2,55,25.67,52.5,9.62,1.92,9.62,0,0,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

6,01:15-01:30,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,26.17,78.49,0,0,26.17,54.67,0,9,54.67,25.67,52.5,9.62,1.92,9.62,0,0,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

7,01:30-01:45,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,24.83,74.5,0,0,24.84,64,0,7.01,64,25.67,52.5,9.62,1.92,9.62,0,0,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

8,01:45-02:00,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,25,75,0,0,25,65.33,0,7.01,65.33,26,52.5,9.62,1.92,9.62,0,0,4.66,115.09,48.12,8.04,109.72,31.29,0,4.75,100.27,43.75,130.23,27,38.5,2.89,2.89,272.15,0,9.62,7.83

9,02:00-02:15,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,30,90,0,0,30,73.33,0,7.01,73.33,25,0,9.62,1.92,9.62,0,0,4.43,115.09,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.74

10,02:15-02:30,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,30.83,92.5,0,0,30.84,73.33,0,6.81,73.33,24.67,0,9.62,1.92,9.62,0,0,4.43,115.09,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.74

11,02:30-02:45,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,33.5,100.5,0,0,33.5,72.67,0,13.01,72.67,29.66,0,9.62,1.92,9.62,0,0,4.43,115.09,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.74

12,02:45-03:00,0,27,3.73,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,33.33,100,0,0,33.34,72,0,13.01,72,29.66,0,9.62,1.92,9.62,0,0,4.43,115.09,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.74

13,03:00-03:15,0,27,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,33,99,0,0,33,71.33,0,12.81,71.33,29.34,0,9.62,1.92,9.62,0,0,4.43,70.19,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.64

14,03:15-03:30,0,27,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,32.33,97,0,0,32.34,70.67,0,12.61,70.67,29,0,9.62,1.92,9.62,0,0,4.43,70.19,48.12,8.04,0,31.29,0,4.6,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.64

15,03:30-03:45,0,27,3.64,7.68,0,2.89,74.62,0,0,0,0,0,0,0,0,0,0,31.83,95.5,0,0,31.84,76.67,0,10.2,76.67,34.67,0,9.62,1.92,9.62,0,0,4.43,70.19,48.12,8.04,0,31.29,0,4.6,100.27,43.75,112.09,27,0,2.89,2.89,272.15,0,9.62,7.64

16,03:45-04:00,0,27,3.64,7.68,0,2.89,74.62,0,0,0,0,0,0,0,0,0,0,31.17,93.5,0,0,31.16,76,0,10,76,34,0,9.62,1.92,9.62,0,0,4.43,70.19,48.12,8.04,0,31.29,0,4.6,100.27,43.75,112.09,27,0,2.89,2.89,231,0,9.62,7.64

17,04:00-04:15,0,27,3.64,7.68,0,2.89,74.62,0,0,0,0,0,0,0,0,0,0,33,99,0,0,33,80,0,13.01,80,33,0,9.62,1.92,9.62,0,0,4.19,70.19,48.12,8.04,0,31.29,0,4.45,100.27,43.75,112.09,27,0,2.89,2.89,231,0,9.62,7.56

18,04:15-04:30,0,27,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,33.33,100,0,0,33.34,80,0,13.01,80,32.33,0,9.62,1.92,9.62,0,0,4.19,78.67,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.56

19,04:30-04:45,0,27,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,33.17,99.49,0,0,33.17,80,0,20.01,80,31.33,0,9.62,1.92,9.62,0,0,4.19,87.16,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.56

20,04:45-05:00,0,27,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,32.83,98.51,0,0,32.83,80,0,20.01,80,30.67,0,9.62,1.92,9.62,0,0,4.19,95.65,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.56

21,05:00-05:15,0,32,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,32.33,97.01,0,0,32.33,80,0,25.01,80,30,0,9.62,1.92,9.62,0,0,4.19,104.14,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.46

22,05:15-05:30,0,32,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,32,96,0,0,32,80,0,25.01,80,29.33,0,9.62,1.92,9.62,0,0,4.19,112.63,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.46

23,05:30-05:45,0,32,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,31.33,94.01,0,0,31.33,80,0,22.41,80,28.67,0,9.62,1.92,9.62,0,0,4.19,115.09,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,32,0,2.89,2.89,272.15,0,9.62,7.46

24,05:45-06:00,0,32,3.64,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,30.83,92.51,0,0,30.83,80,0,21.61,80,28,0,9.62,1.92,9.62,0,0,4.19,115.09,48.12,8.04,0,31.29,0,4.45,100.27,43.75,130.23,32,0,2.89,2.89,272.15,0,9.62,7.46

25,06:00-06:15,0,32,3.54,7.68,0,2.89,86.82,0,0,0,0,0,0,0,0,0,0,32.5,97.5,2.8,5.22,32.5,80,0.05,16.01,80,30,0,9.62,1.92,9.62,0,0,4.03,115.09,48.12,8.04,0,31.29,0,4.23,100.27,43.75,130.23,27,0,2.89,2.89,272.15,0,9.62,7.37

