Time,Block,NR/2023/13905/C,NR/2023/13679/F,NR/2023/10436/A,NR/2023/13887/D,NR/2023/13898/C,NR/2023/12706/A,NR/2023/12919/F,NR/2023/12923/F,NR/2023/10720/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/10651/A,NR/2023/11712/A,NR/2023/12813/F,NR/2023/13369/F,NR/2023/12661/A,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13913/C,NR/2023/12814/F,NR/2023/10650/A,NR/2023/10786/A,NR/2023/10956/A,NR/2023/10460/A,NR/2023/13053/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10432/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/11266/A,NR/2023/10947/A,NR/2023/10705/A,NR/2023/11953/A,NR/2023/12924/F,NR/2023/13890/D,NR/2023/12917/F,NR/2023/13885/D,NR/2023/11068/A,NR/2023/12920/F,NR/2023/10959/A,NR/2023/13892/D,ER/2023/8568/C,NR/2023/13894/D,ER/2023/8566/C,NR/2023/13884/D,Total
,,TPDDL,IEXL,APPCPL,NVVNL,GBHHPL,HPXL,SHPPBPL,SHPPBPL,KEIPL,MANIKARAN,NVVNL,KEIPL,MANIKARAN,MANIKARAN,SJVNL,NVVNL,PTC,TPTCL,PXIL,MANIKARAN,KEIPL,STATKRAFT,NVVNL,GMRETL,GMRETL,SHPPBPL,SHPPBPL,SHPPBPL,TPTCL,ITCLH,APPCPL,TPTCL,SHPPBPL,GMRETL,TPTCL,APPCPL,KEIPL,KEIPL,SHPPBPL,KEIPL,SHPPBPL,NVVNL,APPCPL,SHPPBPL,NVVNL,TS1PL_BKN,HPXL,TS1PL_BKN,HPXL,NVVNL,Total

,,HIMACHAL PRADESH,JAMMU AND KASHMIR,MEGHALAYA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,NA,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,WEST BENGAL,NA,NA,NA,DELHI,HIMACHAL PRADESH,KERALA,TAMIL NADU,NA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,KERALA,MEGHALAYA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,NA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,DELHI,NA,DELHI,NA,
,,CHANJUII,SAPU1234,Meghalaya_Ben,SORANG_HEP,GBHHPL,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,TANGEDCO,TANGEDCO,SEIL,Meghalaya_Ben,TANGEDCO,HP,IPCL_WB,SKS Raigarh,JPNIGRIE_JNSTPP,APNRL,BYPL,HP,KSEB,TANGEDCO,JPNIGRIE_JNSTPP,Meghalaya_Ben,GMR WARORA,SHPPBPL,SHPPBPL,SHPPBPL,JPL,ITCWIND,HP,NBVLIPP,SHPPBPL,GMR WARORA,KWHEP,HP,KSEB,Meghalaya_Ben,SHPPBPL,LAPL-UP,SHPPBPL,KAMENG,UTTARAKHAND,SHPPBPL,KAMENG,TS1PL_BKN,BYPL,TS1PL_BKN,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,ODISHA,DELHI,
,,TPDDL,MES (Delhi),BYPL,TPDDL,DIAPL,NDMC,AISHER,MHIL,BYPL,BRPL,TPDDL,BYPL,BRPL,BRPL,NDMC,NDMC,TPDDL,TPDDL,ASIL_UP,BRPL,BYPL,BYPL,BRPL,BYPL,TPDDL,BAL224,MAX-HPTL,BAL184,BRPL,ITCLH,BRPL,TPDDL,JHPL-DL,TPDDL,BRPL,BYPL,BRPL,BYPL,UHL,BYPL,BAL234,TPDDL,BYPL,BMDRC,BRPL,BRPL,VL-CPP 1215,BYPL,VLSEZ,MES (Delhi),
,,North-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,North East-East-North,South-West-North,North-North,East-North,West-North,West-North,East-North,North-North,North-North,South-West-North,South-West-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,West-North,South-West-North,North-North,East-North,North-North,West-East-North,North-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-East,North-North,North-East,West-North,
1,00:00-00:15,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,12.070000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,12.130000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.07

2,00:15-00:30,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,12.070000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,12.130000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.07

3,00:30-00:45,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,12.070000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,12.130000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.07

4,00:45-01:00,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,12.070000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,12.130000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.07

5,01:00-01:15,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.350000,0.520000,0.930000,0.370000,255.520000,0.530000,54.220000,43.570000,1.020000,16.860000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.13

6,01:15-01:30,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.350000,0.520000,0.930000,0.370000,255.520000,0.530000,54.220000,43.570000,1.020000,16.860000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.13

7,01:30-01:45,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.350000,0.520000,0.930000,0.370000,255.520000,0.530000,54.220000,43.570000,1.020000,16.860000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.13

8,01:45-02:00,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.350000,0.520000,0.930000,0.370000,255.520000,0.530000,54.220000,43.570000,1.020000,16.860000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.13

9,02:00-02:15,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.090000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,17.120000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.08

10,02:15-02:30,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.090000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,17.120000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.08

11,02:30-02:45,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.090000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,17.120000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.08

12,02:45-03:00,19.410000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,23.180000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,83.270000,98.760000,85.170000,23.240000,7.090000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,17.120000,63.630000,23.240000,232.470000,36.530000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1846.08

13,03:00-03:15,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

14,03:15-03:30,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

15,03:30-03:45,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

16,03:45-04:00,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

17,04:00-04:15,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

18,04:15-04:30,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

19,04:30-04:45,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

20,04:45-05:00,19.230000,4.840000,24.200000,0.000000,35.170000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,98.760000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.440000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1751.28

21,05:00-05:15,19.040000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1650.84

22,05:15-05:30,19.040000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1650.84

23,05:30-05:45,19.040000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1650.84

24,05:45-06:00,19.040000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,48.410000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.480000,54.220000,43.570000,1.020000,0.000000,63.630000,23.240000,232.470000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,0,0.000000,0,0.000000,0,1650.84

25,06:00-06:15,18.670000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.530000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,1.4,0.000000,0.6,80.000000,0,1397.74

26,06:15-06:30,18.670000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.530000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,6.18,0.000000,2.65,100.000000,0,1424.57

27,06:30-06:45,18.670000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.530000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,10.62,0.000000,4.55,100.000000,0,1430.91

28,06:45-07:00,18.670000,4.840000,24.200000,0.000000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.530000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,16.72,53.000000,7.17,100.000000,0.19,1492.82

29,07:00-07:15,18.480000,4.840000,24.200000,45.510000,33.640000,6.780000,0.820000,0.610000,23.720000,0.000000,24.200000,63.180000,64.390000,62.930000,0.000000,62.930000,48.410000,48.410000,0.000000,85.690000,7.750000,0.000000,85.170000,23.240000,24.200000,0.520000,0.930000,0.370000,255.520000,0.680000,0.000000,43.570000,1.020000,0.000000,63.630000,0.000000,15.810000,0.000000,0.610000,0.000000,0.920000,147.910000,48.410000,0.930000,21.280000,23.63,100.000000,10.12,100.000000,0.39,1595.35

