Column1,Block,NR/2024/23018/C,NR/2024/22888/A/36136,NR/2024/22833/A/36150,NR/2024/22874/A/36154,NR/2024/23013/C,NR/2024/23015/C,NR/2024/23010/C,NR/2024/22872/A/35920,NR/2024/22839/A/36148,NR/2024/22860/A/36142,NR/2024/22753/A/36126,NR/2024/22835/A/36131,NR/2024/22820/A/35887,NR/2024/22734/A/36135,NR/2024/21658/A/35879,NR/2024/22837/A/36149,NR/2024/22816/A/35900,NR/2024/22802/A/36152,NR/2024/22848/A/36144,NR/2024/22754/A/36125,NR/2024/22832/A/36151,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/9821,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,NR/2024/22898/A/35935,NR/2024/23012/C,NR/2024/22899/A/35934,Total
,,SJVNL,APPCPL,NVVNL,NVVNL,NVVNL,NVVNL,TPDDL,DIAPL,NVVNL,APPCPL,PTC,MANIKARAN,IEXL,TPDDL,ITCLH,NVVNL,TPTCL,NVVNL,APPCPL,PTC,NVVNL,TPTCL,DELHI,TPTCL,APPCPL,DELHI,MANIKARAN,NVVNL,AEL,PUNJAB,BAWANA_GAS,MANIKARAN,INSTINCT,JITPL,SJVNL,NVVNL,SJVNL,
,,NA,KERALA_State,NA,MP_State,NA,NA,NA,HIMACHAL_STATE,NA,Nagaland_State,HIMACHAL_STATE,MSEB_State,KARNATAKA_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,UTTARAKHAND_STATE,HIMACHAL_STATE,NA,NA,NA,NA,Arunachal_State,HIMACHAL_STATE,MP_State,NA,NA,DELHI_UT,DELHI_UT,ODISHA_STATE,NA,NA,NA,NA,NA,
,,TPSL_BKN2,KSEB,RKM_POWER,JP_BINA,SORANG_HEP,Kameng,JHAJJAR,GBHHPL,TRN_ENERGY,Nagaland_Ben,HP,AEML,NSLSUGAR,JPL2,ITCWIND,JPL2,SIMHAPURI,JPNIGRIE_JNSTPP,UTTARAKHAND,HP,RKM_POWER,JITPL,SKS_Raigarh,SIMHAPURI,Arunachal_Ben,CHANJUII,BLAPOWER_MP,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,BAWANA_GAS,BAWANA_GAS,MAADURGA_THERMAL,JPL2,JITPL,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BYPL,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,DIAPL,NDMC,BYPL,BRPL,BYPL,MES_Delhi,TPDDL,ITCLH,NDMC,BRPL,BRPL,BYPL,BYPL,NDMC,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,PUNJAB,HARYANA,BRPL,BRPL,NDMC,NDMC,MES_Delhi,NDMC,
,,North-North,South-West-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,West-North,South-West-North,West-North,South-West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,East-North,West-North,South-East-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,North-North,East-North,West-North,East-North,North-North,West-North,North-North,
1,00:00-00:15,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.87,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,10.9,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1676.4942000000003

2,00:15-00:30,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.87,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,10.9,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1676.4942000000003

3,00:30-00:45,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.87,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,10.9,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1676.4942000000003

4,00:45-01:00,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.87,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,10.9,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1676.4942000000003

5,01:00-01:15,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

6,01:15-01:30,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

7,01:30-01:45,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

8,01:45-02:00,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

9,02:00-02:15,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

10,02:15-02:30,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

11,02:30-02:45,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

12,02:45-03:00,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,13.55,179.67,90.98,4.84,96.79,0.68,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,32.91,15.06,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1680.4642000000001

13,03:00-03:15,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.63,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6742000000002

14,03:15-03:30,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.63,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6742000000002

15,03:30-03:45,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.63,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6742000000002

16,03:45-04:00,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.63,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6742000000002

17,04:00-04:15,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6242000000002

18,04:15-04:30,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6242000000002

19,04:30-04:45,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6242000000002

20,04:45-05:00,0,67.75,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1633.6242000000002

21,05:00-05:15,0,25.17,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1591.0442

22,05:15-05:30,0,25.17,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1591.0442

23,05:30-05:45,0,25.17,37.39,48.4,28.07,164.78,241.98,8.71,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1591.0442

24,05:45-06:00,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,179.67,90.98,4.84,96.79,0.58,37.39,0,0,84.38,59.89,37.39,24.2,0,48.4,0,14.78,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1590.0742000000002

25,06:00-06:15,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1350.4342

26,06:15-06:30,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0,0,1350.4342

27,06:30-06:45,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0.07,0,1350.5041999999999

28,06:45-07:00,0,25.17,37.39,48.4,28.07,164.78,241.98,7.74,12.47,0,0,90.98,4.84,96.79,0.68,37.39,0,0,84.38,0,37.39,24.2,0,48.4,0,14.6,21.78,96.79,48.4,26.9071,26.9071,2.42,96.79,24.79,0,0.3,0,1350.7341999999999

