Block,Time,DADRI_CRF,TANAKPUR,ANTA_LF,TALA,KHSTPP-II,KISHANGANGA,BRBCL,RAPPC,SASAN,KOLDAM,KHSTPP-I,FSTPP I & II,ANTA_CRF,URI,CHAMERA2,ANTA_GF,CHAMERA3,NJPC,DULHASTI,DADRI_LF,TANDA2,JHAJJAR,RIHAND1,DADRI_GF,BSIUL,AURY_RF,RAMPUR,AURY_GF,AURY_CRF,URI2,SEWA2,UNCHAHAR3,CHAMERA1,AURY_LF,RAPPB,UNCHAHAR1,ANTA_RF,DHAULIGNGA,SINGRAULI_HYDRO,SINGRAULI,UNCHAHAR4,NAPP,KOTESHWR,RIHAND3,SALAL,DADRT2,TEHRI,RIHAND2,UNCHAHAR2,DADRI_RF,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,3.588593,0.000000,0.000000,142.195200,8.057069,18.500706,65.517021,333.873750,8.959460,42.803460,20.092800,0.000000,35.193312,46.850834,0.000000,33.646990,173.843731,57.163439,0.000000,5.175914,408.077040,93.756041,0.000000,6.299093,73.649148,6.516168,0.000000,0.000000,36.602241,18.161396,26.699256,40.715045,0.000000,0.000000,19.251867,48.475531,42.055908,1.025135,98.797017,2.984940,45.920319,0.000000,126.140377,72.961980,664.720005,0.000000,120.151080,43.379800,44.465927,16.212588,0,0,0,0,0

2,00:15-00:30,0.000000,3.588593,0.000000,0.000000,142.195200,8.057069,18.402078,65.517021,336.892500,8.959460,42.803460,20.092800,0.000000,35.193312,46.850834,0.000000,33.646990,173.843731,57.163439,0.000000,5.175914,408.077040,93.756041,0.000000,6.299093,26.315148,6.516168,0.000000,0.000000,36.602241,18.161396,26.699256,40.715045,0.000000,0.000000,19.733123,38.815531,42.055908,1.025135,98.797017,2.984940,45.920319,0.000000,126.140377,72.961980,664.720005,0.000000,120.151080,43.379800,44.465927,16.212588,0,0,0,0,0

3,00:30-00:45,0.000000,9.775823,0.000000,0.000000,142.195200,8.057069,16.247882,65.517021,336.892500,8.959460,42.803460,20.092800,0.000000,35.193312,46.850834,0.000000,33.646990,173.843731,57.163439,0.000000,5.175914,408.077040,93.756041,0.000000,6.299093,19.320000,6.516168,0.000000,0.000000,36.602241,18.161396,26.699256,40.715045,0.000000,0.000000,19.733123,11.592000,42.055908,1.025135,98.797017,2.984940,45.920319,0.000000,126.140377,72.961980,664.720005,0.000000,120.151080,43.379800,47.220452,16.212588,0,0,0,0,0

4,00:45-01:00,0.000000,9.775823,0.000000,0.000000,142.195200,8.057069,15.258875,65.517021,336.892500,8.959460,42.803460,20.092800,0.000000,35.193312,46.850834,0.000000,33.646990,173.843731,57.163439,0.000000,5.175914,408.077040,93.756041,0.000000,6.299093,19.320000,6.516168,0.000000,0.000000,36.602241,18.161396,26.699256,40.715045,0.000000,0.000000,19.733123,11.592000,42.055908,1.025135,98.797017,2.984940,45.920319,0.000000,126.140377,72.961980,664.720005,0.000000,120.151080,43.379800,47.220452,16.212588,0,0,0,0,0

5,01:00-01:15,0.000000,3.588593,0.000000,0.000000,142.195200,8.057069,16.654095,65.517021,336.892500,8.959460,42.803460,20.092800,0.000000,35.193312,46.850834,0.000000,33.646990,173.843731,57.163439,0.000000,5.175914,408.077040,93.756041,0.000000,6.299093,19.320000,6.516168,0.000000,0.000000,36.602241,18.161396,26.699256,40.715045,0.000000,0.000000,19.733123,11.592000,42.055908,1.025135,98.797017,2.984940,45.920319,0.000000,126.140377,72.961980,664.720005,0.000000,120.151080,43.379800,53.778849,16.212588,0,0,0,0,0

