Block,Time,JHAJJAR,SEWA2,DADRI_GF,CHAMERA1,SINGRAULI,TANAKPUR,BSIUL,AURY_CRF,DADRI_LF,DADRT2,UNCHAHAR1,SALAL,ANTA_RF,RAMPUR,RAPPB,URI2,AURY_RF,TEHRI,NAPP,RIHAND2,DULHASTI,SINGRAULI_HYDRO,ANTA_CRF,ANTA_GF,RAPPC,TANDA2,KOLDAM,PARBATI3,UNCHAHAR3,DADRI_RF,RIHAND3,DHAULIGNGA,UNCHAHAR4,KOTESHWR,ANTA_LF,URI,AURY_GF,DADRI_CRF,UNCHAHAR2,AURY_LF,NJPC,CHAMERA3,KISHANGANGA,RIHAND1,CHAMERA2,TALA,BRBCL,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.358396,0.000000,0.000000,40.597031,123.050124,10.487803,0.000000,0.000000,0.000000,584.963400,11.773355,80.585165,0.000000,3.403335,0.000000,34.726469,0.000000,61.635307,42.753719,117.221440,51.805586,1.063865,0.000000,0.000000,57.876608,2.703344,5.152119,33.841823,26.044928,0.000000,122.906140,38.917401,1.560384,37.219607,0.000000,37.218048,0.000000,0.000000,40.909416,0.000000,160.945770,0.000000,4.208137,91.165290,0.000000,4.247712,14.449300,142.784416,334.832400,13.773760,30.986240,0,0,0,0,0

2,00:15-00:30,119.358396,0.000000,0.000000,40.597031,123.050124,10.487803,0.000000,0.000000,0.000000,584.963400,11.773355,80.585165,0.000000,3.403335,0.000000,34.726469,0.000000,61.635307,42.753719,117.221440,51.805586,1.063865,0.000000,0.000000,57.876608,2.703344,5.152119,33.841823,26.044928,0.000000,122.906140,38.917401,1.560384,37.219607,0.000000,37.218048,0.000000,0.000000,40.909416,0.000000,160.945770,0.000000,4.208137,91.165290,0.000000,4.247712,14.449300,142.842560,334.832400,13.773760,30.986240,0,0,0,0,0

3,00:30-00:45,119.358396,0.000000,0.000000,40.597031,122.673152,8.760400,0.000000,0.000000,0.000000,584.963400,11.773355,80.585165,0.000000,3.403335,0.000000,34.726469,0.000000,61.635307,42.753719,117.221440,51.805586,1.063865,0.000000,0.000000,57.876608,2.703344,5.152119,33.841823,23.441206,0.000000,122.904224,38.917401,1.560384,37.219607,0.000000,37.218048,0.000000,0.000000,36.461358,0.000000,160.945770,0.000000,4.208137,91.165290,0.000000,4.474257,14.449300,142.842560,334.832400,13.773760,30.986240,0,0,0,0,0

4,00:45-01:00,119.358396,0.000000,0.000000,40.597031,122.673152,8.760400,0.000000,0.000000,0.000000,584.963400,11.773355,80.585165,0.000000,3.403335,0.000000,34.726469,0.000000,61.635307,42.753719,117.221440,51.805586,1.063865,0.000000,0.000000,57.876608,2.703344,5.152119,33.841823,23.441206,0.000000,122.904224,38.917401,1.560384,37.219607,0.000000,30.837811,0.000000,0.000000,36.461358,0.000000,160.945770,0.000000,4.208137,91.165290,0.000000,4.417620,14.449300,142.842560,334.832400,13.773760,30.986240,0,0,0,0,0

5,01:00-01:15,113.409576,0.000000,0.000000,40.597031,122.744621,8.760400,0.000000,0.000000,0.000000,515.131400,11.773355,80.585165,0.000000,3.403335,0.000000,34.726469,0.000000,61.635307,42.753719,117.221440,51.805586,1.063865,0.000000,0.000000,57.876608,2.703344,5.152119,17.597747,23.441206,0.000000,122.904224,38.917401,1.560384,37.219607,0.000000,24.989261,0.000000,0.000000,36.461358,0.000000,160.945770,0.000000,4.208137,91.165290,0.000000,4.247712,14.449300,142.842560,334.832400,13.773760,30.986240,0,0,0,0,0

