Time,Block,NR/2023/16707/D,NR/2023/16291/F,NR/2023/16627/F,NR/2023/16185/A,NR/2023/16191/A,NR/2023/13636/A,NR/2023/13148/A,NR/2023/13165/A,NR/2023/16739/C,NR/2023/13519/A,NR/2023/16734/C,NR/2023/16726/C,NR/2023/16709/D,NR/2023/16291/F/II,NR/2023/13242/A,NR/2023/16073/A,NR/2023/13253/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/13385/A,WR/2023/18762/C,NR/2023/13908/A,NR/2023/13376/A,NR/2023/13387/A,NR/2023/16626/F,NR/2023/16520/F,NR/2023/16077/A,NR/2023/13254/A,NR/2023/16437/F,NR/2023/15770/A,NR/2023/16741/C,NR/2023/16716/D,Total
,,IEXL,ITCLH,NVVNL,MANIKARAN,MANIKARAN,NVVNL,KEIPL,GMRETL,HPXL,STATKRAFT,TPDDL,GBHHPL,IEXL,ITCLH,APPCPL,APPCPL,APPCPL,APPCPL,KEIPL,NVVNL,IEXL,TPTCL,APPCPL,NVVNL,NVVNL,IEXL,APPCPL,APPCPL,NVVNL,NVVNL,PXIL,NVVNL,Total

,,TAMIL NADU,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,SIKKIM,GOA,UTTARAKHAND,HIMACHAL PRADESH,MEGHALAYA,MP,DELHI,NA,MEGHALAYA,NA,NA,UTTAR PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,NA,
,,OPGPGPLU4TN,ITCWIND,KAMENG,HP,HP,KAMENG,Meghalaya_Ben,Meghalaya_Ben,Teesta_III,HP,CHANJUII,GBHHPL,OPGPGUNIT1TN,ITCWIND,SIKKIM,GOA_Beneficiary,UTTARAKHAND,HP,Meghalaya_Ben,JP BINA,EDWPCL12,JPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,KAMENG,PPGCL,HP,Meghalaya_Ben,KAMENG,SKS Raigarh,SEILP2,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BYPL,TPDDL,DIAPL,BRPL,ITCLH,BYPL,BRPL,BYPL,BYPL,BYPL,BRPL,GIFT GNGR,BRPL,BYPL,BRPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,NDMC,BRPL,MES (Delhi),
,,South-East-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,North East-East-North,East-North,North-North,North-North,North-North,South-East-North,South-East-North,East-North,West-North,North-North,North-North,North East-East-North,West-North,North-East-West,West-North,North East-East-North,West-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,West-North,South-West-North,West-North,
1,00:00-00:15,67.670000,0.810000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.060000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1662.47

2,00:15-00:30,67.670000,0.810000,2.460000,56.550000,194.450000,22.560000,36.470000,22.230000,145.000000,58.430000,10.980000,7.070000,4.830000,0.060000,29.580000,24.170000,48.340000,30.020000,63.030000,50.030000,1.500000,175.050000,20.300000,100.050000,18.980000,0.000000,70.040000,19.610000,174.360000,62.840000,145.000000,0,1662.47
