Column1,Time,GNA/NR/2025/03/01/1906,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/8036,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/2563,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/4651,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606
1,00:00-00:15,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,19,8.5,8.6,8.5,0,25.5,19,7.33,166.48,17.28,42,0

2,00:15-00:30,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,19,8.5,8,8.5,0,25.5,19,7.33,166.48,17.28,42,0

3,00:30-00:45,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,19.33,8.5,7.8,8.5,0,25.5,19.34,7.33,166.48,17.28,42,0

4,00:45-01:00,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,19.67,8.5,7.6,8.5,0,25.5,19.66,7.67,166.48,17.28,42,0

5,01:00-01:15,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,20,8.67,7.6,8.67,0,25.99,20,7.67,166.48,17.28,42,0

6,01:15-01:30,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.08,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,20,8.67,7.4,8.67,0,25.99,20,7.67,166.48,17.28,42,0

7,01:30-01:45,23.04,0,23.04,26.99,0,0,1.23,0,100.01,6.72,86.59,26.99,271.44,23.04,65.88,0,1.24,5.51,1.31,0,0,0,0,0,0,0,0,0,55.49,200,259.78,5.76,0,0,0,30,8.5,7.2,8.5,0,25.5,30,7.67,166.48,17.28,42,0

