Block,Time,KHSTPP-I,NLCTS2EXP,RIHAND3,TelanganaSTPP,ANTA_CRF,DADRI_CRF,DADRI_GF,JHAJJAR,KUDGI,RAMPUR,SASAN,SIMHST2,TALST2,UNCHAHAR1,URI,AURY_CRF,AURY_GF,AURY_LF,DADRI_LF,DADRI_RF,DHAULIGNGA,KKNP,KOLDAM,KOTESHWR,NAPP,NLCIIST1,NLCIIST2,NTPL,SEWA2,TANAKPUR,TANDA2,VALLURNTECL,AURY_RF,DADRT2,MAPS,TEHRI,UNCHAHAR4,ANTA_GF,BRBCL,BSIUL,DULHASTI,FSTPP I & II,KGSU3AND4,NLCEXP,RAPPB,RAPPC,RIHAND1,RIHAND2,UNCHAHAR3,URI2,CHAMERA3,KKNPPU2,RSTPSU7,SIMHST1,SINGRAULI,TALA,CHAMERA2,KISHANGANGA,NJPC,NNTPP,PARBATI3,RSTPSU1TO6,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,ANTA_RF,CHAMERA1,KGSU1AND2,KHSTPP-II,ANTA_LF
1,00:00-00:15,33.69,0,127.6,0,0,0,0,413.81,0,3.54,418.77,0,0,20.96,48.02,0,0,0,0,97.42,40.4,0,5.35,38.64,44.99,0,0,0,11.58,12.94,0.19,0,78.06,686.07,0,76.9,1.62,0,20.01,13.04,53.79,18.21,0,0,0,60.09,45.27,121.71,27.05,0,32.08,0,0,0,140.21,2.76,44.22,2.88,167.1,0,30.92,0,83.67,0,43.71,48.13,42.15,0,98.87,0

2,00:15-00:30,33.69,0,127.6,0,0,0,0,413.81,0,3.54,418.77,0,0,20.96,48.02,0,0,0,0,97.42,40.4,0,5.35,38.64,44.99,0,0,0,11.58,12.94,0.19,0,78.06,686.07,0,76.9,1.62,0,20.01,13.04,53.79,18.21,0,0,0,60.09,45.27,121.71,27.05,0,32.08,0,0,0,140.21,2.76,44.22,2.88,167.1,0,30.92,0,83.67,0,43.71,48.13,42.15,0,98.87,0

3,00:30-00:45,33.69,0,127.6,0,0,0,0,413.81,0,3.54,418.77,0,0,20.96,44.16,0,0,0,0,97.42,40.4,0,5.35,38.64,44.99,0,0,0,11.58,12.94,0.19,0,78.06,686.07,0,76.9,1.62,0,20.01,13.04,53.79,18.21,0,0,0,60.09,45.27,121.71,27.05,0,32.08,0,0,0,140.21,2.76,44.22,2.88,167.1,0,30.92,0,83.67,0,43.71,48.13,42.15,0,98.87,0

4,00:45-01:00,33.69,0,127.6,0,0,0,0,413.81,0,3.54,418.77,0,0,20.96,44.16,0,0,0,0,97.42,40.4,0,5.35,38.64,44.99,0,0,0,11.58,12.94,0.19,0,78.06,686.07,0,76.9,1.62,0,20.01,13.04,53.79,18.21,0,0,0,60.09,45.27,121.71,27.05,0,32.08,0,0,0,140.21,2.76,44.22,2.88,167.1,0,30.92,0,83.67,0,43.71,48.13,42.15,0,98.87,0

5,01:00-01:15,33.69,0,127.6,0,0,0,0,413.81,0,3.54,418.77,0,0,20.96,44.16,0,0,0,0,97.42,40.4,0,5.35,38.64,44.99,0,0,0,11.58,12.94,2.89,0,78.06,686.07,0,76.9,1.62,0,20.01,13.04,53.79,18.21,0,0,0,60.09,45.27,121.71,27.05,0,32.08,0,0,0,140.21,2.76,44.22,2.88,167.1,0,30.92,0,83.67,0,43.71,48.13,42.15,0,98.87,0

