Time,Block,NR/2023/14723/C,NR/2023/13859/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/11892/A,NR/2023/14712/D,NR/2023/13858/A,NR/2023/11205/A,NR/2023/11204/A,ER/2023/8988/C,NR/2023/11315/A,NR/2023/14709/D,NR/2023/11521/A,NR/2023/13983/F,NR/2023/11203/A,NR/2023/11954/A,NR/2023/11264/A,NR/2023/14713/D,NR/2023/13573/A,NR/2023/13283/A/II,NR/2023/11328/A,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14722/C,NR/2023/11458/A,NR/2023/14706/D,NR/2023/11524/A,NR/2023/11469/A,NR/2023/12646/A,NR/2023/14719/C,NR/2023/14136/F,NR/2023/14187/F,NR/2023/11654/A,NR/2023/11325/A,NR/2023/11739/A,NR/2023/14710/D,NR/2023/13573/A/II,NR/2023/13983/F/II,Total
,,TPDDL,MANIKARAN,APPCPL,APPCPL,TPTCL,NVVNL,MANIKARAN,KEIPL,KEIPL,HPXL,GMRETL,NVVNL,PTC,ITCLH,KEIPL,KEIPL,TPTCL,TS1PL_BKN,NVVNL,APPCPL,APPCPL,APPCPL,NVVNL,IEXL,STATKRAFT,TS1PL_BKN,PTC,NVVNL,MANIKARAN,PXIL,SJVNL,GBHHPL,TPTCL,APPCPL,NVVNL,KEIPL,NVVNL,ITCLH,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,KERALA,KERALA,DELHI,MEGHALAYA,NA,NA,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,NA,NA,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,NA,KARNATAKA,TAMIL NADU,NA,NA,NA,TAMIL NADU,DELHI,WEST BENGAL,HIMACHAL PRADESH,NA,MEGHALAYA,MP,UTTAR PRADESH,NA,ANDHRA PRADESH,
,,CHANJUII,HP,HP,GOA_Beneficiary,TPC MSEB,SOLAPUR_SOLAR,HP,KSEB,KSEB,BYPL,Meghalaya_Ben,KAMENG,JPNIGRIE_JNSTPP,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,KWHEP,TS1PL_BKN,SKS Raigarh,GOA_Beneficiary,UTTARAKHAND,HP,KAMENG,NSLSUGAR,TANGEDCO,TS1PL_BKN,JPL-2,JPNIGRIE_JNSTPP,TANGEDCO,BYPL,IPCL_WB,GBHHPL,JPL-2,Meghalaya_Ben,JP BINA,LAPL-UP,SKS Raigarh,ITCWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BYPL,BRPL,BYPL,MES (Delhi),BRPL,BRPL,BYPL,VLSEZ,BYPL,TPDDL,TPDDL,ITCLH,BYPL,BYPL,BRPL,BRPL,NDMC,BRPL,BYPL,BRPL,BRPL,MES (Delhi),BYPL,BYPL,TPDDL,BRPL,BRPL,ASIL_UP,NDMC,DIAPL,BRPL,BYPL,BRPL,BYPL,NDMC,ITCLH,
,,North-North,North-North,North-North,West-East-North,West-North,West-North,North-North,South-East-North,South-East-North,North-East,North East-East-North,North East-East-North,West-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,West-East-North,West-North,North-North,North-North,North East-East-North,South-West-North,South-West-North,North-North,West-North,West-North,South-West-North,North-North,East-North,North-North,West-North,North East-East-North,West-North,North-North,West-North,South-East-North,
1,00:00-00:15,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,150.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.870000,2031.32

2,00:15-00:30,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,150.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.870000,2031.32

3,00:30-00:45,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,150.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.870000,2031.32

4,00:45-01:00,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,150.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.870000,2031.32

5,01:00-01:15,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.680000,2081.13

6,01:15-01:30,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.680000,2081.13

7,01:30-01:45,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.680000,2081.13

8,01:45-02:00,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,0.000000,59.420000,0.680000,2081.13

9,02:00-02:15,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,59.420000,0.580000,2119.61

10,02:15-02:30,5.890000,177.970000,27.780000,1.260000,66.460000,0,77.170000,231.610000,82.960000,200.000000,22.190000,192.920000,48.230000,0.000000,62.940000,36.390000,0.000000,0,3.280000,22.850000,48.230000,64.820000,21.220000,5.790000,98.390000,0,147.460000,84.870000,23.080000,0.000000,0.000000,3.860000,196.860000,24.120000,42.430000,38.580000,59.420000,0.580000,2119.61

