Column1,Block,NR/2025/25174/C,NR/2025/25173/C,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/5886,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,NR/2025/25190/C,NR/2024/24418/A/52051,NER/2025/2918/A/52296,GNA/WR/2024/11/01/4200,ER/2025/15683/A/52294,NR/2025/24992/A/52064,WR/2025/26047/A/52297,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/2025/25070/A/52318,NR/2025/24882/A/52065,Total
,,SJVNL,SJVNL,NDMC,APPCPL,NDMC,NDMC,DELHI,TPTCL,NDMC,BAWANA_GAS,APPCPL,NDMC,HPXL,ITCLH,APPCPL,MANIKARAN,APPCPL,IEXL,APPCPL,PUNJAB,APPCPL,NVVNL,IEXL,
,,NA,NA,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DVC_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,TELANGANA_State,
,,RSRPL_BKN,TPSL_BKN2,SKS_Raigarh,BYPL,RKM_POWER,RKM_POWER,CHANJUII,BYPL,TRN_ENERGY,BAWANA_GAS,BYPL,JPL2,DVC,ITCWIND,BYPL,BRPL,BYPL,NSLSUGARALAND,BRPL,BAWANA_GAS,BYPL,JIPL,NSLKSLWPRTY,
,,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,MSEB_State,SIKKIM_STATE,DELHI_UT,GOA_State,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,KSEB,NDMC,NDMC,TPDDL,TPC_MSEB,NDMC,HARYANA,KSEB,NDMC,BYPL,ITCLH,Manipur_Ben,AEML,SIKKIM,MES_Delhi,GOA_Beneficiary,PUNJAB,AEML,NDMC,MES_Delhi,
,,North-North,North-North,West-North,North-West-South,West-North,West-North,North-North,North-West,West-North,North-North,North-West-South,West-North,East-North,South-West-North,North-East-North East,North-West,North-East,South-West-North,North-West,North-North,North-West,East-North,South-West-North,
1,00:00-00:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

2,00:15-00:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

3,00:30-00:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

4,00:45-01:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

5,01:00-01:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

6,01:15-01:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

7,01:30-01:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

8,01:45-02:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,23.08,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,258

9,02:00-02:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

10,02:15-02:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

11,02:30-02:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

12,02:45-03:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

13,03:00-03:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

14,03:15-03:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

15,03:30-03:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

16,03:45-04:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

17,04:00-04:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

18,04:15-04:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

19,04:30-04:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

20,04:45-05:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

21,05:00-05:15,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

22,05:15-05:30,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

23,05:30-05:45,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

24,05:45-06:00,0,0,8.66,0,23.08,23.08,1.65,0,8.66,26.99,75,22.12,0,0.38,9.18,0,7.34,6.73,0,26.99,0,14.29,2.89,257.04

25,06:00-06:15,0,0,8.66,0,23.08,23.08,1.57,0,8.66,26.99,75,22.12,0,0.43,9.18,0,7.34,9.62,0,26.99,0,14.29,4.81,261.82000000000005

26,06:15-06:30,0,0,8.66,0,23.08,23.08,1.57,0,8.66,26.99,75,22.12,0,0.43,9.18,0,7.34,9.62,0,26.99,0,14.29,4.81,261.82000000000005

27,06:30-06:45,0,0,8.66,0,28.85,28.85,1.57,0,8.66,19.89,75,22.12,0,0.43,9.18,0,7.34,9.62,0,32,0,14.29,4.81,271.27000000000004

28,06:45-07:00,0,0,8.66,0,28.85,28.85,1.57,0,8.66,14.1,75,22.12,0,0.43,9.18,0,7.34,9.62,0,32,0,14.29,4.81,265.48

29,07:00-07:15,0,0,8.66,0,28.85,28.85,1.57,0,8.66,32,75,22.12,0,0.48,9.18,0,7.34,9.62,0,32,0,14.29,4.81,283.43000000000006

30,07:15-07:30,0,0,8.66,0,28.85,28.85,1.57,0,8.66,32,75,22.12,0,0.48,9.18,0,7.34,9.62,0,32,0,14.29,4.81,283.43000000000006

31,07:30-07:45,0,0,8.66,0,31.74,31.74,1.57,0,8.66,32,75,22.12,0,0.48,9.18,0,7.34,9.62,0,32,0,14.29,4.81,289.21000000000004

32,07:45-08:00,0,0,8.66,0,31.74,31.74,1.57,0,8.66,32,75,22.12,0,0.48,9.18,0,7.34,9.62,0,32,0,14.29,4.81,289.21000000000004

33,08:00-08:15,0,0,8.66,0,34.62,34.62,1.57,0,8.66,32,75,22.12,0,0.87,9.18,0,7.34,9.62,0,32,0,14.29,4.81,295.36

34,08:15-08:30,0,0,8.66,0,34.62,34.62,1.57,0,8.66,32,75,22.12,0,0.87,9.18,0,7.34,9.62,0,32,0,14.29,4.81,295.36

35,08:30-08:45,0,0,8.66,0,34.62,34.62,1.57,0,8.66,32,75,22.12,0,0.87,9.18,0,7.34,9.62,0,32,0,14.29,4.81,295.36

