Block,Time,RAMPUR,TANDA2,DADRI_CRF,DADRI_GF,SEWA2,BSIUL,KISHANGANGA,SINGRAULI_HYDRO,DADRI_LF,UNCHAHAR4,AURY_RF,NAPP,AURY_LF,AURY_CRF,RIHAND2,CHAMERA1,CHAMERA3,RAPPB,AURY_GF,TEHRI,ANTA_GF,DADRI_RF,URI,UNCHAHAR1,JHAJJAR,RIHAND3,URI2,UNCHAHAR3,DADRT2,TANAKPUR,ANTA_RF,CHAMERA2,UNCHAHAR2,RIHAND1,NJPC,DHAULIGNGA,KOTESHWR,ANTA_CRF,RAPPC,ANTA_LF,KOLDAM,PARBATI3,SALAL,DULHASTI,SINGRAULI,KHSTPP-II,SASAN,KHSTPP-I,BRBCL,FSTPP I & II,TALA,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.028107,0.000000,0.000000,0.000000,38.026001,0.000000,0.000000,113.364562,26.914786,27.891577,0.000000,0.000000,43.531992,0.000000,0.000000,46.618387,13.224282,534.869080,118.681900,30.983723,17.841303,577.496404,12.785507,0.000000,37.917862,40.676693,88.292400,112.241234,0.000000,8.516378,0.000000,48.957944,0.000000,0.000000,0.000000,82.522684,47.444263,97.889400,141.570745,263.437650,29.709433,19.194008,13.675725,14.107590,19.19,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.028107,0.000000,0.000000,0.000000,38.026001,0.000000,0.000000,113.364562,26.914786,27.891577,0.000000,0.000000,43.531992,0.000000,0.000000,46.618387,13.224282,491.774272,118.681900,30.983723,17.841303,577.496404,12.785507,0.000000,37.917862,40.676693,88.292400,112.241234,0.000000,8.516378,0.000000,48.957944,0.000000,0.000000,0.000000,82.522684,47.444263,97.889400,141.570745,263.437650,29.709433,19.194008,13.675725,14.107590,19.19,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.028107,0.000000,0.000000,0.000000,38.026001,0.000000,0.000000,113.364562,26.914786,27.891577,0.000000,0.000000,43.531992,0.000000,0.000000,8.476070,13.224282,583.420824,118.681900,30.983723,17.841303,644.675404,12.785507,0.000000,37.917862,40.676693,88.292400,112.241234,0.000000,8.516378,0.000000,48.957944,0.000000,0.000000,0.000000,82.522684,47.444263,97.889400,141.570745,263.437650,29.709433,18.344532,13.675725,14.107590,28.79,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.028107,0.000000,0.000000,0.000000,38.026001,0.000000,0.000000,113.364562,26.914786,27.891577,0.000000,0.000000,29.021328,0.000000,0.000000,8.476070,13.224282,534.221899,118.681900,30.983723,17.841303,659.102725,12.785507,0.000000,37.917862,40.676693,88.292400,112.241234,0.000000,8.516378,0.000000,48.957944,0.000000,0.000000,0.000000,82.522684,47.444263,97.889400,141.570745,263.437650,29.709433,18.563762,13.675725,14.107590,28.79,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.028107,0.000000,0.000000,0.000000,38.026001,0.000000,0.000000,113.364562,26.914786,27.891577,0.000000,0.000000,29.021328,0.000000,0.000000,8.476070,13.224282,433.711032,118.681900,10.327908,17.841303,659.102725,12.785507,0.000000,37.917862,40.676693,88.292400,112.241234,0.000000,8.516378,0.000000,48.957944,0.000000,0.000000,0.000000,82.522684,47.444263,97.889400,141.570745,263.437650,29.709433,19.194008,13.675725,14.107590,28.79,0,0,0,0,0

