Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01012024/15012024/IEX_231227_05966,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/52,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/02012024/04012024/SJVN020124NR1333,NR/20122023/29022024/IEX_LDC_231218_00501,NR/04012024/04012024/IEX_240103_06022,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/01012024/31012024/HP-27,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/04012024/04012024/DD20240104NR22076,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/02012024/04012024/SJVN020124NR1334,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/02122045/L_NR_2021_13,NR/01012024/15012024/IEX_231227_05965,NR/20122023/29022024/IEX_LDC_231218_00502,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,WR/01102023/31032046/L_NR_2020_05,NR/01012024/31012024/HP-26,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_02,NR/04012024/04012024/IEX_240103_06023,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01012024/31032024/ ChanjuII,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16,NR/01012024/31012024/HP-28,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023
1,00:00-00:15,36.630000,48.200000,1.070000,0.000000,8.42,0,0,8.190000,91.580000,0,0.850000,57.410000,0,0,0,0.000000,10.03,25.45,0,0,25.45,0,0,66.120000,26.020000,6.750000,48.200000,48.200000,0,96.400000,11.570000,0,23.140000,18.320000,5.780000,30.09,152.770000,11.13,0,118.900000,101.220000,26.020000,0.000000,0.000000,1.660000,0,1.570000,0,149.110000,10.03,0,24.570000,0.000000,0.000000,48.200000

2,00:15-00:30,36.630000,48.200000,1.070000,0.000000,7.7,0,0,8.190000,91.580000,0,0.850000,57.410000,0,0,0,0.000000,10.3,24.05,0,0,24.05,0,0,70.280000,26.020000,6.750000,48.200000,48.200000,0,96.400000,11.570000,0,23.140000,18.320000,5.780000,30.91,152.770000,10.52,0,101.220000,101.220000,26.020000,0.000000,0.000000,1.660000,0,1.570000,0,149.110000,10.31,0,24.570000,0.000000,0.000000,48.200000

3,00:30-00:45,36.630000,48.200000,1.070000,0.000000,7.34,0,0,8.190000,91.580000,0,0.850000,57.410000,0,0,0,0.000000,10.37,23.55,0,0,23.55,0,0,70.280000,26.020000,6.750000,48.200000,48.200000,0,96.400000,11.570000,0,23.140000,18.320000,5.780000,31.1,152.770000,9.6,0,101.220000,101.220000,26.020000,0.000000,0.000000,1.660000,0,1.570000,0,149.110000,10.37,0,24.570000,0.000000,0.000000,48.200000

4,00:45-01:00,36.630000,48.200000,1.070000,0.000000,7.34,0,0,8.190000,91.580000,0,0.850000,57.410000,0,0,0,0.000000,10.3,23.22,0,0,23.22,0,0,70.280000,26.020000,6.750000,48.200000,48.200000,0,96.400000,11.570000,0,23.140000,18.320000,5.780000,30.91,152.770000,8.71,0,101.220000,101.220000,26.020000,0.000000,0.000000,1.660000,0,1.570000,0,149.110000,10.31,0,24.570000,0.000000,0.000000,48.200000

5,01:00-01:15,36.630000,48.200000,1.070000,0.000000,7.34,0,0,8.190000,91.580000,0,0.850000,57.410000,0,0,0,0.000000,9.88,22.79,0,0,22.79,0,0,70.280000,26.020000,6.750000,48.200000,48.200000,0,96.400000,11.570000,0,23.140000,18.320000,5.780000,29.63,152.770000,8.18,0,101.220000,101.220000,26.020000,0.000000,0.000000,1.660000,0,1.570000,0,149.110000,9.87,0,24.570000,0.000000,0.000000,48.200000

