Block,Time,DADRT2,AURY_LF,TANDA2,UNCHAHAR4,JHAJJAR,RIHAND1,AURY_RF,DHAULIGNGA,KOLDAM,URI2,SINGRAULI_HYDRO,SINGRAULI,RIHAND2,ANTA_GF,TEHRI,NJPC,CHAMERA2,BSIUL,RAPPC,DADRI_CRF,NAPP,ANTA_CRF,DADRI_GF,AURY_GF,TANAKPUR,DADRI_LF,AURY_CRF,ANTA_RF,CHAMERA3,ANTA_LF,KOTESHWR,UNCHAHAR2,DADRI_RF,RIHAND3,SEWA2,CHAMERA1,URI,KHSTPP-II,RAMPUR,KHSTPP-I,TALA,KUDGI,BRBCL,UNCHAHAR3,DULHASTI,UNCHAHAR1,FSTPP I & II,KISHANGANGA,SALAL,RAPPB,PARBATI3,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,331.711128,0.000000,0.000000,0.000000,400.887585,88.872000,0.000000,35.347582,0.000000,31.317063,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,6.805953,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.56,14.490000,20.949642,47.755713,15.371475,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

2,00:15-00:30,298.888804,0.000000,0.000000,0.000000,400.887585,88.872000,0.000000,35.347582,0.000000,31.317063,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,8.662122,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.56,14.490000,20.949642,47.755713,15.371475,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

3,00:30-00:45,298.888804,0.000000,0.000000,0.000000,387.363585,88.872000,0.000000,35.347582,0.000000,30.667332,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,12.250715,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.56,14.387413,20.949642,47.755713,11.511260,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

4,00:45-01:00,298.888804,0.000000,0.000000,0.000000,368.043585,88.872000,0.000000,35.347582,0.000000,30.667332,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,12.250715,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.56,13.547713,20.949642,47.755713,11.511260,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

5,01:00-01:15,262.138401,0.000000,0.000000,0.000000,339.063585,88.872000,0.000000,35.347582,0.000000,30.667332,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,12.250715,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.80,11.408143,20.949642,47.755713,11.511260,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

6,01:15-01:30,203.027772,0.000000,0.000000,0.000000,319.743585,88.872000,0.000000,35.347582,0.000000,30.667332,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,12.250715,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.372698,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,31.076317,25.560360,90.80,10.505493,20.949642,47.755713,11.511260,13.765500,0.000000,83.064408,0.000000,40.580694,331.458750,0,0,0,0,0

7,01:30-01:45,182.072113,0.000000,0.000000,0.000000,281.103585,88.872000,0.000000,35.347582,0.000000,30.667332,0.997897,134.573460,114.108750,0.000000,64.266048,147.740523,38.166776,0.000000,49.156745,0.000000,37.966118,0.000000,0.000000,0.000000,12.250715,0.000000,0.000000,0.000000,28.074673,0.000000,36.194088,35.377818,0.000000,119.460993,15.266710,41.209560,45.324720,142.500094,0.000000,28.892094,25.560360,90.80,10.617486,20.949642,47.755713,11.422775,10.269063,0.000000,83.064408,0.000000,30.742950,331.458750,0,0,0,0,0

