Column1,Block,NR/2025/24933/C,NR/2025/24934/C,NR/2025/24935/C,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/20/4168,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/2024/24434/A/49848,NR/2025/24837/A/50194,NR/2025/24938/C,NR/2025/24838/A/50195,NR/2025/24939/C,NR/2025/24839/A/50196,NR/2024/24566/A/49839,WR/2024/25501/A/50163,NER/2024/2820/A/50143,NR/2024/24508/A/50191,SR/2024/15456/A/49838,NR/2024/24418/A/49832,NR/2024/24614/A/50190,NR/2024/24507/A/50192,NR/2024/24435/A/49847,Total
,,TPDDL,NVVNL,NVVNL,NDMC,HPXL,DELHI,HPXL,IEXL,PXIL,NDMC,PUNJAB,NDMC,IEXL,HPXL,TPTCL,PXIL,HPXL,HPXL,HPXL,HPXL,IEXL,NDMC,BAWANA_GAS,IEXL,APPCPL,MANIKARAN,IEXL,ABLWM1_AEROCITY,SJVNL,OIDLWM2_AEROCITY,SJVNL,OIDLWM3_AEROCITY,IEXL,APPCPL,APPCPL,NVVNL,IEXL,ITCLH,NVVNL,NVVNL,IEXL,
,,NA,NA,NA,NA,MSEB_State,HIMACHAL_STATE,Meghalaya_State,MP_State,NA,NA,DELHI_UT,NA,ODISHA_STATE,NA,DELHI_UT,NA,NA,TAMILNADU_State,TELANGANA_State,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,TELANGANA_State,DELHI_UT,DELHI_UT,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,KARNATAKA_STATE,
,,JHAJJAR,JIPL,TRN_ENERGY,RKM_POWER,GRETAENERGY,CHANJUII,Meghalaya_Ben,JP_BINA,JPNIGRIE_JNSTPP,SKS_Raigarh,BAWANA_GAS,RKM_POWER,NBVLIPP,SKS_Raigarh,BYPL,SINGOLI,SIMHAPURI,GAYATRIGREENTN,ZUARICEMCPP,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,JPL2,BAWANA_GAS,SKS_Raigarh,BYPL,BRPL,TESPL_BKN2,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,NSLKSLWPRTY,BRPL,BYPL,TRN_ENERGY,BYPL,ITCWIND,TRN_ENERGY,JIPL,NSLSUGARALAND,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,Manipur_State,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,PUNJAB,NDMC,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,HARYANA,BRPL,AEML,AEML,MES_Delhi,ABLWM1_AEROCITY,NDMC,OIDLWM2_AEROCITY,NDMC,OIDLWM3_AEROCITY,MES_Delhi,GOA_Beneficiary,Manipur_Ben,NDMC,TANGEDCO,ITCLH,NDMC,NDMC,MES_Delhi,
,,North-North,East-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,East-North,West-North,North-West,North-North,South-East-North,South-East-North,South-East-North,West-North,West-North,West-North,North-North,West-North,North-West,North-West,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-West,North-East-North East,West-North,North-West-South,South-West-North,West-North,East-North,South-West-North,
1,00:00-00:15,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

2,00:15-00:30,0,0,0,25.94,0,1.47,0,31.7,28.82,8.65,0,25.94,20.17,19.21,0,0,0,0,0,48.04,26.9,25.94,0,48.04,0,0,0,0,0,0,0,0,5.76,0,0,8.73,0,0.38,0,17.29,9.61,352.5900000000001

