Block,Time,RIHAND2,SINGRAULI_HYDRO,TANDA2,URI2,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,SEWA2,SINGRAULI,RAPPC,RIHAND1,RIHAND3,PARBATI3,RAMPUR,DADRT2,KOTESHWR,DHAULIGNGA,DULHASTI,JHAJJAR,NAPP,KISHANGANGA,NJPC,KOLDAM,CHAMERA3,CHAMERA2,TANAKPUR,URI,RAPPB,SALAL,CHAMERA1,BSIUL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,FSTPP I & II,BRBCL,TALA,KHSTPP-II,SASAN
1,00:00-00:15,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,341.564563,8.874,0,16.478852,653.1525,0,0,0,0,0,0,2.562,39.744,0,15.106,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,16.7048,0,106.73575,418.77

2,00:15-00:30,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,341.564563,8.874,0,16.478852,653.1525,0,0,0,0,0,0,2.562,39.744,0,70.882,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,16.7048,0,109.88275,418.77

3,00:30-00:45,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,341.564563,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,8.832,0,70.882,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,109.88275,418.77

4,00:45-01:00,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,341.564563,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,70.882,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,109.88275,418.77

5,01:00-01:15,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,497.717499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,70.882,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,109.88275,418.77

6,01:15-01:30,118.125,0.59303,0,24.75168,0,20.556,20.142,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,497.717499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,13.944,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,115.39,418.77

7,01:30-01:45,118.125,0.59303,0,6.0534,0,20.556,24.0585,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,512.588499,8.874,0,0,653.1525,0,0,0,0,0,0,8.3265,5.52,0,2.324,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,115.39,418.77

8,01:45-02:00,118.125,0.59303,0,6.0534,0,20.556,27.975,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,527.459499,8.874,0,0,653.1525,0,0,0,0,0,0,8.3265,5.52,0,2.324,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,120.635,418.77

9,02:00-02:15,118.125,0.59303,0,6.0534,0,20.556,31.8915,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,527.459499,8.874,0,0,653.1525,0,0,0,0,0,0,8.3265,5.52,0,2.324,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,125.88,418.77

10,02:15-02:30,118.125,0.59303,0,6.0534,0,20.556,35.808,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,542.330499,8.874,0,0,653.1525,0,0,0,0,0,0,8.3265,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,125.88,418.77

11,02:30-02:45,118.125,0.59303,0,6.0534,0,20.556,39.7245,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,542.330499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,131.125,418.77

12,02:45-03:00,118.125,0.59303,0,6.0534,0,20.556,42.392196,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,557.201499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,131.125,418.77

13,03:00-03:15,118.125,0.59303,0,6.0534,0,20.556,42.392196,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,557.201499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,136.37,418.77

14,03:15-03:30,118.125,0.59303,0,6.0534,0,20.556,42.392196,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,572.072499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,136.37,418.77

15,03:30-03:45,118.125,0.59303,0,6.0534,0,20.556,42.392196,26.39091,0,0,123.375,54.1863,92,123.665625,0,0,572.072499,8.874,0,0,653.1525,0,0,0,0,0,0,2.562,5.52,0,12.782,0,0,0,0,0,54.6258,0,0,0,92.064,0,0,0,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,141.615,418.77

