Block,Time,LT_MEJA_Delhi,SH-07,L_NR_2018_61,L_NR_2012_07,L_NR_2012_04,LT-59,L_NR_2019_19,LT-31,L_NR_2023_04,L_NR_2020_02,SH-06,LT-36,L_NR_2012_02,LT-35,L_NR_2012_01,LT-05,L_NR_2019_11,L_NR_2021_12,L_NR_2022_09,L_NR_2022_08,L_NR_2019_06,L_NR_2021_13,L_NR_2019_05,L_NR_2020_07,L_NR_2021_15,L_NR_2021_16,L_NR_2020_06,L_NR_2021_17,L_NR_2022_10,L_NR_2019_07,L_NR_2021_14,L_NR_2020_05
1,00:00-00:15,3.710000,30.950000,30.78,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,54.65,17.96,0,0,0,25.37,0,0,25.36,0,54.65,0,0,76.09

2,00:15-00:30,3.710000,30.950000,29.12,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,56.45,18.86,0,0,0,26.18,0,0,26.17,0,56.45,0,0,78.52

3,00:30-00:45,3.710000,30.950000,27.94,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,61.74,22.6,0,0,0,26.27,0,0,26.27,0,61.74,0,0,78.81

4,00:45-01:00,3.710000,30.950000,26.27,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,66.28,23.97,0,0,0,27.43,0,0,27.42,0,66.28,0,0,82.26

5,01:00-01:15,3.710000,30.950000,24.31,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,67.33,24.19,0,0,0,27.74,0,0,27.75,0,67.33,0,0,83.24

6,01:15-01:30,3.710000,30.950000,33.74,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,68.12,24.14,0,0,0,27.78,0,0,27.78,0,68.12,0,0,83.34

7,01:30-01:45,3.710000,30.950000,33.11,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,0.000000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,66.19,24.18,0,0,0,29.28,0,0,29.28,0,66.19,0,0,87.85

8,01:45-02:00,3.710000,30.950000,31.31,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,19.060000,0.000000,261.720000,0.000000,101.310000,116.100000,6.000000,0,64.45,24.12,0,0,0,30.49,0,0,30.49,0,64.45,0,0,91.47

9,02:00-02:15,3.710000,30.950000,30.48,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,19.630000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,63.53,27.08,0,0,0,33.29,0,0,33.31,0,63.53,0,0,99.92

10,02:15-02:30,3.710000,30.950000,29.74,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,19.630000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,62.92,26.92,0,0,0,33.01,0,0,33.02,0,62.92,0,0,99.06

11,02:30-02:45,3.710000,30.950000,28.86,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,19.630000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,60.69,26.57,0,0,0,32.83,0,0,32.82,0,60.69,0,0,98.47

12,02:45-03:00,3.710000,30.950000,28.08,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,6.040000,19.630000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,57.87,26.71,0,0,0,32.85,0,0,32.85,0,57.87,0,0,98.55

13,03:00-03:15,3.710000,20.820000,34.8,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,20.820000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,55.32,25.78,0,0,0,31.1,0,0,31.09,0,55.32,0,0,93.28

14,03:15-03:30,3.710000,20.820000,34.68,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,20.820000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,66.9,26.41,0,0,0,33.69,0,0,33.68,0,66.9,0,0,101.04

15,03:30-03:45,3.710000,20.820000,34.69,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,20.820000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,64.09,25.38,0,0,0,32.48,0,0,32.47,0,64.09,0,0,97.42

16,03:45-04:00,3.710000,20.820000,34.75,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,20.820000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,61.16,24.29,0,0,0,31.4,0,0,31.4,0,61.16,0,0,94.21

17,04:00-04:15,3.710000,21.760000,34.66,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,58.44,23.46,0,0,0,30.57,0,0,30.58,0,58.44,0,0,91.74

18,04:15-04:30,3.710000,21.760000,33.84,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,55.65,22.84,0,0,0,29.21,0,0,29.23,0,55.65,0,0,87.68

19,04:30-04:45,3.710000,21.760000,33.08,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,52.81,22.14,0,0,0,28.15,0,0,28.17,0,52.81,0,0,84.5

20,04:45-05:00,3.710000,21.760000,24.84,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.840000,0,50.31,21.37,0,0,0,27.22,0,0,27.22,0,50.31,0,0,81.67

21,05:00-05:15,3.710000,21.760000,24.36,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.700000,0,62,26.23,0,0,0,30.99,0,0,31,0,62,0,0,93

22,05:15-05:30,3.710000,21.760000,23.81,87.240000,272.020000,5.450000,0.000000,0.000000,0.000000,5.860000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.700000,0,60.71,25.62,0,0,0,30.36,0,0,30.35,0,60.71,0,0,91.06

23,05:30-05:45,3.710000,20.830000,23.51,87.240000,272.020000,5.450000,1.590000,0.000000,0.000000,5.860000,20.830000,0.000000,261.720000,0.000000,101.310000,116.100000,5.700000,0,59.63,25.07,0,0,0,29.81,0,0.34,29.82,0.17,59.63,0,0,89.44

24,05:45-06:00,3.710000,20.830000,23.56,87.240000,272.020000,5.450000,5.670000,0.000000,0.000000,5.860000,20.830000,0.000000,261.720000,0.000000,101.310000,116.100000,5.700000,0.33,58.78,24.53,0,0.06,0,29.39,0.37,1.62,29.39,0.81,58.78,0,0,88.16

25,06:00-06:15,3.710000,21.760000,21.91,87.240000,272.020000,5.450000,10.940000,0.000000,0.000000,5.720000,21.760000,0.000000,261.720000,0.000000,101.310000,116.100000,5.700000,3.38,58.22,23.88,11.48,0.68,14.54,29.11,0.81,4.2,29.11,2.1,58.22,1.45,0.03,87.32

26,06:15-06:30,3.710000,21.760000,21.4,87.240000,272.020000,5.450000,15.420000,0.130000,0.000000,5.720000,21.760000,0.130000,261.720000,0.130000,101.310000,116.100000,5.700000,7.87,57.67,23.65,20.14,1.57,23.88,28.83,2.04,7.18,28.84,3.59,57.67,4.02,0.03,86.51

27,06:30-06:45,3.710000,21.760000,17.19,87.240000,272.020000,5.450000,20.780000,0.420000,0.000000,5.720000,21.760000,0.430000,261.720000,0.420000,101.310000,116.100000,5.700000,13.34,56.18,17.54,30.41,2.67,33,24.61,3.32,10.89,24.61,5.44,56.18,11.64,1.27,73.83

28,06:45-07:00,3.710000,21.760000,16.92,87.240000,272.020000,5.450000,27.610000,0.930000,0.000000,5.720000,21.760000,0.960000,261.720000,0.930000,101.310000,116.100000,5.700000,20.07,55.32,17.53,31.72,4.01,31.73,24.71,5.03,15.57,24.72,7.79,55.32,18,3.7,74.15

29,07:00-07:15,3.710000,21.760000,16.89,87.240000,272.020000,5.450000,35.250000,1.470000,0.000000,5.720000,21.760000,1.510000,261.720000,1.470000,101.310000,116.100000,5.700000,29.66,54.01,17.86,27.22,5.93,27.23,25.02,7.28,20.98,25.01,10.49,54.01,27,7.27,75.04

30,07:15-07:30,3.710000,21.760000,16.81,87.240000,272.020000,5.450000,43.590000,2.250000,0.000000,5.720000,21.760000,2.310000,261.720000,2.250000,101.310000,116.100000,5.700000,41.85,52.84,18.17,27.15,8.37,27.15,25.42,9.98,26.8,25.42,13.4,52.84,27.15,12.1,76.26

31,07:30-07:45,3.710000,21.760000,16.88,87.240000,272.020000,5.450000,52.240000,3.370000,0.000000,5.720000,21.760000,3.450000,261.720000,3.370000,101.310000,116.100000,5.700000,56.63,53.36,18.17,27.15,11.33,27.15,25.68,12.86,33.25,25.68,16.62,53.36,27.15,18.1,77.04

32,07:45:08:00,3.710000,21.760000,16.94,87.240000,272.020000,5.450000,60.970000,4.590000,0.000000,5.720000,21.760000,4.700000,261.720000,4.590000,101.310000,116.100000,5.700000,73.82,53.71,18.14,27.15,14.76,27.15,25.84,15.89,40.35,25.86,20.17,53.71,27.15,24.93,77.57

33,08:00-08:15,2.110000,21.760000,25.28,87.240000,272.020000,5.450000,69.000000,6.020000,0.000000,6.040000,21.760000,6.180000,261.720000,6.020000,101.310000,116.100000,5.540000,91.29,45.33,18.73,32.34,18.26,32.33,25.66,20.07,47.55,25.65,23.77,45.33,32.33,32.47,76.96

34,08:15-08:30,2.110000,21.760000,25.45,87.240000,272.020000,5.450000,76.420000,7.350000,0.000000,6.040000,21.760000,7.530000,261.720000,7.350000,101.310000,116.100000,5.540000,108.71,48.86,18.97,32.34,21.74,32.33,26.51,23.46,54.07,26.52,27.03,48.86,32.33,40.7,79.56

35,08:30-08:45,2.110000,21.760000,25.71,63.060000,272.020000,5.450000,84.210000,8.550000,0.000000,6.040000,21.760000,8.760000,213.360000,8.550000,101.310000,116.100000,5.540000,125.73,49.84,19.9,32.34,25.15,32.33,26.79,26.62,59.74,26.8,29.87,49.84,32.33,46.73,80.39

36,08:45:09:00,2.110000,21.760000,25.15,62.960000,272.020000,5.450000,92.260000,9.340000,0.000000,6.040000,21.760000,9.580000,201.540000,9.340000,101.310000,116.100000,5.540000,143.26,50.12,20.34,32.34,28.65,32.33,26.18,29.59,65.14,26.17,32.57,50.12,32.33,53.97,78.52

37,09:00:09:15,1.320000,21.760000,24.98,50.470000,272.020000,5.450000,99.930000,9.890000,0.000000,5.860000,21.760000,10.140000,201.540000,9.890000,101.310000,116.100000,5.540000,158.96,65.21,19.45,32.34,31.79,32.33,26.13,32.26,70.62,26.13,35.3,65.21,32.33,59.8,78.39

38,09:15-09:30,1.320000,21.760000,25.72,50.470000,272.020000,5.450000,105.880000,9.960000,0.000000,5.860000,21.760000,10.210000,201.540000,9.960000,101.310000,116.100000,5.540000,174.25,64.42,24.69,32.34,34.85,32.33,26.35,34.58,75.7,26.35,37.85,64.42,32.33,66,79.05

39,09:30-09:45,1.320000,21.760000,19.68,50.470000,272.020000,5.450000,110.800000,10.160000,0.000000,5.860000,21.760000,10.420000,201.540000,10.160000,101.310000,116.100000,5.540000,188.96,63.43,24.26,32.34,37.79,32.33,33.14,35.18,79.91,33.14,39.95,63.43,32.33,71.5,99.43

40,09:45-10:00,1.320000,21.760000,19.08,50.470000,272.020000,5.450000,115.400000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,202.4,62.31,23.74,32.34,40.48,32.33,32.9,37.24,83.41,32.92,41.7,62.31,32.33,76.3,98.75

41,10:00-10:15,1.320000,21.760000,18.78,50.470000,272.020000,5.450000,118.840000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,214.68,61.31,23.6,32.34,42.94,32.33,32.79,38.94,86.5,32.81,43.25,61.31,32.33,80.9,98.42

42,10:15-10:30,1.320000,21.760000,18.43,50.470000,272.020000,5.450000,120.980000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,225.53,60.97,23.47,32.34,45.11,32.33,32.89,40.36,89.02,32.88,44.5,60.97,32.33,85.23,98.64

43,10:30-10:45,1.320000,21.760000,18.49,50.470000,272.020000,5.450000,123.580000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,235.83,60.27,29.26,32.34,47.17,32.33,32.6,41.63,91.15,32.58,45.57,60.27,32.33,88.2,97.75

44,10:45-11:00,1.320000,21.760000,18.11,50.470000,272.020000,5.450000,126.840000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,235.83,69.4,29.02,32.34,47.17,32.33,35.88,42.74,93.1,35.89,46.54,69.4,32.33,89.63,107.66

45,11:00-11:15,0.390000,21.760000,25.08,50.470000,272.020000,5.450000,128.760000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,235.83,69.07,29.34,32.66,47.17,32.67,35.94,40.86,94.7,35.93,47.34,69.07,32.67,90.67,107.8

46,11:15-11:30,0.390000,21.760000,26.48,50.470000,272.020000,5.450000,128.650000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,235.83,69.27,29.29,32.66,47.17,32.67,35.88,41.56,90,35.89,45,69.27,32.67,91.2,107.65

47,11:30-11:45,0.390000,21.760000,27.71,50.470000,272.020000,5.450000,128.220000,10.180000,0.000000,5.860000,21.760000,10.440000,201.540000,10.180000,101.310000,116.100000,5.540000,235.83,70.9,29.34,32.66,47.17,32.67,35.91,42.12,89.34,35.91,44.66,70.9,32.67,91.27,107.73

48,11:45-12:00,0.390000,21.760000,29.48,62.960000,272.020000,5.450000,127.610000,10.170000,0.000000,5.860000,21.760000,10.430000,201.540000,10.170000,101.310000,116.100000,5.540000,235.83,71.93,29.77,32.66,47.17,32.67,36.02,42.76,89.34,36.03,44.66,71.93,32.67,91.27,108.07

49,12:00-12:15,3.710000,21.550000,39.09,63.430000,272.020000,5.300000,126.770000,10.170000,0.000000,5.860000,21.550000,10.430000,261.720000,10.170000,101.310000,116.100000,5.540000,235.83,72.04,29.92,32.66,47.17,32.67,36.12,43.47,88.67,36.13,44.33,72.04,32.67,91.27,108.38

50,12:15-12:30,3.710000,21.550000,39.49,63.430000,272.020000,5.300000,125.930000,10.180000,0.000000,5.860000,21.550000,10.440000,261.720000,10.180000,101.310000,116.100000,5.540000,235.83,72.25,30.04,32.66,47.17,32.67,36.16,44.02,88.67,36.17,44.33,72.25,32.67,91.27,108.51

51,12:30-12:45,3.710000,21.550000,39.69,87.240000,272.020000,5.300000,126.810000,10.180000,0.000000,5.860000,21.550000,10.440000,261.720000,10.180000,101.310000,116.100000,5.540000,237.5,66.87,28.67,32.66,47.5,32.67,34.19,42.36,89.34,34.18,44.66,66.87,32.67,91.27,102.55

52,12:45-13:00,3.710000,21.550000,39.93,87.240000,272.020000,5.300000,130.200000,10.170000,0.000000,5.860000,21.550000,10.430000,261.720000,10.170000,101.310000,116.100000,5.540000,237.5,66.45,29.09,32.66,47.5,32.67,34.21,42.34,89.34,34.23,44.66,66.45,32.67,91.23,102.68

53,13:00-13:15,3.710000,21.550000,40.89,87.240000,272.020000,5.300000,129.910000,10.180000,0.000000,6.040000,21.550000,10.440000,261.720000,10.180000,101.310000,116.100000,5.700000,237.5,66.21,29.76,32.66,47.5,32.67,34.77,42.12,89.34,34.77,44.66,66.21,32.67,91.13,104.31

54,13:15-13:30,3.710000,21.550000,41.69,87.240000,272.020000,5.300000,127.560000,10.130000,0.000000,6.040000,21.550000,10.390000,261.720000,10.130000,101.310000,116.100000,5.700000,237.5,65.45,30.53,32.66,47.5,32.67,35.11,41.91,88.67,35.1,44.33,65.45,32.67,91.1,105.31

55,13:30-13:45,3.710000,21.550000,43.12,87.240000,272.020000,5.300000,117.300000,10.160000,0.000000,6.040000,21.550000,10.420000,261.720000,10.160000,101.310000,116.100000,5.700000,237.5,65.13,30.93,32.66,47.5,32.67,35.54,41.81,88.67,35.54,44.33,65.13,32.67,91.13,106.62

