Column1,Block,NR/2024/23682/C,NR/2024/23640/A/40977,NR/2024/23639/A/40978,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/8106,NR/2024/23384/A/40946,NR/30092023/26122029/SH-06,NR/2024/23382/A/41087,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,NR/2024/23681/C,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23383/A/40958,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,NR/2024/23648/A/40969,Total
,,NVVNL,SJVNL,SJVNL,APPCPL,NDMC,PTC,NDMC,IEXL,PUNJAB,NVVNL,BAWANA_GAS,NDMC,TPDDL,PTC,DELHI,ITCLH,NDMC,NDMC,DIAPL,
,,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,HIMACHAL_STATE,
,,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,BYPL,SKS_Raigarh,BYPL,TRN_ENERGY,NSLSUGAR,BAWANA_GAS,JITPL,BAWANA_GAS,RKM_POWER,JHAJJAR,BRPL,CHANJUII,ITCWIND,RKM_POWER,JPL2,GBHHPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,NDMC,NDMC,AEML,NDMC,HP,NDMC,MES_Delhi,PUNJAB,NDMC,HARYANA,NDMC,TPDDL,HP,TPDDL,ITCLH,NDMC,NDMC,DIAPL,
,,West-North,North-North,North-North,North-West,West-North,North-North,West-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,South-West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.58,37.24,37.24,2.89,670.9399999999999

2,00:15-00:30,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.58,37.24,37.24,2.89,670.9399999999999

3,00:30-00:45,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.58,37.24,37.24,2.89,670.9399999999999

4,00:45-01:00,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.58,37.24,37.24,2.89,670.9399999999999

5,01:00-01:15,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.53,37.24,37.24,2.89,670.8899999999999

6,01:15-01:30,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.53,37.24,37.24,2.89,670.8899999999999

7,01:30-01:45,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.53,37.24,37.24,2.89,670.8899999999999

8,01:45-02:00,0,0,0,192.8,12.42,30.57,12.42,6.75,1.78,24.83,1.78,37.24,175.45,91.71,5.24,0.53,37.24,37.24,2.89,670.8899999999999

9,02:00-02:15,0,0,0,0,12.42,30.57,12.42,6.75,24.8,24.83,24.8,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,524

10,02:15-02:30,0,0,0,0,12.42,30.57,12.42,6.75,24.8,24.83,24.8,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,524

11,02:30-02:45,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

12,02:45-03:00,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.48,37.24,37.24,2.89,528.14

13,03:00-03:15,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

14,03:15-03:30,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

15,03:30-03:45,0,0,0,0,12.42,30.57,12.42,6.75,26.87,24.83,26.87,37.24,175.45,91.71,5.16,0.43,37.24,37.24,2.89,528.0899999999999

