Block,Time,NLCIIST1,SASAN,SIMHST2,SINGRAULI_HYDRO,VALLURNTECL,AURY_CRF,KHSTPP-II,KOLDAM,KOTESHWR,KUDGI,NAPP,NLCEXP,NLCTS2EXP,NNTPP,PARBATI2,TALST2,UNCHAHAR3,UNCHAHAR4,CHAMERA3,DHAULIGNGA,KGSU1AND2,RIHAND2,SALAL,SIMHST1,UNCHAHAR2,ANTA_GF,DADRI_RF,DADRT2,JHAJJAR,KKNP,PARBATI3,RAMPUR,RAPPC,RIHAND3,SEWA2,TALA,TelanganaSTPP,AURY_GF,CHAMERA1,KISHANGANGA,NJPC,NLCIIST2,RAPPD,SINGRAULI,TANDA2,URI,ANTA_CRF,DADRI_LF,BRBCL,BSIUL,FSTPP I & II,NTPL,RSTPSU1TO6,TEHRI,AURY_LF,DADRI_GF,CHAMERA2,KGSU3AND4,KHSTPP-I,RIHAND1,TANAKPUR,TEHRIPSP,URI2,ANTA_LF,AURY_RF,DULHASTI,KKNPPU2,MAPS,RAPPB,RSTPSU7,UNCHAHAR1,ANTA_RF,DADRI_CRF
1,00:00-00:15,0,236.25,0,0,0,0,129.75,8.63,45.08,0,23.98,0,0,0,12.67,0,27.38,3.23,0,42.46,0,122.57,80.18,0,44.52,0,105.4,689.39,667.27,0,44.61,5.68,65.43,130.84,18.87,18.09,0,0,28.1,6.97,175.8,0,38.66,109.75,5.73,4.41,0,0,18.75,0,20.8,0,0,82.36,0,0,15.71,0,33.89,46.89,13.11,207.96,16.37,0,82.34,37.42,0,0,0,0,22.41,52.09,0

2,00:15-00:30,0,236.25,0,0,0,0,129.75,8.63,45.08,0,23.98,0,0,0,12.67,0,27.38,3.23,0,42.46,0,122.57,80.18,0,44.52,0,105.4,689.39,667.27,0,44.61,5.68,65.43,130.84,18.87,18.09,0,0,28.1,6.97,175.8,0,38.66,109.75,5.73,4.41,0,0,18.75,0,20.8,0,0,82.36,0,0,15.71,0,33.89,46.89,13.11,207.96,16.37,0,82.34,37.42,0,0,0,0,22.41,52.09,0

3,00:30-00:45,0,236.25,0,0,0,0,129.75,8.63,45.08,0,23.98,0,0,0,12.67,0,27.38,3.23,33.95,42.46,0,122.57,80.18,0,44.52,0,105.4,689.39,667.27,0,44.61,5.68,65.43,130.84,18.87,23.58,0,0,28.1,6.97,175.8,0,38.66,109.75,5.73,26.49,0,0,18.75,0,20.8,0,0,82.36,0,0,15.71,0,33.89,46.89,13.11,207.96,16.37,0,82.34,37.42,0,0,0,0,22.41,52.09,0

4,00:45-01:00,0,236.25,0,0,0,0,129.75,8.63,45.08,0,23.98,0,0,0,12.67,0,27.38,3.23,33.95,42.46,0,122.57,80.18,0,44.52,0,105.4,689.39,667.27,0,44.61,5.68,65.43,130.84,18.87,23.58,0,0,28.1,6.97,175.8,0,38.66,109.75,5.73,26.49,0,0,18.75,0,20.8,0,0,82.36,0,0,15.71,0,33.89,46.89,13.11,207.96,16.37,0,82.34,37.42,0,0,0,0,22.41,52.09,0

5,01:00-01:15,0,236.25,0,0,0,0,129.75,8.63,45.08,0,23.98,0,0,0,12.67,0,27.38,3.23,33.95,42.46,0,122.57,80.18,0,44.52,0,105.4,689.39,667.27,0,44.61,5.68,65.43,130.84,18.87,23.58,0,0,28.1,6.97,175.8,0,38.66,109.75,5.73,26.49,0,0,18.75,0,20.8,0,0,82.36,0,0,15.71,0,33.89,46.89,13.11,207.96,16.37,0,82.34,37.42,0,0,0,0,22.41,52.34,0

