Block,Time,CHAMERA2,MAPS,NLCIIST1,NLCTS2EXP,NNTPP,NTPL,RIHAND3,RSTPSU7,SINGRAULI,SINGRAULI_HYDRO,TEHRIPSP,UNCHAHAR1,NLCIIST2,RAMPUR,RAPPD,RIHAND1,SEWA2,UNCHAHAR2,URI2,ANTA_CRF,BRBCL,CHAMERA3,DADRT2,DULHASTI,KHSTPP-I,KKNP,SIMHST1,VALLURNTECL,ANTA_LF,CHAMERA1,DHAULIGNGA,FSTPP I & II,KISHANGANGA,NAPP,PARBATI3,RAPPB,TALA,TALST2,TelanganaSTPP,AURY_LF,JHAJJAR,KKNPPU2,NJPC,UNCHAHAR4,URI,AURY_GF,DADRI_GF,DADRI_LF,BSIUL,KGSU1AND2,KOTESHWR,KUDGI,NLCEXP,PARBATI2,SALAL,TANAKPUR,ANTA_RF,DADRI_RF,KGSU3AND4,KHSTPP-II,KOLDAM,RAPPC,RIHAND2,SASAN,SIMHST2,ANTA_GF,AURY_CRF,DADRI_CRF,RSTPSU1TO6,TANDA2,TEHRI,UNCHAHAR3,AURY_RF
1,00:00-00:15,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,12.62,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,42.15,21.92,18.2,8.71,25.29,39.96,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,66.82,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

2,00:15-00:30,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,42.15,10.97,18.2,8.71,25.29,39.96,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,84.83,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

3,00:30-00:45,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,50.72,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

4,00:45-01:00,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,50.72,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

5,01:00-01:15,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,50.72,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

6,01:15-01:30,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,50.72,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,45.24,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

7,01:30-01:45,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,6.31,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

8,01:45-02:00,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,5.59,45.12,38.16,0,20,35.09,550.85,59.56,45.83,0,0,0,0,28.1,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.27,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

9,02:00-02:15,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,5.22,45.11,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.77,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.93,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

10,02:15-02:30,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,0,45.11,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,110.82,2.48,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.93,76.68,0,148.3,2.42,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

11,02:30-02:45,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,4.44,26.14,64.81,0,45.11,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,110.82,2.39,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.93,76.68,0,148.3,4.84,68.39,96.8,416.25,0,0,0,0,0,6.87,18.82,27.99,78.22

12,02:45-03:00,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,5.55,26.14,64.81,0,45.1,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,138.54,2.39,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,51.93,76.68,0,148.3,4.84,68.39,96.8,416.25,0,0,0,0,0,6.61,18.82,27.99,78.22

13,03:00-03:15,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,5.55,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,138.54,2.39,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,52.32,76.68,0,148.3,4.84,68.39,96.8,416.25,0,0,0,0,0,6.61,18.82,27.99,78.22

14,03:15-03:30,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,5.55,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,138.54,2.39,51.89,0,0,0,6.52,0,7.54,0,0,52.78,85.41,1.41,52.32,76.68,0,148.3,4.84,68.39,96.8,416.25,0,0,0,0,0,6.61,18.82,27.99,78.22

15,03:30-03:45,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,5.55,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,26.7,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,138.54,3.98,51.89,0,0,0,13.04,0,7.54,0,0,52.78,66.82,6.27,52.32,76.68,0,148.3,7.26,68.39,96.8,416.25,0,0,0,0,0,7.07,18.82,27.99,78.22

16,03:45-04:00,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,5.55,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,14.05,10.97,18.2,8.71,25.29,58.4,0,2.94,0,0,0,447.23,0,138.54,3.98,51.89,0,0,0,13.04,0,7.54,0,0,52.78,66.82,6.27,52.32,76.68,0,148.3,7.26,68.39,96.8,416.25,0,0,0,0,0,7.07,18.82,27.99,78.22

17,04:00-04:15,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,6.29,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,0,21.92,18.2,8.71,25.29,58.4,0,5.64,0,0,0,447.23,0,157.04,3.98,51.89,0,0,0,13.04,0,7.54,0,0,52.78,66.82,6.27,52.32,76.68,0,148.3,9.69,68.39,96.8,416.25,0,0,0,0,0,7.07,18.82,27.99,78.22

18,04:15-04:30,48.9,0,0,0,0,0,92.37,0,155.58,1.16,0,21.83,0,6.29,26.14,64.81,0,45.62,38.16,0,20,35.09,550.85,58.79,45.83,0,0,0,0,0,21.92,18.2,8.71,25.29,58.4,0,5.64,0,0,0,447.23,0,157.04,3.98,51.89,0,0,0,13.04,0,7.54,0,0,52.78,66.82,6.27,52.32,76.68,0,148.3,9.69,68.39,96.8,416.25,0,0,0,0,0,7.07,18.82,27.99,78.22

