Time,Block,NR/2023/11956/F,NR/2023/11342/A,NR/2023/12045/C,NR/2023/11957/F,NR/2023/10344/A,NR/2023/11961/F,NR/2023/12050/C,NR/2023/10434/A,NR/2023/11958/F,NR/2023/10229/A,NR/2023/11955/F,NR/2023/11952/F,NR/2023/11941/F,NR/2023/12041/D,NR/2023/11947/F,NR/2023/11862/F,NR/2023/11962/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11963/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/10613/A,NR/2023/11959/F,NR/2023/12040/D,NR/2023/12039/D,NR/2023/12035/D,Total
,,SHPPBPL,IEXL,GBHHPL,SHPPBPL,BYPL,SHPPBPL,TPDDL,NVVNL,SHPPBPL,NVVNL,SHPPBPL,KEIPL,NVVNL,NVVNL,HPXL,APPCPL,SHPPBPL,IEXL,NVVNL,SHPPBPL,SHPPBPL,TPTCL,APPCPL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,MAHARASHTRA,MANIPUR,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,NA,NA,NA,
,,SHPPBPL,NAVABHARAT,GBHHPL,SHPPBPL,Meghalaya_Ben,SHPPBPL,CHANJUII,SEIL,SHPPBPL,JPNIGRIE_JNSTPP,SHPPBPL,Meghalaya_Ben,SKS Raigarh,KAMENG,B_S_ISPAT_MH,Manipur_Ben,SHPPBPL,JSPL_DCPP,ILFS,SHPPBPL,SHPPBPL,APNRL,Nagaland_Ben,SHPPBPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL224,BRPL,DIAPL,BAL234,BYPL,JHPL-DL,TPDDL,TPDDL,AISHER,BRPL,BAL184,BYPL,NDMC,TPDDL,NDMC,STT,MHIL,BRPL,BRPL,UHL,MAX-HPTL,TPDDL,BYPL,BMDRC,BYPL,BRPL,MES (Delhi),
,,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,West-North,North-North,North East-East-North,West-North,North East-East-North,West-North,North East-East-North,North-North,West-North,South-West-North,North-North,North-North,East-North,North East-East-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.530000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.31

2,00:15-00:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.530000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.31

3,00:30-00:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.530000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.31

4,00:45-01:00,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.530000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.31

5,01:00-01:15,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.440000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.22

6,01:15-01:30,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.440000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.22

7,01:30-01:45,0.370000,115.980000,28.600000,0.720000,12.250000,0.700000,11.440000,13.160000,0.560000,42.970000,0.360000,36.470000,62.820000,72.660000,6.770000,2.900000,0.420000,48.320000,214.830000,0.420000,0.640000,41.560000,12.660000,0.640000,0,0,0,728.22

