Column1,Time,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8964,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/04/01/8456,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,NR/01102023/06022042/L_NR_2012_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,0,10.17,9.74,30,21.25,0,7.07,0,0,0,0,0,0,0,28.83,0,86.51,0,0,0,27.81,0,0,17.56,0,10.63,20.53,14.49,0,10.29,273.14,14.49,16,8.9,115.51,261.4,28.98,0,13.52,30.28,0,164.22,15.36,0,28.98,67.62,82.11,5.8,87.13,70.33,28.83,0,21.67,70.33

2,00:15-00:30,0,10.17,9.74,30,21.25,0,7.07,0,0,0,0,0,0,0,28.67,0,85.99,0,0,0,26.41,0,0,17.56,0,10.63,20.53,14.49,0,10.29,273.14,14.49,16,8.9,115.51,261.4,28.98,0,13.52,30.79,0,164.22,15.36,0,28.98,67.62,82.11,5.8,87.13,71,28.67,0,21.67,71

3,00:30-00:45,0,10.17,9.74,30,24.25,0,7.07,0,0,0,0,0,0,0,28.33,0,85.01,0,0,0,25.01,0,0,17.56,0,10.63,20.53,14.49,0,10.29,273.14,14.49,16,8.9,115.51,261.4,28.98,0,13.52,31.29,0,164.22,15.36,0,28.98,67.62,82.11,5.8,87.13,71.33,28.33,0,21.67,71.33

4,00:45-01:00,0,10.17,9.74,30,24.25,0,7.07,0,0,0,0,0,0,0,28.33,0,85.01,0,0,0,22.81,0,0,17.56,0,10.63,20.53,14.49,0,10.29,273.14,14.49,16,8.9,75.75,261.4,28.98,0,13.52,31.29,0,164.22,15.36,0,28.98,67.62,82.11,5.8,87.13,71,28.33,0,21.67,71

5,01:00-01:15,0,9.94,7.01,24.25,24.25,0,7.07,0,0,0,0,0,0,0,28.33,0,85.01,0,0,0,14.01,0,0,17.56,0,10.63,20.53,14.49,0,10.29,273.14,14.49,15.53,8.62,75.75,261.4,28.98,0,13.52,31.29,0,164.22,15.36,0,28.98,67.62,82.11,5.8,87.13,72.67,28.33,0,21.33,72.67

