Block,Time,L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,NR/01012024/31032024/ ChanjuII,NR/01032024/31032024/SJVN010324NR1588,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01032024/22032024/HP-59,WR/01102023/01102023/L_NR_2020_06,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/05012040/L_NR_2020_02,NR/01102023/23072042/L_NR_2012_04,WR/01102023/24112044/L_NR_2020_07,NR/16032024/22032024/HP-63,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01102023/31102037/L_NR_2019_11,NR/01032024/22032024/HP-56,NR/01102023/31052040/LT-31,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/15082037/GNA_NR_2012_01,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/30092023/26122029/SH-06,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,0,0.000000,5.800000,0,48.280000,205.560000,25.530000,24.67,8.34,0,0,0,32.860000,10.84,48.28,0,0,0,25.100000,0.000000,24.67,33.790000,1.320000,0,6.81,0,1.390000,271.550000,10.83,78.790000,0,0,1.460000,76.750000,0.000000,0,35.200000,0.000000,193.100000,32.5,0,0,0,54.070000,48.28,25.530000,0

2,00:15-00:30,0,0.000000,5.800000,0,48.280000,205.560000,25.530000,23.67,8.34,0,0,0,32.860000,10.84,48.28,0,0,0,25.100000,0.000000,23.67,33.790000,1.320000,0,6.81,0,1.390000,271.550000,10.83,78.790000,0,0,1.460000,76.750000,0.000000,0,35.200000,0.000000,193.100000,32.5,0,0,0,54.070000,48.28,25.530000,0

3,00:30-00:45,0,0.000000,5.800000,0,48.280000,95.700000,25.530000,23.33,8,0,0,0,32.860000,10.5,48.28,0,0,0,25.100000,0.000000,23.33,33.790000,1.320000,0,6.81,0,1.390000,271.550000,10.5,78.790000,0,0,1.460000,76.750000,0.000000,0,35.200000,0.000000,193.100000,31.5,0,0,0,54.070000,48.28,25.530000,0

4,00:45-01:00,0,0.000000,5.800000,0,48.280000,70.480000,25.530000,19.33,8,0,0,0,32.860000,10.5,48.28,0,0,0,25.100000,0.000000,19.33,33.790000,1.320000,0,6.81,0,1.390000,271.550000,10.5,78.790000,0,0,1.460000,76.750000,0.000000,0,35.200000,0.000000,193.100000,31.5,0,0,0,54.070000,48.28,25.530000,0

5,01:00-01:15,0,0.000000,5.800000,0,48.280000,70.480000,25.530000,19.67,7.66,0,0,0,32.860000,10.16,48.28,0,0,0,25.100000,0.000000,19.67,33.790000,1.250000,0,6.81,0,1.390000,271.550000,10.17,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,30.5,0,0,0,54.070000,48.28,25.530000,0

6,01:15-01:30,0,0.000000,5.800000,0,48.280000,70.480000,25.530000,19.67,7.66,0,0,0,32.860000,9.84,48.28,0,0,0,25.100000,0.000000,19.67,33.790000,1.250000,0,6.81,0,1.390000,271.550000,9.83,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,29.5,0,0,0,54.070000,48.28,25.530000,0

7,01:30-01:45,0,0.000000,5.800000,0,48.280000,70.480000,25.530000,20,7.34,0,0,0,32.860000,9.5,48.28,0,0,0,25.100000,0.000000,20,33.790000,1.250000,0,6.81,0,1.390000,271.550000,9.5,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,28.5,0,0,0,54.070000,48.28,25.530000,0

8,01:45-02:00,0,0.000000,5.800000,0,48.280000,70.480000,25.530000,20,7.34,0,0,0,32.860000,8.66,48.28,0,0,0,25.100000,0.000000,20,33.790000,1.250000,0,6.81,0,1.390000,271.550000,8.67,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,26,0,0,0,54.070000,48.28,25.530000,0

9,02:00-02:15,0,0.000000,5.720000,0,48.280000,70.480000,25.530000,20.33,7,0,0,0,32.860000,10.5,48.28,0,0,0,25.100000,0.000000,20.33,33.790000,1.250000,0,6.81,0,1.390000,271.550000,10.5,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,31.5,0,0,0,54.070000,48.28,25.530000,0

10,02:15-02:30,0,0.000000,5.720000,0,48.280000,70.480000,25.530000,20.33,7,0,0,0,32.860000,10.34,48.28,0,0,0,25.100000,0.000000,20.33,33.790000,1.250000,0,6.81,0,1.390000,271.550000,10.33,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,31,0,0,0,54.070000,48.28,25.530000,0

11,02:30-02:45,0,0.000000,5.720000,0,48.280000,70.480000,25.530000,20.33,6.66,0,0,0,32.860000,10.16,48.28,0,0,0,25.100000,0.000000,20.33,33.790000,1.250000,0,6.81,0,1.390000,231.720000,10.17,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,30.5,0,0,0,54.070000,48.28,25.530000,0

12,02:45-03:00,0,0.000000,5.720000,0,48.280000,70.480000,25.530000,20.33,6.66,0,0,0,32.860000,10,48.28,0,0,0,25.100000,0.000000,20.33,33.790000,1.250000,0,6.81,0,1.390000,202.760000,10,78.790000,0,0,1.420000,76.750000,0.000000,0,35.200000,0.000000,193.100000,30,0,0,0,54.070000,48.28,25.530000,0

