Block,Time Block,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA2,CHAMERA1,BSIUL,BRBCL,CHAMERA3,KKNP,KISHANGANGA,KKNPPU2,KOLDAM,KHSTPP-I,KOTESHWR,KHSTPP-II,TALA,TelanganaSTPP,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,URI2,UNCHAHAR3,ANTA_CRF,TEHRI,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,JHAJJAR,KGSU1AND2,KGSU3AND4,TANDA2,TALST2,TANAKPUR,RAMPUR,RAPPD,RAPPC,RAPPB,RIHAND2,RIHAND1,PARBATI2,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NNTPP,NLCTS2EXP,NTPL,PARBATI3,NAPP,SALAL,SEWA2,SINGRAULI,SINGRAULI_HYDRO,SASAN,SIMHST1,SIMHST2,RIHAND3,RSTPSU1TO6,RSTPSU7,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.01,40.85,36,610.08,30.22,27.04,0,18.04,0,0,6.71,0,8.3,32.7,43.37,114.12,23.52,0,41.51,4.24,20.43,1.99,0,200.08,0,25.69,0,79.24,0,0,0,0,0,0,0,0,0,0,0,446.9,0,0,2.51,0,10.64,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.77,21.11,81.61,18.3,104.65,0,267.89,0,0,125.88,0,0,0,0,0,0,0,0

2,00:15-00:30,20.01,40.85,36,504.32,30.22,27.04,0,11.74,0,0,6.71,0,8.3,32.7,43.37,114.12,23.52,0,41.51,4.24,20.43,1.47,0,200.08,0,25.69,0,79.24,0,0,0,0,0,0,0,0,0,0,0,428.1,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.77,21.11,81.61,18.3,104.65,0,284.13,0,0,125.88,0,0,0,0,0,0,0,0

3,00:30-00:45,14.7,40.85,36,423.47,30.22,27.04,0,12.23,0,0,6.71,0,8.3,32.7,43.37,114.12,23.52,0,30.4,4.24,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,342.47,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,299.46,0,0,125.88,0,0,0,0,0,0,0,0

4,00:45-01:00,14.7,40.85,36,375.36,30.22,27.04,0,11.25,0,0,6.71,0,8.3,32.7,43.37,114.12,23.52,0,30.4,4.24,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,284.74,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

5,01:00-01:15,16.86,40.85,36,283.96,30.22,27.04,0,11.74,0,0,6.71,0,8.3,32.99,43.37,118.42,23.3,0,35.9,4.24,14.4,1.46,0,200.08,0,22.09,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

6,01:15-01:30,16.86,40.85,36,235.86,30.22,27.04,0,11.09,0,0,6.71,0,8.3,32.99,43.37,118.42,23.3,0,35.9,4.24,14.4,1.46,0,200.08,0,22.09,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,14.22,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

7,01:30-01:45,16.86,40.85,36,187.75,30.22,27.04,0,11.76,0,0,6.71,0,8.3,32.99,43.37,118.42,23.3,0,30.4,25.49,14.4,1.46,0,200.08,0,22.09,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,13.55,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

8,01:45-02:00,16.86,40.85,36,139.65,30.22,27.04,0,13.8,0,0,6.71,0,8.3,32.99,43.37,118.42,23.3,0,30.4,25.49,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,13.55,0,0,0,169.14,0,0,0,0,45.06,21.11,81.61,18.3,104.65,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

9,02:00-02:15,14.09,40.85,36,101.16,30.22,27.04,0,14.18,0,0,6.71,0,8.3,32.99,43.37,126.8,23.42,0,30.4,8.5,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,13.55,0,0,0,169.14,0,0,0,0,0,21.11,81.61,18.3,105.96,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

10,02:15-02:30,14.09,40.85,36,101.16,30.22,27.04,0,13.46,0,0,6.71,0,8.3,30.26,43.37,122.51,23.42,0,30.4,8.5,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.28,44.71,13.55,0,0,0,169.14,0,0,0,0,0,21.11,81.61,18.3,105.96,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

11,02:30-02:45,14.09,40.85,36,101.16,30.22,27.04,0,15.08,0,0,6.71,0,8.3,30.26,43.37,125.67,23.42,0,30.4,4.24,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.62,45.11,13.55,0,0,0,169.14,0,0,0,0,0,21.11,81.61,18.3,106.5,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

12,02:45-03:00,14.09,40.85,36,101.16,30.22,27.04,0,13.77,0,0,6.71,0,8.3,32.99,43.37,126.8,23.42,0,30.4,4.24,14.4,1.46,0,200.08,0,18.66,0,79.24,0,0,0,0,0,0,0,0,0,0,0,241.12,0,0,2.51,0,12.61,5.46,37.19,62.95,0,118.62,45.11,13.55,0,0,0,169.14,0,0,0,0,0,21.11,81.61,18.3,106.5,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

13,03:00-03:15,14.09,40.85,36,101.16,30.22,27.04,0,12.4,0,0,6.71,0,8.3,32.99,43.37,126.8,23.42,0,30.81,4.24,15.34,1.46,0,200.08,0,19.19,0,79.24,0,0,0,0,0,0,0,0,0,0,0,234.77,0,0,2.51,0,11.46,5.46,37.19,62.95,0,118.62,45.11,13.55,0,0,0,169.14,0,0,0,0,0,21.11,79.37,18.3,106.5,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

14,03:15-03:30,14.09,40.85,36,101.16,30.22,27.04,0,12.84,0,0,6.71,0,8.3,32.99,43.37,126.8,23.42,0,30.81,4.24,15.34,1.46,0,200.08,0,19.19,0,79.24,0,0,0,0,0,0,0,0,0,0,0,234.77,0,0,2.51,0,11.46,5.46,37.19,62.95,0,118.62,45.11,13.55,0,0,0,169.14,0,0,0,0,0,21.11,79.37,18.3,106.5,0,303.06,0,0,125.88,0,0,0,0,0,0,0,0

