Time,Block,ER/2023/7979/C,NR/2023/10561/A,NR/2023/13056/D,NR/2023/10436/A,NR/2023/13061/C,NR/2023/10956/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12916/F,NR/2023/12956/F,NR/2023/12814/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/12872/F,NR/2023/11447/A,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12813/F,SR/2023/5843/C,NR/2023/11709/A,NR/2023/12922/F,NR/2023/10460/A,NR/2023/10959/A,ER/2023/7974/C,SR/2023/5842/C,NR/2023/13058/D,NR/2023/11266/A,NR/2023/13059/C,NR/2023/13085/C,NR/2023/11712/A,ER/2023/7955/C,NR/2023/13067/C,NR/2023/10488/A,NR/2023/12661/A,NR/2023/10651/A,NR/2023/12915/F,NR/2023/13080/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/12169/A,NR/2023/13074/C,NR/2023/11507/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13070/C,NR/2023/12920/F,NR/2023/10947/A,NR/2023/12917/F,NR/2023/12906/F,NR/2023/13057/D,Total
,,IEXL,PTC,NVVNL,APPCPL,GBHHPL,NVVNL,SHPPBPL,STATKRAFT,SHPPBPL,IEXL,MANIKARAN,SHPPBPL,TPTCL,ITCLH,TPTCL,SHPPBPL,KEIPL,MANIKARAN,IEXL,MANIKARAN,SHPPBPL,GMRETL,NVVNL,HPXL,HPXL,NVVNL,TPTCL,TS1PL_BKN,IEXL,MANIKARAN,PXIL,PXIL,TPTCL,NVVNL,KEIPL,SHPPBPL,TPTCL,HPXL,KEIPL,APPCPL,TPDDL,TPTCL,SHPPBPL,NVVNL,PXIL,SHPPBPL,APPCPL,SHPPBPL,SJVNL,TS1PL_BKN,Total

,,DELHI,NA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,DELHI,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,DELHI,DELHI,NA,NA,NA,DELHI,TAMIL NADU,DELHI,DELHI,NA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,NA,
,,BYPL,JPNIGRIE_JNSTPP,KAMENG,Meghalaya_Ben,GBHHPL,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,SHPPBPL,SAPU1234,HP,SHPPBPL,NBVLIPP,ITCWIND,HP-GOVT,SHPPBPL,TANGEDCO,HP,BYPL,TANGEDCO,SHPPBPL,Meghalaya_Ben,KAMENG,BYPL,BYPL,SOLAPUR_SOLAR,KWHEP,TS1PL_BKN,BYPL,TANGEDCO,BYPL,BYPL,APNRL,SKS Raigarh,Meghalaya_Ben,SHPPBPL,HP-GOVT,B_S_ISPAT_MH,Meghalaya_Ben,HP,CHANJUII,JPL,SHPPBPL,SEIL,BYPL,SHPPBPL,HP,SHPPBPL,IPCL_WB,TS1PL_BKN,
,,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,ODISHA,KERALA,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,ODISHA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,
,,VLSEZ,TPDDL,TPDDL,BYPL,DIAPL,BRPL,UHL,BYPL,BAL224,MES (Delhi),BRPL,MAX-HPTL,TPDDL,ITCLH,BRPL,AISHER,BYPL,BRPL,APCPDCL,BRPL,JHPL-DL,BYPL,BRPL,VLSEZ,KSEB,MES (Delhi),BRPL,BYPL,AMBASTL,BRPL,JSPLBarbil,ASIL_UP,TPDDL,NDMC,BYPL,BAL184,BRPL,NDMC,BYPL,BRPL,TPDDL,BRPL,MHIL,TPDDL,TISCL_UP,BMDRC,BYPL,BAL234,NDMC,BRPL,
,,North-East,West-North,North East-East-North,North East-East-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,North-North,East-North,South-West-North,North-North,North-North,South-West-North,North-North,North-East-South,South-West-North,North-North,North East-East-North,North East-East-North,North-East,North-East-South,West-North,North-North,North-North,North-North,South-West-North,North-East,North-North,East-North,West-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,North-North,East-North,North-North,
1,00:00-00:15,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,17.200000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29

2,00:15-00:30,0.000000,48.380000,38.700000,24.190000,29.560000,100.140000,0.420000,98.680000,0.370000,4.840000,78.370000,0.640000,43.540000,0.480000,14.960000,0.560000,23.700000,62.890000,0.00,23.160000,0.700000,23.220000,25.040000,100.000000,0.00,0,17.200000,0,0.000000,64.340000,0.000000,0.000000,48.380000,62.890000,63.130000,0.360000,42.640000,6.770000,36.500000,65.020000,18.290000,300.400000,0.420000,24.190000,0.000000,0.640000,27.860000,0.720000,0.000000,0,1522.29
