Time,Block,NR/2023/17813/C,WR/2023/17681/A,NR/2023/17165/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17814/C,NR/2023/17263/F,NR/2023/17404/F,NR/2023/17496/F,NR/2023/17344/F,Total
,,NVVNL,MANIKARAN,NVVNL,MANIKARAN,TPTCL,MANIKARAN,APPCPL,TPDDL,APPCPL,MANIKARAN,IEXL,ITCLH,Total

,,NA,DELHI,NA,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,KARNATAKA,ANDHRA PRADESH,
,,SOLAPUR_SOLAR,BYPL,SKS Raigarh,BYPL,BYPL,BRPL,BYPL,CHANJUII,BRPL,BRPL,NSLSUGAR,ITCWIND,
,,DELHI,MAHARASHTRA,DELHI,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,
,,MES (Delhi),AEML,NDMC,AEML,TPC MSEB,HP,HP,TPDDL,HP,HP,MES (Delhi),ITCLH,
,,West-North,North-West,West-North,North-East-West,North-West,North-North,North-North,North-North,North-North,North-North,South-East-North,South-West-North,
1,00:00-00:15,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.540000,99.420000,20.400000,6.770000,0.580000,338.24

2,00:15-00:30,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.540000,99.420000,20.400000,6.770000,0.580000,338.24

3,00:30-00:45,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.540000,99.420000,20.400000,6.770000,0.580000,338.24

4,00:45-01:00,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.540000,99.420000,20.400000,6.770000,0.580000,338.24

5,01:00-01:15,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.440000,99.420000,20.400000,6.770000,0.530000,338.09

6,01:15-01:30,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.440000,99.420000,20.400000,6.770000,0.530000,338.09

7,01:30-01:45,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.440000,99.420000,20.400000,6.770000,0.530000,338.09

8,01:45-02:00,0,100.000000,62.820000,0.000000,0.000000,0.000000,42.710000,5.440000,99.420000,20.400000,6.770000,0.530000,338.09

