Column1,Time,L_NR_2019_19,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/9320,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/5800,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8068,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/8954,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9395,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8510,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/6363
1,00:00-00:15,0,0,4.46,0,0,0,0,70.67,0,0,70.66,0,24.67,20,0,0,0,73.99,0,24.67,0,0,4.05,163.76,260.67,13.49,9.58,14.45,67.43,5.53,0,28.9,122.82,10.43,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.95,26.26,86.89,272.37,7.74,26.24,28.9,0,4.51,14.45

2,00:15-00:30,0,0,4.4,0,0,0,0,71.33,0,0,71.34,0,24.33,20,0,0,0,73.01,0,24.33,0,0,4.05,163.76,260.67,13.49,9.58,14.45,67.43,5.53,0,28.9,122.82,10.43,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.95,26.26,86.89,272.37,7.74,26.24,28.9,0,4.51,14.45

3,00:30-00:45,0,0,4.28,0,0,0,0,71,0,0,71,0,24.17,19.67,0,0,0,72.49,0,24.17,0,0,3.85,163.76,260.67,13.49,9.58,14.45,67.43,5.53,0,28.9,122.82,5.78,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.95,26.26,86.89,272.37,7.74,26.24,28.9,0,4.51,14.45

4,00:45-01:00,0,0,4.21,0,0,0,0,71.67,0,0,71.66,0,24,19.67,0,0,0,72,0,24,0,0,3.85,163.76,260.67,13.49,9.58,14.45,67.43,5.53,0,28.9,122.82,5.78,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.95,26.26,86.89,272.37,7.74,26.74,28.9,0,4.51,14.45

5,01:00-01:15,0,0,4.15,0,0,0,0,72.67,0,0,72.66,0,24.67,20.33,0,0,0,73.99,0,24.67,0,0,3.85,163.76,260.67,13.49,9.5,14.45,67.43,5.53,0,28.9,122.82,5.78,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.86,26.26,86.89,272.37,7.74,26.74,28.9,0,4.51,14.45

6,01:15-01:30,0,0,4.09,0,0,0,0,73,0,0,73,0,25,21,0,0,0,75,0,25,0,0,3.85,163.76,260.67,13.49,9.5,14.45,67.43,5.53,0,28.9,122.82,5.78,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.86,26.26,86.89,272.37,7.74,26.74,28.9,0,4.51,14.45

7,01:30-01:45,0,0,4.03,0,0,0,0,73.67,0,0,73.66,0,26.83,23.67,0,0,0,80.51,0,26.83,0,0,1.06,163.76,200.72,13.49,9.5,14.45,67.43,5.53,0,28.9,122.82,1.93,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.86,26.26,68.95,272.37,3.91,26.74,28.9,0,4.51,14.45

8,01:45-02:00,0,0,4,0,0,0,0,74,0,0,74,0,27,24,0,0,0,81,0,27,0,0,1.06,163.76,200.72,13.49,9.5,14.45,67.43,5.53,0,28.9,122.82,1.93,0,10.6,115.19,5.78,100.36,163.76,0,17.51,30,0,4.86,26.26,68.95,272.37,3.91,26.74,28.9,0,4.51,14.45

9,02:00-02:15,0,0,3.97,0,0,0,0,75,0,0,75,0,28.83,28.66,0,0,0,86.5,0,28.84,96.33,0,1.06,163.76,200.72,13.49,9.4,14.45,0,5.38,0,0,122.82,1.93,0,10.6,115.19,0,100.36,163.76,0,17.51,30,0,4.76,26.26,68.95,272.37,3.91,26.74,28.9,0,4.82,0

10,02:15-02:30,0,0,3.89,0,0,0,0,76.33,0,0,76.34,0,29.33,28.66,0,0,0,88,0,29.34,96.33,0,1.06,163.76,200.72,13.49,9.4,14.45,0,5.38,0,0,122.82,1.93,0,10.6,115.19,0,100.36,163.76,0,17.51,30,0,4.76,26.26,68.95,272.37,3.91,26.74,28.9,0,4.82,0

11,02:30-02:45,0,0,3.83,0,0,0,0,76,0,0,76,0,29.33,28.66,0,0,0,88,0,29.34,96.33,0,1.06,163.76,200.72,13.49,9.4,14.45,0,5.38,0,0,122.82,1.93,0,10.6,115.19,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,26.74,28.9,0,4.82,0

12,02:45-03:00,0,0,3.84,0,0,0,0,76.67,0,0,76.66,0,28.83,28.66,0,0,0,86.5,0,28.84,96.33,0,1.06,163.76,200.72,13.49,9.4,14.45,0,5.38,0,0,122.82,1.93,0,10.6,115.19,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,26.74,28.9,0,4.82,0

13,03:00-03:15,0,0,3.8,0,0,0,0,80,0,0,80,0,29.67,28.34,0,0,0,89,0,29.66,96.33,0,3.97,163.76,200.72,13.49,9.22,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

14,03:15-03:30,0,0,3.81,0,0,0,0,80,0,0,80,0,29.67,28,0,0,0,89,0,29.66,96.33,0,3.97,163.76,200.72,13.49,9.22,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

15,03:30-03:45,0,0,3.91,0,0,0,0,80,0,0,80,0,29.67,27,0,0,0,89,0,29.66,96.33,0,3.97,163.76,200.72,13.49,9.22,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

16,03:45-04:00,0,0,3.93,0,0,0,0,80,0,0,80,0,29.67,26,0,0,0,89,0,29.66,96.33,0,3.97,163.76,200.72,13.49,9.22,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.76,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

17,04:00-04:15,0,0,3.82,0,0,0,0,80,0,0,80,0,29.67,25.34,0,0,0,89,0,29.66,96.33,0,1.06,163.76,200.72,13.49,9.04,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.67,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

18,04:15-04:30,0,0,3.76,0,0,0,0,80,0,0,80,0,29.67,24,0,0,0,89,0,29.66,96.33,0,1.06,163.76,200.72,13.49,9.04,14.45,0,5.22,0,0,122.82,1.93,0,10.6,70.25,0,100.36,163.76,0,17.51,26.93,0,4.67,26.93,68.95,272.37,3.91,28.26,28.9,0,4.82,0

