Block,Time,KKNP,NAPP,RAPPB,RAPPD,SINGRAULI_HYDRO,TANDA2,UNCHAHAR3,AURY_LF,DADRI_CRF,DHAULIGNGA,KKNPPU2,NJPC,PARBATI2,RIHAND1,UNCHAHAR2,BSIUL,FSTPP I & II,KHSTPP-I,KOTESHWR,KUDGI,MAPS,RAMPUR,SEWA2,ANTA_GF,DADRI_LF,CHAMERA1,NLCIIST1,NNTPP,SIMHST2,ANTA_RF,AURY_GF,DADRI_RF,KGSU1AND2,PARBATI3,RIHAND3,SALAL,TANAKPUR,AURY_RF,DULHASTI,KGSU3AND4,KHSTPP-II,NLCIIST2,RAPPC,RIHAND2,RSTPSU7,TALA,TALST2,TEHRIPSP,UNCHAHAR4,URI,VALLURNTECL,ANTA_LF,AURY_CRF,DADRI_GF,BRBCL,CHAMERA2,DADRT2,JHAJJAR,KOLDAM,NLCEXP,NLCTS2EXP,RSTPSU1TO6,SASAN,SIMHST1,TelanganaSTPP,UNCHAHAR1,ANTA_CRF,CHAMERA3,KISHANGANGA,NTPL,SINGRAULI,TEHRI,URI2
1,00:00-00:15,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.09,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.08,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

2,00:15-00:30,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.09,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.11,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

3,00:30-00:45,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.09,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.15,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

4,00:45-01:00,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.09,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.17,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

5,01:00-01:15,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.34,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.2,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

6,01:15-01:30,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.34,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,13.26,0,192.57,2.87,2.21,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

7,01:30-01:45,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.34,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,18.82,0,192.57,2.87,5.52,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

8,01:45-02:00,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.34,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,18.84,0,192.57,2.87,5.52,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,360,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

9,02:00-02:15,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.6,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,19.23,0,192.57,2.87,8.28,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,337.5,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

10,02:15-02:30,0,24.11,0,38.66,0,5.73,27.38,0,0,42.46,0,0,14.08,48.09,44.52,0,20.8,45.53,45.08,0,0,0,15.47,0,0,14.05,0,0,0,52.6,0,105.4,0,0,130.84,0,11.06,81.18,0,0,148.3,0,65.6,125.27,0,19.29,0,192.57,2.87,8.28,0,0,0,0,18.75,0,689.39,667.27,8.63,0,0,0,315,0,0,21.65,0,0,6.97,0,113.75,82.36,37.41

