Column1,Block,NR/2025/33637/A/100026,NR/2025/33633/A/100028,NR/2025/33632/A/100030,GNARE/NR/2024/12/20/3668,NR/2025/34402/C,NR/2025/34403/C,NR/2025/34404/C,NR/2025/34424/C,NR/2025/34417/C,NR/2025/34427/C,NR/2025/34420/C,NR/2025/34454/C,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,NR/2025/34438/C,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34439/C,NR/2025/31421/A/100354,NR/2025/32004/A/100266,NR/2025/29440/A/99843,NR/2025/34078/A/99913,NR/2025/32556/A/100263,NR/2025/32375/A/100351,NR/2025/31045/A/100302,NR/2025/34247/A/100296,NR/2025/31043/A/100301,NR/2025/32397/A/99829,NR/2025/31048/A/100303,NR/2025/31049/A/100304,NR/2025/32559/A/100261,NR/2025/34445/C,NR/2025/32610/A/100260,NR/2025/32455/A/100424,NR/2025/29992/A/100136,NR/2025/32262/A/100166,NR/2025/34263/A/100307,NR/2025/32532/A/100284,NR/2025/32535/A/100289,NR/2025/32532/A/100283,NR/2025/32534/A/100287,NR/2025/32535/A/100290,NR/2025/32534/A/100288,NR/2025/32599/A/100046,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,Total
,,GMRETL,GMRETL,GMRETL,SECI_Trader,PowerPulse,PowerPulse,PowerPulse,APPCPL,APPCPL,APPCPL,APPCPL,MES_Delhi,APPCPL,PowerPulse,PUNJAB,BAWANA_GAS,NVVNL,NDMC,NDMC,NDMC,NVVNL,MANIKARAN,DELHI,NVVNL,NVVNL,APPCPL,ITCLH,DIAPL,APPCPL,NVVNL,PowerPulse,PowerPulse,PowerPulse,IEXL,PowerPulse,PowerPulse,APPCPL,NVVNL,APPCPL,MANIKARAN,BYPL,TPTCL,PTC,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BRPL,MANIKARAN,APPCPL,MANIKARAN,MANIKARAN,
,,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,NA,NA,NA,NA,MP_State,NA,HIMACHAL_STATE,NA,NA,MSEB_State,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,MP_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,KERALA_State,MSEB_State,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,MP_State,GOA_State,MSEB_State,NA,
,,JGCPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,JPL2,AEML,RKM_POWER,RKM_POWER,NTPCREL_PSS2_KPS2_S,GOA_Beneficiary,Vidarbha_Industry_MH,BAWANA_GAS,BAWANA_GAS,JHABUA_IPP,TRN_ENERGY,SKS_Raigarh,JIPL,JP_BINA,MBMP,CHANJUII,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,AEML,ITCWIND,GBHHPL,JPL2,JP_BINA,MAHAN_ENERGEN,APL_Raipur_TPP,MAHAN_ENERGEN,A_A_Energy_MH_Bio,APL_Raigarh_TPP,APL_Raigarh_TPP,RKM_POWER,Kameng,RKM_POWER,MBMP,KSEB,TPC_MSEB,GoHP_NJPC,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TS1PL_BKN,BLAPOWER_MP,GOA_Beneficiary,AEML,DBPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BLKMH,DTCP,MAX_HPTL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,BYPL,NDMC,NDMC,MES_Delhi,BRPL,BRPL,PUNJAB,HARYANA,BRPL,NDMC,NDMC,NDMC,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,ITCLH,DIAPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,MES_Delhi,TPDDL,TPDDL,NDMC,TPDDL,NDMC,BRPL,BYPL,BYPL,BRPL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1354.05

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,19.24,81.78,0,0,20.44,8.66,8.66,17.32,0,33.67,0,0,48.1,105.83,0.87,0,26.24,48.1,0,163.56,96.21,8.66,96.21,0,26.24,192.42,26.24,48.1,44.26,54.12,81.78,0,0,0,0,0,0,0,20.44,15.25,20.76,40.89,1354.05

