Column1,Block,NR/2024/24071/A/44384,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/2024/24060/A/44551,NR/2024/24097/A/44379,NR/2024/24088/A/44381,NR/2024/24129/C,NR/2024/24052/A/44385,NR/2024/24051/A/44386,NR/2024/24135/C,WR/2024/25054/A/44550,NR/2024/23952/A/44437,GNA/NR/2024/12/01/3428,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1475,Total
,,IEXL,PTC,BAWANA_GAS,NDMC,PUNJAB,KSEB,PTC,DELHI,APPCPL,NVVNL,IEXL,IEXL,SJVNL,IEXL,IEXL,SJVNL,APPCPL,ITCLH,NDMC,MANIKARAN,NDMC,NDMC,NDMC,
,,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,TELANGANA_State,TELANGANA_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,NA,
,,TESPL_BKN2,BRPL,BAWANA_GAS,RKM_POWER,BAWANA_GAS,BYPL,BYPL,CHANJUII,BYPL,JITPL,NSLSUGARALAND,NSLSTUNGBHDRA,TPSL_BKN2,NSLKSLWPRTY,NSLKSLWPRTY,RSRPL_BKN,BRPL,ITCWIND,SKS_Raigarh,BRPL,RKM_POWER,TRN_ENERGY,JPL2,
,,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,KERALA_State,HIMACHAL_STATE,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,HP,HARYANA,NDMC,PUNJAB,KSEB,HP,TPDDL,AEML,NDMC,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,MES_Delhi,NDMC,GOA_Beneficiary,ITCLH,NDMC,AEML,NDMC,NDMC,NDMC,
,,North-North,North-North,North-North,West-North,North-North,North-West-South,North-North,North-North,North-West,East-North,South-West-North,South-West-North,North-North,South-West-North,South-West-North,North-North,North-West,South-West-North,West-North,North-West,West-North,West-North,West-North,
1,00:00-00:15,0,95.13,0,25.9,0,150,31.71,2.2,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.20999999999987

2,00:15-00:30,0,95.13,0,25.9,0,150,31.71,2.2,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.20999999999987

3,00:30-00:45,0,95.13,0,25.9,0,150,31.71,2.2,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.20999999999987

4,00:45-01:00,0,95.13,0,25.9,0,150,31.71,2.2,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.20999999999987

5,01:00-01:15,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

6,01:15-01:30,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

7,01:30-01:45,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

8,01:45-02:00,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

9,02:00-02:15,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

10,02:15-02:30,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

11,02:30-02:45,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

12,02:45-03:00,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.38,8.63,0,25.9,8.63,25.9,403.0699999999999

13,03:00-03:15,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.34,8.63,0,25.9,8.63,25.9,403.02999999999986

14,03:15-03:30,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.34,8.63,0,25.9,8.63,25.9,403.02999999999986

15,03:30-03:45,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.34,8.63,0,25.9,8.63,25.9,403.02999999999986

16,03:45-04:00,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.34,8.63,0,25.9,8.63,25.9,403.02999999999986

17,04:00-04:15,0,95.13,0,25.9,0,150,31.71,2.11,0,17.27,7.67,0.96,0,2.88,0,0,0,0.43,8.63,0,25.9,8.63,25.9,403.1199999999999

