Block,Time,URI2,UNCHAHAR2,ANTA_GF,RIHAND3,URI,AURY_CRF,SEWA2,UNCHAHAR3,CHAMERA3,DADRI_GF,AURY_LF,DADRI_LF,SINGRAULI_HYDRO,TEHRI,KISHANGANGA,ANTA_LF,TANAKPUR,KOTESHWR,DADRI_CRF,CHAMERA2,ANTA_RF,AURY_GF,RAMPUR,BSIUL,RIHAND1,JHAJJAR,DADRT2,NAPP,TANDA2,CHAMERA1,RAPPC,RAPPB,DHAULIGNGA,NJPC,KOLDAM,DULHASTI,DADRI_RF,AURY_RF,SINGRAULI,UNCHAHAR4,SALAL,RIHAND2,UNCHAHAR1,ANTA_CRF,PARBATI3,TALA,SASAN,KHSTPP-II,FSTPP I & II,BRBCL,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,36.522672,42.095152,0.000000,125.866158,35.116805,0.000000,0.000000,26.641213,0.000000,0.000000,0.000000,0.000000,1.127284,0.000000,8.039553,0.000000,11.730181,0.000000,0.000000,0.000000,0.000000,0.000000,6.502002,6.285399,93.455833,398.624715,528.907302,47.719131,5.164674,40.626534,65.536411,0.000000,41.964482,173.465809,9.865587,57.039171,0.000000,0.000000,143.601918,2.978451,73.923419,119.889882,21.809973,0.000000,4.117869,4.250799,336.377002,142.946370,16.077852,14.459801,42.710409,0,0,0,0,0

2,00:15-00:30,36.522672,42.095152,0.000000,125.866158,35.116805,0.000000,0.000000,26.641213,0.000000,0.000000,0.000000,0.000000,1.127284,0.000000,8.039553,0.000000,11.730181,0.000000,0.000000,0.000000,0.000000,0.000000,6.502002,6.285399,93.455833,377.924755,458.362499,47.719131,5.164674,40.626534,65.536411,0.000000,41.964482,173.465809,9.865587,57.039171,0.000000,0.000000,143.601918,2.978451,73.923419,119.889882,21.809973,0.000000,4.117869,4.250799,336.377002,142.946370,13.779791,14.459801,42.710409,0,0,0,0,0

3,00:30-00:45,36.522672,42.095152,0.000000,125.866158,35.116805,0.000000,0.000000,26.641213,0.000000,0.000000,0.000000,0.000000,1.127284,0.000000,8.039553,0.000000,11.730181,0.000000,0.000000,0.000000,0.000000,0.000000,6.502002,6.285399,93.455833,377.924755,458.362499,47.719131,5.164674,40.626534,65.536411,0.000000,41.964482,173.465809,9.865587,57.039171,0.000000,0.000000,143.601918,2.978451,73.923419,119.889882,21.809973,0.000000,4.117869,4.250799,336.377002,142.946370,13.779791,14.459801,42.710409,0,0,0,0,0

4,00:45-01:00,36.522672,42.095152,0.000000,125.866158,35.116805,0.000000,0.000000,26.641213,0.000000,0.000000,0.000000,0.000000,1.127284,0.000000,8.039553,0.000000,11.730181,0.000000,0.000000,0.000000,0.000000,0.000000,6.502002,6.285399,93.455833,377.924755,458.362499,47.719131,5.164674,40.626534,65.536411,0.000000,41.964482,173.465809,9.865587,57.039171,0.000000,0.000000,143.601918,2.978451,73.923419,119.889882,21.809973,0.000000,4.117869,4.250799,336.377002,142.946370,13.779791,14.459801,42.710409,0,0,0,0,0

5,01:00-01:15,36.522672,42.095152,0.000000,125.866158,35.116805,0.000000,0.000000,26.641213,0.000000,0.000000,0.000000,0.000000,1.127284,0.000000,8.039553,0.000000,11.730181,0.000000,0.000000,0.000000,0.000000,0.000000,6.502002,12.570798,93.455833,333.468246,458.362499,47.719131,5.164674,40.626534,65.536411,0.000000,41.964482,173.465809,9.865587,57.039171,0.000000,0.000000,143.601918,2.978451,73.923419,119.889882,21.809973,0.000000,4.117869,4.250799,336.377002,142.946370,13.779791,14.459801,42.710409,0,0,0,0,0

