Time,Block,NR/2023/12872/F,NR/2023/10959/A,NR/2023/13483/C,NR/2023/11709/A,NR/2023/12813/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13477/C,NR/2023/12922/F,NR/2023/12924/F,NR/2023/11712/A,NR/2023/11447/A,NR/2023/12917/F,NR/2023/13151/F,NR/2023/12919/F,NR/2023/13315/F,NR/2023/12706/A,NR/2023/13463/D,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13480/C,NR/2023/12923/F,NR/2023/11953/A,NR/2023/10786/A,NR/2023/10561/A,NR/2023/10720/A,NR/2023/12169/A,NR/2023/10460/A,NR/2023/12814/F,NR/2023/10432/A,NR/2023/10435/A,NR/2023/12921/F,NR/2023/13459/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/13455/D,NR/2023/13424/D,NR/2023/13454/D,NR/2023/11266/A,NR/2023/13456/D,NR/2023/10947/A,NR/2023/13469/C,NR/2023/10488/A,NR/2023/10956/A,NR/2023/12920/F,Total
,,ITCLH,NVVNL,GBHHPL,MANIKARAN,MANIKARAN,SHPPBPL,TPTCL,HPXL,SHPPBPL,SHPPBPL,MANIKARAN,TPTCL,SHPPBPL,TPTCL,SHPPBPL,IEXL,HPXL,NVVNL,NVVNL,KEIPL,TPDDL,SHPPBPL,KEIPL,STATKRAFT,PTC,KEIPL,APPCPL,GMRETL,MANIKARAN,TPTCL,NVVNL,SHPPBPL,NVVNL,SHPPBPL,APPCPL,TS1PL_BKN,SJVNL,TS1PL_BKN,TPTCL,NVVNL,APPCPL,PXIL,TPTCL,NVVNL,SHPPBPL,Total

,,ANDHRA PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,JAMMU AND KASHMIR,MAHARASHTRA,NA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,NA,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,ODISHA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,NA,WEST BENGAL,NA,NA,NA,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,
,,ITCWIND,KAMENG,GBHHPL,TANGEDCO,HP,SHPPBPL,JPL,Teesta_III,SHPPBPL,SHPPBPL,TANGEDCO,HP-GOVT,SHPPBPL,HP-GOVT,SHPPBPL,SAPU1234,B_S_ISPAT_MH,KAMENG,SKS Raigarh,Meghalaya_Ben,CHANJUII,SHPPBPL,Meghalaya_Ben,TANGEDCO,JPNIGRIE_JNSTPP,TANGEDCO,HP,Meghalaya_Ben,HP,NBVLIPP,SEIL,SHPPBPL,SORANG_HEP,SHPPBPL,Meghalaya_Ben,TS1PL_BKN,IPCL_WB,TS1PL_BKN,KWHEP,SOLAPUR_SOLAR,HP,BYPL,APNRL,JPNIGRIE_JNSTPP,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,
,,ITCLH,BRPL,DIAPL,BRPL,BRPL,BAL184,BRPL,BRPL,JHPL-DL,UHL,BRPL,BRPL,BAL234,BRPL,AISHER,MES (Delhi),NDMC,TPDDL,NDMC,BYPL,TPDDL,MHIL,BYPL,BYPL,TPDDL,BYPL,BRPL,BYPL,BRPL,TPDDL,TPDDL,MAX-HPTL,TPDDL,BAL224,BYPL,BRPL,NDMC,BYPL,BRPL,MES (Delhi),BYPL,ASIL_UP,TPDDL,BRPL,BMDRC,
,,South-West-North,North East-East-North,North-North,South-West-North,North-North,North-North,West-North,East-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North East-East-North,North-North,North-North,North East-East-North,South-West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,East-North,North-North,North-North,West-North,North-North,North-North,East-North,West-North,North-North,
1,00:00-00:15,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,313.370000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,15.050000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,17.200000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1607.7

2,00:15-00:30,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,275.650000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,15.050000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,17.200000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1569.98

3,00:30-00:45,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,242.770000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,15.050000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,17.200000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1537.1

4,00:45-01:00,0.480000,21.270000,30.570000,23.150000,62.870000,0.370000,255.260000,192.470000,1.020000,0.610000,64.320000,12.710000,0.920000,33.650000,0.820000,4.840000,6.770000,23.800000,33.850000,63.110000,15.050000,0.610000,36.490000,98.650000,48.360000,23.700000,54.160000,23.210000,85.600000,43.520000,24.180000,0.930000,0.000000,0.520000,24.180000,0,0.000000,0,17.200000,0,23.210000,0.000000,48.360000,85.080000,0.930000,1486.8

