Column1,Block,NR/2025/32454/C,NR/2025/32350/C,NR/2025/32434/C,NR/2025/32435/C,NR/2025/30084/A/92487,NR/2025/32430/C,NR/2025/32448/C,NR/2025/32442/C,NR/2025/30086/A/92486,NR/2025/32413/C,NR/2025/32446/C,NR/2025/32444/C,NR/2025/29985/A/92150,NR/2025/31419/A/92480,NR/2025/31138/A/92456,NR/2025/31420/A/92478,NR/2025/31138/A/92457,NR/2025/31347/A/92016,NR/2025/31136/A/92454,NR/2025/31137/A/92684,NR/2025/31136/A/92453,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/92458,NR/2025/32351/C,GNA/NR/2025/07/01/8154,NR/2025/30067/A/92559,NR/2025/30105/A/92485,NR/2025/32457/C,NR/2025/32459/C,NR/2025/29992/A/92107,NR/2025/28728/A/92688,NR/2025/27975/A/92689,NR/2025/30083/A/92488,NR/2025/27973/A/92690,NR/2025/30082/A/92548,GNA/NR/2025/07/01/8139,NR/2025/29915/A/92310,NR/2025/32451/C,NR/2025/29628/A/92493,NR/2025/30217/A/92484,NR/2025/32452/C,NR/2025/29910/A/92491,NR/30092023/26122029/SH-06,NR/2025/30121/A/92019,NR/2025/31780/A/92148,NR/2025/27978/A/92555,NR/2025/29167/A/92312,NR/2025/31870/A/92077,NR/2025/32449/C,NR/2025/29353/A/92526,NR/2025/29439/A/92112,NR/2025/29440/A/91975,NR/2025/29352/A/92528,NR/2025/32449/C/Alternate/1,NR/2025/30191/A/92017,NR/2025/30101/A/92547,NR/2025/32396/C,NR/2025/32401/C,GNA/NR/2025/07/16/5917,NR/2025/27965/A/92692,NR/2025/32402/C,NR/2025/27966/A/92691,GNA/NR/2025/07/23/7329,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,MES_Delhi,IEXL,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,APPCPL,APPCPL,ITCLH,APPCPL,APPCPL,BRPL,GMRETL,OIDLWM3_AEROCITY,GMRETL,OIDLWM3_AEROCITY,IEXL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SECI_Trader,OIDLWM2_AEROCITY,IEXL,MANIKARAN,MANIKARAN,APPCPL,BYPL,APPCPL,BYPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,HPXL,PowerPulse,TPTCL,NVVNL,APPCPL,APPCPL,NVVNL,APPCPL,PUNJAB,IEXL,BRPL,NVVNL,TPTCL,DIAPL,NVVNL,PTC,IVPL_Trader,ITCLH,PTC,NVVNL,IEXL,NVVNL,HPXL,PowerPulse,PowerPulse,PowerPulse,PowerPulse,PowerPulse,PowerPulse,BAWANA_GAS,NDMC,APPCPL,PowerPulse,APPCPL,PTC,DELHI,
,,NA,TAMILNADU_State,MSEB_State,KERALA_State,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,KERALA_State,NA,KERALA_State,NA,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,NA,MSEB_State,NA,MP_State,KERALA_State,DELHI_UT,TAMILNADU_State,NA,NA,MSEB_State,HIMACHAL_STATE,NA,GoHP_NJPC_STATE,MSEB_State,ANDHRA_PRADESH_STATE,GoHP_Chamera1_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,GOA_State,NA,GOA_State,NA,HIMACHAL_STATE,
,,NTPCREL_PSS2_KPS2_S,PCBLTNLTD_UNIT2,AEML,KSEB,RKM_POWER,APL_Raipur_TPP,RKM_POWER,SKS_Raigarh,RKM_POWER,ITCWIND,JIPL,RKM_POWER,TS1PL_BKN,JNEPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,APSEPL_FTG,TESPL_BKN2,IND_BHARAT,AEML,MBMP,JIPL,KSEB,TRN_ENERGY,KSEB,APL_Raipur_TPP,APL_Raigarh_TPP,SKS_Raigarh,APL_Raigarh_TPP,SKS_Raigarh,APL_Raipur_TPP,PPGCL,JPNIGRIE_JNSTPP,AEML,TRN_ENERGY,JP_BINA,KSEB,BAWANA_GAS,PCBLTNLTD_UNIT2,DADRT2,JPNIGRIE_JNSTPP,TPC_MSEB,GBHHPL,Kameng,GoHP_NJPC,TPC_MSEB,ITCWIND,GoHP_Chamera1,Kameng,IND_BHARAT,JP_BINA,SKS_Raigarh,MAHAN_ENERGEN,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,BAWANA_GAS,JPL2,GOA_Beneficiary,MAHAN_ENERGEN,GOA_Beneficiary,MEENAKSHI,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,MES_Delhi,BYPL,BYPL,NDMC,BRPL,NDMC,NDMC,NDMC,ITCLH,NDMC,NDMC,BRPL,DTCP,OIDLWM3_AEROCITY,BLKMH,OIDLWM3_AEROCITY,MES_Delhi,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,TPDDL,OIDLWM2_AEROCITY,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BYPL,BRPL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,TPDDL,BYPL,NDMC,TPDDL,BYPL,PUNJAB,MES_Delhi,BRPL,TPDDL,BYPL,DIAPL,TPDDL,BRPL,BYPL,ITCLH,BRPL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,East-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,East-North,West-North,West-North,East-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,North-North,South-West-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,West-North,South-West-North,North-North,North East-East-West-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-East-North,North-North,
1,00:00-00:15,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,0,43.8,19.28,192.76,15.28,49.15,15.5,2172.330000000001

2,00:15-00:30,0,0,0,0,26.28,0,0,0,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,204.81,17.52,0,0,44.33,96.38,0,8.76,96.38,48.19,0,20.48,0,106.02,7.71,0,19.28,30,6.75,96.38,96.38,54.21,12.53,0,96.38,25.14,0.92,33.73,192.76,48.19,48.19,0,0,96.38,96.38,0,0,159.03,0,43.8,19.28,192.76,15.28,49.15,15.5,2172.330000000001

