Block,Time Block,FSTPP I & II,DULHASTI,MAPS,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,CHAMERA3,DHAULIGNGA,DADRT2,SEWA2,SINGRAULI,TALST2,TANAKPUR,TALA,SIMHST1,SINGRAULI_HYDRO,SIMHST2,JHAJJAR,KGSU3AND4,KGSU1AND2,KKNPPU2,KOLDAM,KKNP,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KOTESHWR,KUDGI,RSTPSU7,RIHAND3,SALAL,RIHAND2,SASAN,RSTPSU1TO6,KISHANGANGA,KHSTPP-I,KHSTPP-II,RIHAND1,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NAPP,NTPL,RAPPC,PARBATI3,RAPPB,NLCEXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.16,52.13,0,32.1,74.53,1.49,17.16,0,0.86,35.23,0,0,40.94,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,608.49,5.53,128.35,0,12.6,6.73,0,0,0,408.67,0,0,0,3.89,0,6.32,14.54,42.86,40.85,37.45,0,0,123.67,37.17,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

2,00:15-00:30,20.16,52.13,0,32.1,74.53,1.49,17.16,0,0.86,35.23,0,0,40.64,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,513.01,0,128.35,0,12.6,6.7,0,0,0,408.67,0,0,0,3.89,0,6.32,14.54,27.47,40.85,37.45,0,0,123.67,61.95,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

3,00:30-00:45,20.16,52.13,0,36.37,74.53,1.49,17.16,0,0.86,35.23,0,0,40.46,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,513.01,0,128.35,0,12.6,6.78,0,0,0,408.67,0,0,0,3.89,0,6.32,14.54,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,14.98,0,0,0,0,0,0,0

4,00:45-01:00,20.16,52.13,0,36.37,74.53,1.49,17.16,0,0.86,35.23,0,0,40.46,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,513.01,0,128.35,0,12.6,6.93,0,0,0,408.67,0,0,0,3.89,0,6.32,13.68,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

5,01:00-01:15,20.16,52.13,0,36.37,74.53,1.49,17.16,0,0.86,20.04,0,0,36.12,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,443.06,0,128.35,0,12.6,6.93,0,0,0,439.89,0,0,0,3.89,0,6.32,12.21,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

6,01:15-01:30,20.16,52.13,0,36.37,74.53,1.49,15.31,0,0.86,20.04,0,0,36.01,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,442.08,0,128.35,0,12.6,6.93,0,0,0,388.65,0,0,0,3.89,0,6.32,10.75,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

7,01:30-01:45,20.16,52.13,0,48.68,74.53,1.49,15.01,0,0.86,20.04,0,0,36.45,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,383.93,0,128.35,0,12.6,6.93,0,0,0,388.65,0,0,0,3.89,0,6.32,11.31,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

8,01:45-02:00,20.16,52.13,0,48.68,74.53,1.49,11.86,0,0.86,20.04,0,0,29.11,0,0,0,0,0,0,0,0,0,0,0,0,20.71,39.16,366.48,0,128.35,0,12.6,6.93,0,0,0,384.77,0,0,0,3.89,0,6.32,10.86,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

9,02:00-02:15,20.16,52.13,0,36.37,74.53,1.49,11.86,0,0.86,20.04,0,0,28.12,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,366.48,0,128.35,0,12.6,6.93,0,0,0,287.85,0,0,0,3.89,0,6.32,10.78,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

10,02:15-02:30,20.16,52.13,0,36.37,74.53,1.49,11.86,0,0.86,20.04,0,0,28.12,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,366.48,0,128.35,0,12.6,6.93,0,0,0,237.87,0,0,0,3.89,0,6.32,10.67,27.47,27.23,37.45,0,0,123.67,76.94,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

11,02:30-02:45,17.95,52.13,0,29.96,74.53,1.49,11.86,0,0.86,20.04,0,0,28.12,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,366.48,0,128.35,0,12.6,7.07,0,0,0,237.87,0,0,0,3.89,0,6.32,12.2,27.47,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

12,02:45-03:00,12.97,52.13,0,29.96,74.53,1.49,11.86,0,0.86,20.04,0,0,28.12,0,0,0,0,0,0,0,0,0,0,0,0,20.71,29.3,366.48,0,128.35,0,12.6,7.07,0,0,0,237.87,0,0,0,3.89,0,6.32,14.54,27.47,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

13,03:00-03:15,12.97,52.13,0,29.96,74.53,1.49,11.86,0,0.86,35.23,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.07,0,0,0,237.87,0,0,0,3.89,0,6.32,13.24,27.47,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

14,03:15-03:30,12.97,52.13,0,29.96,74.53,1.49,11.86,0,0.86,35.23,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,10.36,29.3,366.48,0,128.35,0,11.17,7.07,0,0,0,237.87,0,0,0,3.89,0,6.32,13.61,13.02,27.23,37.45,0,0,123.67,63.07,117.96,149.37,0,0,40.6,95.82,45.87,0,123.84,0,2.66,0,0,44.06,0,58.67,3.4,0,0,0,0,0,0,0

