Block,Time,DHAULIGNGA,RSTPSU1TO6,SIMHST1,TALA,UNCHAHAR4,URI,AURY_RF,DADRI_LF,FSTPP I & II,KKNP,NLCEXP,NTPL,UNCHAHAR2,VALLURNTECL,ANTA_CRF,DADRI_GF,BSIUL,KHSTPP-II,KISHANGANGA,KKNPPU2,NJPC,NLCIIST1,RAMPUR,SALAL,SIMHST2,TALST2,URI2,ANTA_GF,BRBCL,CHAMERA2,TEHRI,TelanganaSTPP,UNCHAHAR1,AURY_LF,DADRI_CRF,JHAJJAR,KOLDAM,NAPP,NLCTS2EXP,TANAKPUR,KHSTPP-I,KOTESHWR,KUDGI,PARBATI3,RAPPC,RSTPSU7,SINGRAULI,AURY_CRF,AURY_GF,CHAMERA3,DADRT2,DULHASTI,KGSU1AND2,NNTPP,RAPPB,RIHAND1,TANDA2,ANTA_LF,CHAMERA1,KGSU3AND4,MAPS,NLCIIST2,RIHAND2,RIHAND3,SASAN,SEWA2,SINGRAULI_HYDRO,UNCHAHAR3,ANTA_RF,DADRI_RF
1,00:00-00:15,0,0,0,0,0,39.75,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,418.77,0,0,0,28.88,67.95

2,00:15-00:30,0,0,0,0,0,39.75,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,418.77,0,0,0,28.88,67.95

3,00:30-00:45,0,0,0,0,0,3.31,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,418.77,0,0,0,28.88,67.95

4,00:45-01:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,418.77,0,0,0,28.88,67.95

5,01:00-01:15,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

6,01:15-01:30,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

7,01:30-01:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,12.78,0,0,18.83,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

8,01:45-02:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,55.77,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

9,02:00-02:15,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,55.77,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

10,02:15-02:30,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,55.77,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

11,02:30-02:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,55.77,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

12,02:45-03:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,2.33,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

13,03:00-03:15,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

14,03:15-03:30,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

15,03:30-03:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

16,03:45-04:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,0.77,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

17,04:00-04:15,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

18,04:15-04:30,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

19,04:30-04:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

20,04:45-05:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

21,05:00-05:15,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

22,05:15-05:30,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,0,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,0,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

23,05:30-05:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,18.94,0,0,1.4,0,0,4.57,0,20,0,0,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,16.42,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

24,05:45-06:00,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,39.78,0,0,1.4,0,0,4.57,0,20,0,15.56,0,20.56,0,0,654.31,0,42.72,0,6.27,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,16.42,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,29.09,67.95

25,06:00-06:15,8.06,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,1.1,98.87,0,0,56.82,0,0,1.4,0,0,4.57,0,20,3.33,28.73,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,3.82,52.03,0,139.68,0,0,0,683.14,16.48,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

26,06:15-06:30,16.12,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,6.52,98.87,0,0,93.56,0,0,1.4,0,0,4.57,0,20,8,46.69,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,8.87,0,16.55,52.03,0,139.68,0,0,9.68,683.14,32.96,0,0,0,45,0,0,0,0,0,0,118.76,124.32,411.75,0,0,0,28.88,67.95

27,06:30-06:45,33.02,0,0,0,0,3.31,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,116.95,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,19.72,0,16.55,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,12.01,0,0,0,118.76,124.32,411.75,5.27,0,0,28.88,67.95

28,06:45-07:00,36.55,0,0,0,0,39.75,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,140.34,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,654.31,0,42.72,0,1.15,45.22,19.72,0,16.55,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,28.05,0,0,0,118.76,124.32,411.75,5.27,0,0,28.88,67.95

29,07:00-07:15,36.55,0,0,0,0,39.75,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,140.34,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,19.72,0,16.55,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,42.15,0,0,0,118.76,124.32,399.38,5.27,0,0,28.88,67.95

30,07:15-07:30,36.55,0,0,0,0,3.31,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,140.34,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,19.72,0,16.55,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,42.15,0,0,0,118.76,124.32,399.38,5.27,0,0,28.88,67.95

31,07:30-07:45,36.55,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,140.34,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,19.72,0,16.55,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,28.05,0,0,0,118.76,124.32,399.38,5.27,0,0,28.88,67.95

32,07:45-08:00,32.76,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,13.04,98.87,0,0,116.95,0,0,1.4,0,0,4.57,0,20,39.51,62.24,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,19.72,0,3.56,52.03,0,139.68,0,0,29.06,683.14,32.96,0,0,0,45,0,0,14.05,0,0,0,118.76,124.32,399.38,5.27,0,0,28.88,67.95

33,08:00-08:15,16.12,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,6.52,98.87,0,0,93.56,0,0,1.4,0,0,4.57,0,20,3.33,46.69,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,9.68,683.14,16.48,0,0,0,45,0,0,14.05,0,0,0,118.76,124.32,399.38,0,0,0,28.77,67.95

34,08:15-08:30,8.06,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,1.1,98.87,0,0,70.17,0,0,1.4,0,0,4.57,0,20,0,46.69,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,16.48,0,0,0,45,0,0,0,0,0,0,118.76,124.32,399.38,0,0,0,28.77,67.95

35,08:30-08:45,0,0,0,0,0,1.44,70.59,22.47,18.2,0,0,0,21.19,0,0,0,0,98.87,0,0,70.17,0,0,13.95,0,0,4.57,0,20,0,31.13,0,20.56,0,0,459.81,0,42.72,0,1.15,45.22,8.87,0,0,52.03,0,139.68,0,0,0,683.14,16.48,0,0,0,45,0,0,0,0,0,0,118.76,124.32,399.38,0,0,0,28.77,67.95

