Block,Time,KGSU1AND2,RSTPSU7,SASAN,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR2,ANTA_RF,BRBCL,CHAMERA1,DADRT2,KISHANGANGA,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPB,RIHAND1,SINGRAULI,TALA,AURY_LF,DADRI_CRF,DADRI_GF,DADRI_LF,BSIUL,NNTPP,NTPL,PARBATI2,RIHAND2,TANAKPUR,TANDA2,TEHRIPSP,TelanganaSTPP,UNCHAHAR3,DULHASTI,KHSTPP-II,KOLDAM,SALAL,SIMHST1,TEHRI,URI,URI2,CHAMERA2,DHAULIGNGA,FSTPP I & II,JHAJJAR,MAPS,NAPP,ANTA_GF,ANTA_LF,AURY_CRF,AURY_RF,KGSU3AND4,RAPPC,RAPPD,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,CHAMERA3,KKNP,KKNPPU2,KOTESHWR,NJPC,PARBATI3,RAMPUR,RIHAND3,KHSTPP-I,RSTPSU1TO6,SEWA2,TALST2,ANTA_CRF,AURY_GF,DADRI_RF
1,00:00-00:15,0,0,300.38,0,0,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,26.5,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

2,00:15-00:30,0,0,306,0,0,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,26.5,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

3,00:30-00:45,0,0,311.62,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

4,00:45-01:00,0,0,322.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

5,01:00-01:15,0,0,331.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,28.71,28.84,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

6,01:15-01:30,0,0,340.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,28.71,28.84,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

7,01:30-01:45,0,0,340.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,30.91,28.84,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,20.82,5.7,130.84,45.53,0,0,0,0,0,79.04

8,01:45-02:00,0,0,340.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,30.91,28.84,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.22,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,20.82,5.7,130.84,45.53,0,0,0,0,0,79.04

9,02:00-02:15,0,0,340.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,30.91,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,20.82,5.7,130.84,45.53,0,0,0,0,0,79.04

10,02:15-02:30,0,0,340.88,0,1.03,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.4,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,30.91,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,20.82,5.7,130.84,45.53,0,0,0,0,0,79.04

11,02:30-02:45,0,0,340.88,0,0.98,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.69,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

12,02:45-03:00,0,0,340.88,0,0.98,45,51.2,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.69,0,0,0,0,0,0,0,0,125.27,12.81,5.73,0,0,27.69,55.38,148.3,8.62,85.41,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

13,03:00-03:15,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

14,03:15-03:30,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

15,03:30-03:45,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

16,03:45-04:00,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,31.22,5.7,130.84,45.53,0,0,0,0,0,79.04

17,04:00-04:15,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

18,04:15-04:30,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

19,04:30-04:45,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.54,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

20,04:45-05:00,0,0,340.88,0,0.98,45,51.84,24.99,42.15,549.38,7.05,0,0,0,0,0,0,98.32,149.89,29.28,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,40.57,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

21,05:00-05:15,0,0,340.88,0,0.98,45,51.84,24.99,42.15,689.38,7.05,0,0,0,0,0,0,98.32,149.89,28.91,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,30.43,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

22,05:15-05:30,0,0,340.88,0,0.98,45,51.84,24.99,42.15,689.38,7.05,0,0,0,0,0,0,98.32,149.89,28.69,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,30.43,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

23,05:30-05:45,0,0,340.88,0,0.98,45,51.84,24.99,42.15,689.38,7.05,0,0,0,0,0,0,98.32,149.89,28.28,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,30.43,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

24,05:45-06:00,0,0,340.88,0,0.98,45,51.84,24.99,42.15,689.38,7.05,0,0,0,0,0,0,98.32,149.89,28.17,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,26.49,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,30.43,175.79,22.3,5.7,130.84,45.53,0,0,0,0,0,79.04

25,06:00-06:15,0,0,340.88,0,0.98,45,51.84,24.99,42.15,689.38,7.05,0,0,0,0,0,0,98.32,149.89,28.17,0,0,0,0,0,0,0,0,125.27,11.91,5.73,0,0,27.69,55.38,148.3,8.62,81.92,0,54.59,52.36,24.16,47.12,42.46,20.8,667.25,0,24.23,0,0,0,79.48,0,65.42,24.52,21.65,3.22,0,33.94,0,0,20.29,175.79,20.82,5.7,130.84,45.53,0,0,0,0,0,79.04

