Column1,Time,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/9606,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2143,NR/01102023/22052037/LT-59,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,29.51,9.4,0,9.83,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,135.37,0,23.04,0.62,0,22.66,7,0,9.83,0,22.67,0,0,0,0

2,00:15-00:30,29.51,9.2,0,9.83,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,135.37,0,23.04,0.62,0,22.66,7,0,9.83,0,22.67,0,0,0,0

3,00:30-00:45,29.51,9,0,9.83,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,22.34,7,0,9.83,0,22.33,0,0,0,0

4,00:45-01:00,29.51,7.6,0,9.83,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,151.7,0,23.04,0.62,0,22.34,7,0,9.83,0,22.33,0,0,0,0

5,01:00-01:15,29.51,7,0,9.83,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,135.37,0,23.04,0.62,0,28,7,0,9.83,0,28,0,0,0,0

6,01:15-01:30,29.51,6.4,0,9.83,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,135.37,0,23.04,0.62,0,27.66,7,0,9.83,0,27.67,0,0,0,0

7,01:30-01:45,29.51,6.4,0,9.83,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,142.09,0,23.04,0.62,0,27.66,7,0,9.83,0,27.67,0,0,0,0

8,01:45-02:00,28.99,6.4,0,9.67,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,142.09,0,23.04,0.62,0,27,7,0,9.67,0,27,0,0,0,0

9,02:00-02:15,33,6.4,0,11,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,146.9,0,23.04,0.62,0,27,7,0,11,0,27,0,0,0,0

10,02:15-02:30,33,6.4,0,11,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,146.9,0,23.04,0.62,0,26.34,7,0,11,0,26.33,0,0,0,0

11,02:30-02:45,33,6.4,0,11,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,146.9,0,23.04,0.62,0,25.34,7,0,11,0,25.33,0,0,0,0

12,02:45-03:00,33.49,6.4,0,11.17,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,146.9,0,23.04,0.62,0,25.34,7,0,11.17,0,25.33,0,0,0,0

13,03:00-03:15,42,6.4,0,14,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,151.7,0,23.04,0.62,0,29.66,7,0,14,0,29.67,0,0,0,0

14,03:15-03:30,42,6.4,0,14,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,151.7,0,23.04,0.62,0,29.34,7,0,14,0,29.33,0,0,0,0

15,03:30-03:45,40.99,6.4,0,13.67,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,151.7,0,23.04,0.62,0,27.34,7,0,13.67,0,27.33,0,0,0,0

16,03:45-04:00,39,6.4,0,13,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,151.7,0,23.04,0.62,0,26.66,7,0,13,0,26.67,0,0,0,0

17,04:00-04:15,37.5,6.4,0,12.5,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,24.34,7,0,12.5,0,24.33,0,0,0,0

18,04:15-04:30,36,6.4,0,12,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,23,7,0,12,0,23,0,0,0,0

19,04:30-04:45,27,6.4,0,9,0,0,0,0,0,75,0,8.64,26.75,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,23,7,0,9,0,23,0,0,0,0

20,04:45-05:00,26.51,6.4,0,8.83,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,22.66,7,0,8.83,0,22.67,0,0,0,0

21,05:00-05:15,24.49,6.4,0,8.17,0,0,0,0,0,75,0,8.64,26.24,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,22.66,7,0,8.17,0,22.67,0,0,0,0

22,05:15-05:30,22.01,6.4,0,7.33,0,0,0,0,0,75,0,8.64,25.74,23.04,8.64,23.04,26.99,0,59.36,0,100.02,271.47,0.92,26.99,0,1.2,70.04,0,0,1.3,169.63,0,23.04,0.62,0,21.34,7,0,7.33,0,21.33,0,0,0,0

23,05:30-05:45,22.01,6.4,0,7.33,0,0,0,0,0,75,0,8.64,25.74,23.04,8.64,23.04,26.99,0,67.76,0,100.02,271.47,0.92,26.99,0,1.2,65.9,0,0,1.3,239.42,0,23.04,0.62,0,20,7,0,7.33,0,20,0,0,0,0

24,05:45-06:00,22.01,6.4,0,7.33,0,0,0,0,0,75,0,8.64,25.74,23.04,8.64,23.04,26.99,0,86.6,0,100.02,271.47,0.92,26.99,0,1.2,65.9,0,0,1.3,259.8,0,23.04,0.62,0,18.66,7,0,7.33,0,18.67,0,0,0,0

25,06:00-06:15,29.51,6.4,0,9.83,0,0,0.13,0,0,75,0,8.64,25.23,23.04,8.64,23.04,26.99,0,86.6,0,100.02,271.47,0.92,26.99,0,1.25,74.37,0,0,1.3,259.8,0,23.04,0.62,0,18.66,7,0,9.83,0,18.67,0,0,0,0

