Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/05/16/9317,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,GNA/ER/2025/05/16/9578,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/5800,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2474,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/3877
1,00:00-00:15,0,42.33,17.5,42.33,0,17.5,0,52.5,12.67,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.33,4.66,199,5.22,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,28.25,11.24

2,00:15-00:30,0,40.67,17.5,40.67,0,17.5,0,52.5,13.33,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.33,4.66,240,5.22,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,28.25,11.24

3,00:30-00:45,0,39.33,17.5,39.33,0,17.5,0,52.5,14,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.33,4.66,286,5.22,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,28.76,11.24

4,00:45-01:00,0,39,17.5,39,0,17.5,0,52.5,14.67,0,0,0,6.8,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.33,4.66,335,5.22,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,29.27,11.24

5,01:00-01:15,0,59,24.17,59,0,24.16,0,72.5,17.67,0,0,0,7.2,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.25,4.51,378,5.07,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,29.27,11.24

6,01:15-01:30,0,58.33,23.83,58.33,0,23.84,0,71.5,16.67,0,0,0,6.6,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.25,4.51,419,5.07,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,29.27,11.24

7,01:30-01:45,0,56.67,23.17,56.67,0,23.16,0,69.5,16,0,0,0,6.4,0,0,0,0,0,0,0,96.3,15.49,24.08,0,100,10.43,0,30,30,14.44,4.67,11.25,4.51,454,5.07,67.41,100.33,10.59,0,0,115.16,86.86,5.78,28.94,260.59,272.29,13.48,0,0,192.6,14.44,28.89,0,7.23,29.27,11.24

