Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2025/06/01/7786,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/9719,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/2868,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2569,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/4444,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,GNA/NR/2025/06/01/7782,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,L_NR_2019_19
1,00:00-00:15,22.33,0,0,26.5,26.5,41.67,41.67,79.5,0,33.78,87.06,4.01,0,10.45,16.89,261.18,0,16.89,11.36,0,30,115.78,15.53,17.37,2.15,272.91,100.55,33.78,43.92,12.26,11.9,16.89,33.78,1.95,0,25.23,7.25,11.89,0,0,38.02,0,0,0,0,0,0,0,0

2,00:15-00:30,22.33,0,0,27.17,27.17,41.67,41.67,81.49,0,33.78,87.06,4.01,0,10.45,16.89,261.18,0,16.89,11.36,0,30,115.78,15.53,17.37,2.15,272.91,100.55,33.78,43.92,12.26,11.9,16.89,33.78,3.43,0,25.74,7.25,11.89,0,0,38.02,0,0,0,0,0,0,0,0

3,00:30-00:45,22.67,0,0,27.83,27.83,41.67,41.67,83.51,0,33.78,87.06,4.01,0,10.45,16.89,261.18,0,16.89,11.36,0,30,115.78,15.53,17.37,2.15,272.91,100.55,33.78,43.92,12.26,11.9,16.89,33.78,3.43,0,25.74,7.25,11.89,0,0,38.62,0,0,0,0,0,0,0,0

4,00:45-01:00,23,0,0,28.33,28.33,41.67,41.67,85.01,0,33.78,87.06,4.01,0,10.45,16.89,261.18,0,16.89,11.36,0,30,115.78,15.53,17.37,2.15,272.91,100.55,33.78,43.92,12.26,11.9,16.89,33.78,3.43,0,25.74,7.25,11.89,0,0,39.02,0,0,0,0,0,0,0,0

5,01:00-01:15,22.67,0,0,28.33,28.33,41.67,41.67,85.01,0,33.78,87.06,3.85,0,10.45,16.89,261.18,0,16.89,11.27,0,30,115.78,15.53,17.37,1.97,272.91,100.55,33.78,43.92,26.26,11.9,16.89,33.78,3.43,0,25.23,7.25,11.89,0,0,39.42,0,0,0,0,0,0,0,0

