Time,Block,NR/2024/19677/A/17285,NR/2024/19679/A/17292,NR/2024/19337/A/17390,NR/2024/19043/A/17310,NR/2024/18935/A/17242,NR/2024/19172/A/18029,NR/2024/19942/C,NR/2024/18978/A/17256,NR/2024/18976/A/17253,NR/2024/19609/A/17880,NR/2024/19484/A/17918,NR/2024/19787/A/17734,NR/2024/19946/C,NR/2024/19245/A/17391,NR/2024/19945/C,NR/2024/18977/A/17255,NR/2024/18996/A/17862,NR/2024/18986/A/17335,NR/2024/19290/A/18028,NR/2024/19485/A/17916,NR/2024/18919/A/17883,NR/2024/19483/A/17920,NR/2024/19469/A/17389,NR/2024/18934/A/17241,NR/2024/19916/C,NR/2024/19656/A/17388,NR/2024/18936/A/17243,NR/2024/19075/A/17302,NR/2024/19121/A/17459,NR/2024/19739/A/17396,NR/2024/19030/A/17316,NR/2024/18855/A/17460,NR/2024/19914/C,NR/2024/19115/A/17299,NR/2024/19764/A/17813,NR/2024/19143/A/17297,NR/2024/19024/A/17392,NR/2024/19936/C,NR/2024/19963/C,NR/2024/19929/C,NR/2024/19928/C,NR/2024/19727/A/17572,NR/2024/19622/A/17267,NR/2024/19726/A/17576,NR/2024/19944/C,NR/2024/19913/C,Total
,,IEXL,IEXL,DIAPL,IEXL,PXIL,TPDDL,IEXL,PXIL,PXIL,HPXL,NVVNL,IEXL,IEXL,DIAPL,IEXL,PXIL,PTC,ITCLH,TPDDL,NVVNL,APPCPL,NVVNL,DIAPL,PXIL,NVVNL,DIAPL,PXIL,IEXL,GMRETL,DIAPL,IEXL,GMRETL,NVVNL,IEXL,BRPL,IEXL,DIAPL,HPXL,IEXL,HPXL,HPXL,IEXL,PXIL,IEXL,IEXL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,NA,HIMACHAL PRADESH,TAMIL NADU,ODISHA,KERALA,NA,TELANGANA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,ANDHRA PRADESH,NA,NA,NAGALAND,NA,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,TAMIL NADU,ODISHA,RAJASTHAN,HIMACHAL PRADESH,NA,RAJASTHAN,NA,MAHARASHTRA,NA,DELHI,HIMACHAL PRADESH,MEGHALAYA,NA,KARNATAKA,KERALA,NA,KERALA,HIMACHAL PRADESH,NA,NA,
,,HP,HP-GOVT,GBHHPL,MBMP,SAKTHISUGARS_ELMTN,JHAJJAR,HP,BIRLACARBONTN,FACORPOWER,KSEB,RKM_POWER,NAVABHARATVL,TADASWIND,GBHHPL,DBPL,MEENAKSHI,JPL_DHULE,ITCWIND,JHAJJAR,RKM_POWER,Nagaland_Ben,SKS Raigarh,GBHHPL,SAKTHISUGRAR_TN,SORANG_HEP,GBHHPL,SAKTHISUGARSLTD,VSL,RUVNL,GBHHPL,JHABUA_IPP,RUVNL,KAMENG,SWPL,DADRT2,EDWPCL12,GBHHPL,Meghalaya_Ben,KWHEP,PCKL,KSEB,SEIL,KSEB,HP-GOVT,CPTTNPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,DIAPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,DIAPL,BYPL,BRPL,BRPL,ITCLH,TPDDL,NDMC,BYPL,NDMC,DIAPL,BRPL,TPDDL,DIAPL,BRPL,BRPL,BYPL,DIAPL,BRPL,BYPL,TPDDL,BRPL,BRPL,UPPCL,DIAPL,BYPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BYPL,MES (Delhi),
,,North-North,North-North,North-North,West-East-North,South-West-North,North-North,North-North,South-West-North,East-West-North,South-East-North,West-North,South-East-West-North,South-East-West-North,North-North,West-North,South-West-North,West-North,South-West-North,North-North,West-North,North East-East-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,East-North,North-North,North-North,West-East-North,North-North,North East-East-North,West-East-North,North-North,North-North,North-North,North East-East-North,North-North,South-East-North,South-East-North,South-East-West-North,South-West-North,North-North,West-North,West-North,
1,00:00-00:15,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,28.990000,0.000000,48.320000,0.000000,0.000000,0.530000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,48.320000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1856.01

2,00:15-00:30,96.640000,96.640000,1.930000,0.000000,0.000000,115.970000,96.640000,0.000000,0.000000,96.640000,37.330000,0.000000,29.960000,0.000000,48.320000,0.000000,0.000000,0.530000,67.650000,37.330000,9.660000,12.450000,0.000000,0.000000,53.150000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,66.870000,52.570000,0.000000,0.000000,2.000000,4.830000,38.660000,0.000000,193.280000,193.280000,193.280000,96.640000,144.960000,59.14,0,1847.32

