Column1,Block,NR/2025/30830/C,NR/2025/29167/A/86149,NR/2025/30832/C,NR/2025/29439/A/86007,NR/2025/29440/A/85890,NR/2025/30854/C,NR/2025/30833/C,NR/2025/30101/A/86419,NR/2025/30819/C,NR/2025/30791/C,NR/2025/27970/A/86331,NR/2025/27968/A/86330,NR/2025/30880/C,NR/2025/30889/C,NR/2025/30778/C,NR/2025/29915/A/86148,NR/2025/30882/C,NR/2025/30891/C,NR/2025/30882/C/Alternate/1,NR/2025/27962/A/86332,NR/2025/30067/A/86340,NR/2025/30847/C,NR/2025/30492/A/86009,NR/2025/30892/C,NR/2025/27964/A/86334,NR/2025/30191/A/85907,NR/2025/30851/C,NR/2025/30893/C,NR/2025/27963/A/86333,NR/2025/29353/A/86107,NR/2025/30883/C,NR/2025/30894/C,NR/2025/28725/A/86323,NR/2025/30881/C,NR/2025/30334/A/85906,NR/2025/30121/A/85909,NR/2025/30897/C,NR/2025/29985/A/86274,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/2236,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/2025/29986/A/86276,GNA/NR/2025/07/01/8230,NR/2025/30105/A/86359,NR/2025/30082/A/86348,NR/2025/29992/A/85999,NR/2025/30083/A/86362,NR/2025/27978/A/86420,NR/2025/29628/A/86375,NR/2025/29352/A/86109,NR/2025/26975/A/86380,NR/2025/30086/A/86360,NR/2025/30084/A/86361,NR/2025/30217/A/86356,NR/2025/29910/A/86369,Total
,,PowerPulse,TPTCL,PowerPulse,IVPL_Trader,ITCLH,APPCPL,PowerPulse,NVVNL,HPXL,BYPL,PowerPulse,PowerPulse,NVVNL,APPCPL,IEXL,TPTCL,NVVNL,APPCPL,NVVNL,PowerPulse,MANIKARAN,ITCLH,DIAPL,APPCPL,PowerPulse,IEXL,APPCPL,APPCPL,PowerPulse,PTC,NVVNL,APPCPL,PowerPulse,NVVNL,IEXL,IEXL,MES_Delhi,BRPL,SECI_Trader,PowerPulse,PUNJAB,PTC,APPCPL,APPCPL,MANIKARAN,PowerPulse,BAWANA_GAS,DELHI,NDMC,BRPL,PowerPulse,APPCPL,HPXL,BYPL,APPCPL,NVVNL,APPCPL,PTC,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,
,,NA,MSEB_State,NA,MSEB_State,ANDHRA_PRADESH_STATE,KERALA_State,NA,MP_State,NA,KERALA_State,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,NA,NA,MSEB_State,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,MP_State,NA,TAMILNADU_State,NA,NA,NA,NA,DELHI_UT,NA,GOA_State,GOA_State,MSEB_State,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,KERALA_State,NA,NA,MSEB_State,GoHP_Chamera1_STATE,Manipur_State,NA,NA,NA,KERALA_State,
,,MAHAN_ENERGEN,TPC_MSEB,MAHAN_ENERGEN,TPC_MSEB,ITCWIND,KSEB,APL_Raigarh_TPP,JP_BINA,SKS_Raigarh,KSEB,APL_Raigarh_TPP,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,SKS_Raigarh,IND_BHARAT,PPGCL,Kameng,RKM_POWER,Kameng,APL_Raipur_TPP,MBMP,ITCWIND,GBHHPL,JIPL,MAHAN_ENERGEN,IND_BHARAT,AEML,TRN_ENERGY,MAHAN_ENERGEN,GoHP_NJPC,SORANG_HEP,RKM_POWER,MAHAN_ENERGEN,JP_BINA,TPSL_BKN2,PCBLTNLTD_UNIT2,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,APSEPL_FTG,MAHAN_ENERGEN,BAWANA_GAS,MEENAKSHI,GOA_Beneficiary,GOA_Beneficiary,AEML,APL_Raipur_TPP,BAWANA_GAS,CHANJUII,JPL2,DADRT2,APL_Raipur_TPP,JIPL,SKS_Raigarh,KSEB,SKS_Raigarh,JPNIGRIE_JNSTPP,AEML,GoHP_Chamera1,Manipur_Ben,RKM_POWER,RKM_POWER,TRN_ENERGY,KSEB,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BYPL,TPDDL,BYPL,ITCLH,BYPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,NDMC,BRPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,BRPL,ITCLH,DIAPL,NDMC,TPDDL,BRPL,BYPL,NDMC,TPDDL,BRPL,TPDDL,NDMC,BRPL,TPDDL,MES_Delhi,MES_Delhi,MES_Delhi,BRPL,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,NDMC,BRPL,BRPL,NDMC,BRPL,BYPL,NDMC,TPDDL,BYPL,BRPL,BYPL,NDMC,NDMC,NDMC,BYPL,
,,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,East-North,North-North,North East-East-North,West-North,North East-East-West-North,West-North,West-North,South-West-North,North-North,East-North,West-North,East-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,South-West-North,West-North,North-North,North-North,West-North,North-North,South-East-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,East-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,South-West-North,
1,00:00-00:15,0,54.14,0,25.1,0.91,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.8199999999993

2,00:15-00:30,0,54.14,0,25.1,0.91,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.8199999999993

3,00:30-00:45,0,54.14,0,25.1,0.91,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.8199999999993

4,00:45-01:00,0,54.14,0,25.1,0.91,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.8199999999993

5,01:00-01:15,0,54.14,0,25.1,0.77,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.6799999999994

6,01:15-01:30,0,54.14,0,25.1,0.77,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,19.64,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2346.6799999999994

7,01:30-01:45,0,54.14,0,25.1,0.77,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,26.54,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2353.5799999999995

8,01:45-02:00,0,54.14,0,25.1,0.77,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,30,49.09,15.26,19.25,20.76,134.99,26.54,15.02,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2353.5799999999995

9,02:00-02:15,0,54.14,0,0,0.67,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,49.09,15.26,19.25,20.76,134.99,26.94,17.78,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2328.479999999999

10,02:15-02:30,0,54.14,0,0,0.67,0,0,30.74,0,0,0,144.38,0,0,0,20.45,0,0,163.87,0,204.53,0,12.51,0,0,48.12,0,0,144.38,81.81,27.91,0,143.17,0,0,6.74,0,0,0,81.81,26.94,49.09,15.26,19.25,20.76,134.99,26.94,17.78,43.75,134.75,224.98,16.04,48.12,44.28,8.02,96.25,105.88,28.63,26.47,24.06,24.06,7.7,19.25,2328.479999999999

