Time,Block,NR/2023/17423/C,NR/2023/17413/C,NR/2023/17421/C,NR/2023/16073/A,NR/2023/17403/C,NR/2023/17397/D,NR/2023/13383/A,NR/2023/16291/F,NR/2023/17415/C,NR/2023/13148/A,NR/2023/16185/A,NR/2023/13385/A,NR/2023/16077/A,NR/2023/17414/C,NR/2023/13254/A,NR/2023/17410/C,NR/2023/13168/A,NR/2023/17411/C,NR/2023/13150/A,NR/2023/15770/A,NR/2023/13387/A,NR/2023/17396/D,NR/2023/13253/A,NR/2023/13165/A,NR/2023/16191/A,Total
,,IEXL,PXIL,IEXL,APPCPL,SJVNL,NVVNL,APPCPL,ITCLH,PXIL,KEIPL,MANIKARAN,NVVNL,APPCPL,GBHHPL,APPCPL,PXIL,GMRETL,TPDDL,KEIPL,NVVNL,NVVNL,NVVNL,APPCPL,GMRETL,MANIKARAN,Total

,,NA,NA,NA,GOA,ARUNACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,DELHI,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,
,,Teesta_III,RKM_POWER,RKM_POWER,GOA_Beneficiary,Arunachal_Ben,KAMENG,HP,ITCWIND,KWHEP,Meghalaya_Ben,HP,JP BINA,HP,GBHHPL,Meghalaya_Ben,BYPL,Meghalaya_Ben,CHANJUII,Meghalaya_Ben,SKS Raigarh,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,UTTARAKHAND,Meghalaya_Ben,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BYPL,ITCLH,BRPL,BYPL,BRPL,BRPL,BRPL,DIAPL,BYPL,AMBASTL,BYPL,TPDDL,BYPL,NDMC,BRPL,MES (Delhi),BYPL,BYPL,BRPL,
,,East-North,West-North,West-East-North,West-North,North East-East-North,North East-East-North,North-North,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,North East-East-North,North-North,
1,00:00-00:15,310.280000,0.000000,193.320000,24.160000,0.000000,112.610000,36.830000,0.870000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1295.86

2,00:15-00:30,276.450000,0.000000,193.320000,24.160000,0.000000,112.610000,36.830000,0.870000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1262.03

3,00:30-00:45,270.650000,0.000000,193.320000,24.160000,0.000000,112.610000,36.830000,0.870000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1256.23

4,00:45-01:00,234.880000,0.000000,193.320000,24.160000,0.000000,112.610000,36.830000,0.870000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1220.46

5,01:00-01:15,203.950000,0.000000,144.990000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1140.96

6,01:15-01:30,171.090000,0.000000,144.990000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1108.1

7,01:30-01:45,155.620000,0.000000,144.990000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1092.63

8,01:45-02:00,126.620000,0.000000,144.990000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,36.470000,38.660000,50.020000,85.930000,6.050000,19.610000,0.000000,34.800000,7.750000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,1063.63

9,02:00-02:15,96.660000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,51.230000,36.470000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.660000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,938.82

10,02:15-02:30,96.660000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,51.230000,36.470000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.660000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,938.82

11,02:30-02:45,96.660000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,43.500000,36.470000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.660000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,931.09

12,02:45-03:00,96.660000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,51.230000,36.470000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.660000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,938.82

13,03:00-03:15,48.330000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.570000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,802.7

14,03:15-03:30,48.330000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.570000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,802.7

15,03:30-03:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,38.660000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.570000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,793.03

16,03:45-04:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.630000,14.500000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.570000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,768.87

17,04:00-04:15,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,22.230000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.470000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,776.45

18,04:15-04:30,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,9.670000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.470000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,763.89

19,04:30-04:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.470000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.22

20,04:45-05:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.470000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.22

21,05:00-05:15,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.380000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.13

22,05:15-05:30,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.380000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.13

23,05:30-05:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.380000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.13

24,05:45-06:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,36.830000,0.580000,0.000000,0.000000,38.660000,50.020000,85.930000,5.050000,19.610000,0.000000,34.800000,7.380000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,754.13

25,06:00-06:15,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,5.050000,19.610000,0.000000,34.800000,7.290000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,631.38

26,06:15-06:30,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,5.050000,19.610000,0.000000,34.800000,7.290000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,631.38

27,06:30-06:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,0.000000,34.800000,7.290000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,630.36

28,06:45-07:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,0.000000,34.800000,7.290000,63.020000,62.830000,100.040000,0,48.330000,22.230000,42.050000,630.36

29,07:00-07:15,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,0.15,48.330000,22.230000,42.050000,648.42

30,07:15-07:30,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,0.9,48.330000,22.230000,42.050000,649.17

31,07:30-07:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,1.19,48.330000,22.230000,42.050000,649.46

32,07:45:08:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.680000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,1.55,48.330000,22.230000,42.050000,649.82

33,08:00-08:15,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,2.66,48.330000,22.230000,42.050000,651.22

34,08:15-08:30,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,4.030000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,2.82,48.330000,22.230000,42.050000,651.38

35,08:30-08:45,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,5.050000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,2.17,48.330000,22.230000,42.050000,651.75

36,08:45:09:00,0.000000,0.000000,0.000000,24.160000,0.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,5.050000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,2.19,48.330000,22.230000,42.050000,651.77

37,09:00:09:15,0.000000,0.000000,0.000000,24.160000,29.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,6.050000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,3.02,48.330000,22.230000,42.050000,682.6

38,09:15-09:30,0.000000,0.000000,0.000000,24.160000,29.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,6.050000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,3.66,48.330000,22.230000,42.050000,683.24

39,09:30-09:45,0.000000,0.000000,0.000000,24.160000,29.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,6.050000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,3.7,48.330000,22.230000,42.050000,683.28

40,09:45-10:00,0.000000,0.000000,0.000000,24.160000,29.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,7.070000,19.610000,18.000000,34.800000,7.200000,63.020000,62.830000,100.040000,3.91,48.330000,22.230000,42.050000,684.51

41,10:00-10:15,0.000000,0.000000,0.000000,24.160000,29.000000,112.610000,0.000000,0.970000,0.000000,0.000000,38.660000,50.020000,0.000000,7.070000,19.610000,18.000000,34.800000,7.100000,63.020000,62.830000,100.040000,5.12,48.330000,22.230000,42.050000,685.62

