Block,Time,SEWA2,AURY_CRF,SALAL,KOLDAM,DADRI_LF,RIHAND3,ANTA_CRF,DADRI_RF,CHAMERA1,RIHAND2,ANTA_RF,KOTESHWR,RAPPC,UNCHAHAR2,JHAJJAR,CHAMERA2,SINGRAULI_HYDRO,AURY_LF,PARBATI3,TANDA2,ANTA_GF,TEHRI,BSIUL,ANTA_LF,TANAKPUR,UNCHAHAR4,CHAMERA3,FSTPP I & II,UNCHAHAR1,URI,KISHANGANGA,DULHASTI,AURY_RF,AURY_GF,RAMPUR,KHSTPP-II,NJPC,DADRI_CRF,DHAULIGNGA,BRBCL,NAPP,RIHAND1,URI2,DADRT2,SINGRAULI,TALA,KHSTPP-I,RAPPB,UNCHAHAR3,DADRI_GF,SASAN,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,16.731154,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,575.554426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.521776,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.844762,45.829469,0.000000,31.708370,22.040468,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,14.480989,37.839432,88.816800,31.297612,663.017370,134.489874,26.963622,31.057883,0.000000,25.477003,0.000000,404.234171,53.10,0,0,0,0,0

2,00:15-00:30,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,16.731154,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,506.502034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.141332,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.844762,45.829469,0.000000,31.708370,22.040468,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,14.480989,37.839432,88.816800,31.297612,663.017370,134.489874,26.963622,31.057883,0.000000,25.477003,0.000000,404.280558,53.10,0,0,0,0,0

3,00:30-00:45,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,453.182895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.141332,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,45.829469,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,14.480989,37.839432,88.816800,31.297612,663.017370,134.489874,26.963622,31.057883,0.000000,25.477003,0.000000,404.280558,53.10,0,0,0,0,0

4,00:45-01:00,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,453.182895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.141332,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,45.829469,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,12.567035,37.839432,88.816800,31.297612,663.017370,134.489874,26.963622,31.057883,0.000000,25.477003,0.000000,404.280558,53.10,0,0,0,0,0

5,01:00-01:15,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,356.642895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.141332,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,45.829469,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,14.215743,37.839432,88.816800,30.793734,663.017370,134.489874,26.963622,31.057883,0.000000,25.029926,0.000000,402.933825,48.27,0,0,0,0,0

6,01:15-01:30,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,15.420527,49.248723,40.923403,356.642895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.141332,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,45.829469,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,12.549222,37.839432,88.816800,30.793734,563.935321,134.489874,26.963622,31.057883,0.000000,25.029926,0.000000,402.933825,48.27,0,0,0,0,0

7,01:30-01:45,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,7.805452,49.248723,40.923403,327.680895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.760888,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,45.829469,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,10.201310,37.839432,88.816800,30.793734,563.935321,134.489874,26.963622,31.057883,0.000000,25.029926,0.000000,402.933825,48.27,0,0,0,0,0

8,01:45-02:00,15.257228,0.000000,82.003200,0.000000,0.000000,119.386794,0.000000,0.000000,41.183964,114.037875,0.000000,7.805452,49.248723,40.923403,327.680895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.760888,12.654077,0.000000,10.759093,0.000000,28.397762,10.466867,19.827192,50.092675,0.000000,31.708370,8.688600,0.000000,0.000000,142.411584,147.648759,0.000000,35.325627,11.863736,37.839432,88.816800,30.793734,563.935321,134.489874,26.963622,31.057883,0.000000,25.029926,0.000000,402.933825,48.27,0,0,0,0,0

