Block,Time,BRBCL,CHAMERA3,KKNP,KOLDAM,KOTESHWR,NJPC,NNTPP,RIHAND1,TANAKPUR,URI,AURY_GF,AURY_LF,DADRI_GF,CHAMERA2,KGSU1AND2,NLCEXP,RSTPSU7,SEWA2,SINGRAULI,ANTA_LF,DADRI_LF,DADRI_RF,BSIUL,DULHASTI,KGSU3AND4,KKNPPU2,RAPPB,FSTPP I & II,KHSTPP-I,NAPP,RAMPUR,RIHAND2,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_CRF,JHAJJAR,KISHANGANGA,NLCIIST2,TALA,TALST2,TANDA2,ANTA_RF,DADRI_CRF,RIHAND3,TEHRI,UNCHAHAR2,VALLURNTECL,AURY_RF,DADRT2,KHSTPP-II,NLCIIST1,NLCTS2EXP,NTPL,RSTPSU1TO6,SIMHST2,UNCHAHAR1,UNCHAHAR4,ANTA_GF,CHAMERA1,DHAULIGNGA,KUDGI,MAPS,PARBATI3,RAPPC,SALAL,SASAN,SIMHST1,UNCHAHAR3,URI2,AURY_CRF
1,00:00-00:15,15,0,0,0,8.87,21.78,0,92,11.91,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,12.78,410.62,0,26.39,4.57,0

2,00:15-00:30,15,0,0,0,8.87,21.78,0,92,11.91,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,26.73,410.62,0,26.39,4.57,0

3,00:30-00:45,15,0,0,0,8.87,21.78,0,92,7.05,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,79.38,410.62,0,26.39,4.57,0

4,00:45-01:00,15,0,0,0,8.87,21.78,0,92,7.05,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,79.38,410.62,0,26.39,4.57,0

5,01:00-01:15,15,0,0,0,8.87,21.78,0,92,7.05,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,79.38,410.62,0,26.39,4.57,0

6,01:15-01:30,15,0,0,0,8.87,21.78,0,92,7.05,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,1.32,0,0,0,51.9,79.38,410.62,0,26.39,4.57,0

7,01:30-01:45,15,0,0,0,8.87,21.78,0,92,7.68,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,9.11,0,0,0,51.9,26.73,410.62,0,26.39,4.57,0

8,01:45-02:00,15,0,0,0,8.87,21.78,0,92,7.68,2.21,0,0,0,2,0,0,0,0,139.68,0,21.92,66.85,0,32.96,0,0,0,20.8,44.31,41.65,0,118.76,0,0,0,654.31,0,0,0,0,0,42.74,0,124.32,14.93,42.4,0,69.5,341.57,148.3,0,0,0,0,0,20.56,0,0,0,9.11,0,0,0,51.9,12.78,410.62,0,26.39,4.57,0

