Block,Time,DADRI_GF,DULHASTI,AURY_GF,JHAJJAR,DADRI_CRF,ANTA_RF,SALAL,KOLDAM,SINGRAULI_HYDRO,DADRI_RF,PARBATI3,ANTA_GF,RAPPB,NAPP,AURY_LF,AURY_RF,KOTESHWR,RIHAND2,UNCHAHAR1,DADRT2,ANTA_CRF,CHAMERA3,URI,RIHAND3,CHAMERA1,UNCHAHAR4,AURY_CRF,DHAULIGNGA,RAPPC,DADRI_LF,SINGRAULI,RIHAND1,RAMPUR,BSIUL,URI2,TANAKPUR,UNCHAHAR2,NJPC,ANTA_LF,KISHANGANGA,UNCHAHAR3,TANDA2,CHAMERA2,SEWA2,TEHRI,BRBCL,KHSTPP-II,SASAN,FSTPP I & II,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,36.640656,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,0.000000,16.046622,4.313127,25.557824,0.000000,0.000000,0.000000,15.852116,0.000000,0.000000,0.000000,0.000000,19.240016,112.870690,402.856740,11.063000,0.000000,30.991311,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,36.640656,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,0.000000,16.046622,4.313127,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,19.240016,112.870690,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,6.372288,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,0.000000,16.046622,4.313127,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,18.791347,112.870690,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,0.000000,16.046622,4.313127,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,18.247379,112.870690,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,15.385438,112.870690,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,13.353268,112.870690,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,28.114739,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,14.017648,96.064454,402.856740,12.852320,0.000000,30.991311,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,23.088000,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,14.665188,78.403000,402.856740,11.063000,0.000000,24.829220,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,23.088000,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,13.969342,78.403000,402.856740,11.063000,0.000000,24.829220,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,230.447100,0.000000,0.000000,1.676766,0.000000,0.772929,0.000000,0.000000,0.000000,0.000000,42.124056,0.000000,0.000000,8.726494,113.636250,11.640200,359.903440,0.000000,0.000000,3.186144,59.480460,0.000000,0.000000,0.000000,0.000000,52.493454,0.000000,120.815175,56.461319,0.000000,6.273010,4.529288,0.000000,23.088000,0.000000,0.000000,0.000000,14.430000,0.000000,0.000000,0.000000,0.000000,14.041952,78.403000,402.856740,11.063000,0.000000,24.829220,0,0,0,0,0

