Column1,Block,NR/2024/23171/C,NR/2024/23017/A/37780,NR/2024/23174/C,NR/2024/22820/A/37737,NR/2024/23168/C,NR/2024/23118/A/38012,NR/2024/22803/A/38023,NR/2024/22754/A/38000,NR/2024/22848/A/38008,NR/2024/21658/A/37761,NR/2024/23169/C,NR/2024/22874/A/38020,NR/2024/23115/A/37771,NR/2024/23119/A/38014,NR/2024/23038/A/37728,NR/2024/22835/A/38049,NR/2024/23122/A/38013,NR/2024/23121/A/38015,NR/2024/23116/A/37776,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/16/2535,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7119,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,Total
,,NVVNL,DIAPL,NVVNL,IEXL,TPDDL,NVVNL,NVVNL,PTC,APPCPL,ITCLH,NVVNL,NVVNL,SJVNL,NVVNL,IEXL,MANIKARAN,NVVNL,NVVNL,SJVNL,INSTINCT,MANIKARAN,DELHI,TPTCL,PTC,PUNJAB,MANIKARAN,DELHI,JITPL,BAWANA_GAS,APPCPL,
,,NA,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,UTTARAKHAND_STATE,ANDHRA_PRADESH_STATE,NA,MP_State,NA,NA,MSEB_State,MSEB_State,NA,NA,NA,NA,MP_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,DELHI_UT,ODISHA_STATE,NA,NA,DELHI_UT,Arunachal_State,
,,SOLAPUR_SOLAR,GBHHPL,Kameng,NSLSUGAR,JHAJJAR,TRN_ENERGY,JPNIGRIE_JNSTPP,HP,UTTARAKHAND,ITCWIND,SORANG_HEP,JP_BINA,RSRPL_BKN,RKM_POWER,A_A_Energy_MH_Bio,AEML,JPL2,RKM_POWER,TPSL_BKN2,JPL2,BLAPOWER_MP,CHANJUII,JITPL,HP,BAWANA_GAS,MAADURGA_THERMAL,SKS_Raigarh,JITPL,BAWANA_GAS,Arunachal_Ben,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,
,,MES_Delhi,DIAPL,TPDDL,MES_Delhi,TPDDL,NDMC,TPDDL,BYPL,BYPL,ITCLH,TPDDL,TPDDL,NDMC,NDMC,MES_Delhi,BYPL,NDMC,NDMC,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,PUNJAB,BRPL,NDMC,NDMC,HARYANA,BRPL,
,,West-North,North-North,North East-East-North,South-West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,East-North,North-North,North-North,East-North,West-North,East-North,North-North,North East-East-North,
1,00:00-00:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.87,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.84,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.3799999999999

2,00:15-00:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.87,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.84,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.3799999999999

3,00:30-00:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.87,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.84,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.3799999999999

4,00:45-01:00,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.87,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.84,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.3799999999999

5,01:00-01:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.66,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.0099999999999

6,01:15-01:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.66,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.0099999999999

7,01:30-01:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.66,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.0099999999999

8,01:45-02:00,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.66,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1009.0099999999999

9,02:00-02:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1008.8299999999999

10,02:15-02:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1008.8299999999999

11,02:30-02:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1008.8299999999999

12,02:45-03:00,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.68,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.48,20.6,145.38,0,2.13,8.81,17.52,0,32.95,1008.8299999999999

13,03:00-03:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.63,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.29,20.6,145.38,0,2.13,8.81,17.52,0,0,975.6399999999998

14,03:15-03:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.63,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.29,20.6,145.38,0,2.13,8.81,17.52,0,0,975.6399999999998

15,03:30-03:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.63,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.29,20.6,145.38,0,2.13,8.81,17.52,0,0,975.6399999999998

16,03:45-04:00,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.63,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.29,20.6,145.38,0,2.13,8.81,17.52,0,0,975.6399999999998

17,04:00-04:15,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.11,20.6,145.38,0,2.13,8.81,17.52,0,0,975.4099999999999

18,04:15-04:30,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.11,20.6,145.38,0,2.13,8.81,17.52,0,0,975.4099999999999

19,04:30-04:45,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.11,20.6,145.38,0,2.13,8.81,17.52,0,0,975.4099999999999

20,04:45-05:00,0,8.72,163.36,4.85,0,8.81,96.92,48.46,84.49,0.58,30.05,48.46,0,26.43,3.88,91.1,26.43,26.43,0,82.38,18.51,11.11,20.6,145.38,0,2.13,8.81,17.52,0,0,975.4099999999999

