Time,Block,NR/2023/13431/C,NR/2023/11712/A,NR/2023/13423/C,NR/2023/13416/D,NR/2023/12923/F,NR/2023/12920/F,NR/2023/12916/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10561/A,NR/2023/10959/A,NR/2023/13151/F,NR/2023/13417/D,NR/2023/12917/F,NR/2023/12915/F,NR/2023/12924/F,NR/2023/10720/A,NR/2023/12169/A,NR/2023/13448/C,NR/2023/13444/C,NR/2023/12706/A,NR/2023/10460/A,NR/2023/13411/D,NR/2023/13447/C,NR/2023/11953/A,NR/2023/13427/C,NR/2023/12919/F,NR/2023/10947/A,NR/2023/11266/A,NR/2023/11447/A,NR/2023/12872/F,NR/2023/12661/A,NR/2023/10651/A,NR/2023/13429/C,NR/2023/13415/D,NR/2023/13442/C,SR/2023/6114/C,NR/2023/12813/F,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/12956/F,NR/2023/12922/F,NR/2023/13443/C,NR/2023/10435/A,NR/2023/13412/D,NR/2023/11709/A,NR/2023/12814/F,Total
,,HPXL,MANIKARAN,SJVNL,NVVNL,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,NVVNL,TPTCL,PTC,NVVNL,TPTCL,NVVNL,SHPPBPL,SHPPBPL,SHPPBPL,KEIPL,APPCPL,TS1PL_BKN,IEXL,HPXL,GMRETL,NVVNL,TS1PL_BKN,KEIPL,PXIL,SHPPBPL,APPCPL,TPTCL,TPTCL,ITCLH,NVVNL,KEIPL,TPDDL,TS1PL_BKN,IEXL,HPXL,MANIKARAN,STATKRAFT,APPCPL,TPTCL,TPTCL,IEXL,SHPPBPL,GBHHPL,NVVNL,TS1PL_BKN,MANIKARAN,MANIKARAN,Total

,,NA,TAMIL NADU,WEST BENGAL,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,Gujarat,MAHARASHTRA,MEGHALAYA,NA,NA,MEGHALAYA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,Gujarat,DELHI,HIMACHAL PRADESH,TAMIL NADU,MEGHALAYA,ODISHA,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,HIMACHAL PRADESH,
,,Teesta_III,TANGEDCO,IPCL_WB,KAMENG,SHPPBPL,SHPPBPL,SHPPBPL,SHPPBPL,JPNIGRIE_JNSTPP,APNRL,JPNIGRIE_JNSTPP,KAMENG,HP-GOVT,SORANG_HEP,SHPPBPL,SHPPBPL,SHPPBPL,TANGEDCO,HP,TS1PL_BKN,UNOSUGEN,B_S_ISPAT_MH,Meghalaya_Ben,SOLAPUR_SOLAR,TS1PL_BKN,Meghalaya_Ben,BYPL,SHPPBPL,HP,KWHEP,HP-GOVT,ITCWIND,SKS Raigarh,Meghalaya_Ben,CHANJUII,TS1PL_BKN,SUGEN_GUVNL,BYPL,HP,TANGEDCO,Meghalaya_Ben,NBVLIPP,JPL,SAPU1234,SHPPBPL,GBHHPL,SEIL,TS1PL_BKN,TANGEDCO,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,NDMC,TPDDL,MHIL,BMDRC,BAL224,MAX-HPTL,BRPL,TPDDL,TPDDL,BRPL,BRPL,TPDDL,BAL234,BAL184,UHL,BYPL,BRPL,BYPL,BRPL,NDMC,BYPL,MES (Delhi),BRPL,BYPL,ASIL_UP,AISHER,BYPL,BRPL,BRPL,ITCLH,NDMC,BYPL,TPDDL,BYPL,BRPL,TANGEDCO,BRPL,BYPL,BYPL,TPDDL,BRPL,MES (Delhi),JHPL-DL,DIAPL,TPDDL,BRPL,BRPL,BRPL,
,,East-North,South-West-North,East-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,East-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,South-West-North,West-North,North East-East-North,North-North,North-North,West-North,North-East-South,North-North,South-West-North,North East-East-North,East-North,West-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,
1,00:00-00:15,285.320000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,33.650000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,17.200000,12.710000,0.480000,38.690000,63.110000,15.330000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1584.77

2,00:15-00:30,238.900000,64.320000,0.000000,23.800000,0.610000,0.930000,0.520000,0.930000,85.080000,48.360000,48.360000,21.270000,33.650000,0.000000,0.920000,0.370000,0.610000,23.700000,54.160000,0,0.000000,6.770000,23.210000,0,0,36.490000,0.000000,0.820000,23.210000,17.200000,12.710000,0.480000,38.690000,63.110000,15.330000,0,0.000000,0.00,62.870000,98.650000,24.180000,43.520000,255.260000,4.840000,1.020000,30.570000,24.180000,0,23.150000,85.600000,1538.35
