Block,Time,BRBCL,KGSU1AND2,KOTESHWR,KUDGI,NAPP,NTPL,RAMPUR,SIMHST2,UNCHAHAR4,DADRI_RF,JHAJJAR,KKNPPU2,NLCIIST2,NNTPP,RIHAND2,SINGRAULI_HYDRO,TelanganaSTPP,KHSTPP-I,MAPS,NLCIIST1,NLCTS2EXP,RAPPC,RAPPD,RSTPSU1TO6,SEWA2,TANAKPUR,VALLURNTECL,ANTA_GF,AURY_LF,BSIUL,CHAMERA1,FSTPP I & II,RSTPSU7,TALST2,ANTA_LF,CHAMERA3,DULHASTI,KGSU3AND4,NJPC,PARBATI3,SALAL,UNCHAHAR1,UNCHAHAR3,URI,DADRI_CRF,DADRI_GF,DADRT2,DHAULIGNGA,KHSTPP-II,KISHANGANGA,KOLDAM,PARBATI2,RIHAND3,TALA,ANTA_CRF,AURY_CRF,AURY_GF,CHAMERA2,KKNP,RAPPB,SASAN,SINGRAULI,TANDA2,URI2,AURY_RF,NLCEXP,RIHAND1,SIMHST1,TEHRI,UNCHAHAR2,ANTA_RF,DADRI_LF
1,00:00-00:15,20,0,10.43,0,25.9,0,4.89,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,123.21,36.83,0,21.64,27.18,38.64,0,0,288.22,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.67,43.9,51.17,0

2,00:15-00:30,20,0,10.43,0,25.9,0,4.89,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,123.21,36.83,0,21.64,27.18,38.64,0,0,288.22,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.67,43.9,51.17,0

3,00:30-00:45,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,288.22,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.67,43.9,51.17,0

4,00:45-01:00,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,288.22,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.67,43.9,51.17,0

5,01:00-01:15,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,380.82,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.18,43.9,51.17,0

6,01:15-01:30,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,548.92,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.18,43.9,51.17,0

7,01:30-01:45,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,548.92,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,34.18,43.9,51.83,0

8,01:45-02:00,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,38.64,0,0,548.92,10.95,148.3,8.63,9.59,30.06,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,51.83,0

9,02:00-02:15,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,18.9,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,38.64,0,0,548.92,10.95,148.3,8.63,9.59,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,51.83,0

10,02:15-02:30,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,38.64,0,0,548.92,10.95,148.3,8.63,9.59,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,51.83,0

11,02:30-02:45,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,9.59,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,52.22,0

12,02:45-03:00,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,9.59,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,52.22,0

13,03:00-03:15,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,52.22,0

14,03:15-03:30,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,33.76,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,23.11,43.9,52.22,0

15,03:30-03:45,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,11.56,43.9,52.22,0

16,03:45-04:00,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.94,27.68,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,11.56,45,52.22,0

17,04:00-04:15,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,11.56,43.9,52.22,0

18,04:15-04:30,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.79,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,11.56,43.9,52.22,0

19,04:30-04:45,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.64,27.18,49.68,0,0,548.92,10.95,148.3,8.63,4.63,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,3.5,38.1,80.77,0,97.23,0,11.56,43.9,52.22,0

20,04:45-05:00,20,0,10.43,0,25.9,0,4.4,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,6.27,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,110.67,36.83,0,21.94,27.68,49.68,0,0,548.92,10.95,148.3,8.63,2.23,37.57,130.79,0,0,0,0,48.81,0,0,343.12,150.34,5.7,38.1,80.77,0,97.23,0,11.56,45,52.22,0

21,05:00-05:15,20,0,10.43,0,25.9,0,4.89,0,1.9,100.46,447.11,0,0,0,124.58,1,0,45.83,0,0,0,68.56,22.02,0,12.61,0.51,0,0,0,19.56,42.15,20.8,0,0,0,35,59.5,0,123.21,36.83,0,21.64,27.18,49.68,0,0,548.92,21.88,148.3,8.63,2.23,37.57,130.79,0,0,0,0,48.81,0,0,365.62,150.34,3.5,38.1,80.77,0,97.23,0,11.56,43.9,52.22,0

