Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/16/1380,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,NR/2025/25070/A/54820,NR/2024/24418/A/54539,WR/2025/26047/A/54806,NR/2025/25265/A/54770,NR/2025/25266/A/54747,NR/2025/25369/C,NR/2025/25267/A/54778,NR/2025/25371/C,Total
,,BAWANA_GAS,PUNJAB,PTC,PTC,MANIKARAN,APPCPL,APPCPL,DELHI,NDMC,NDMC,NDMC,APPCPL,NDMC,TPTCL,NDMC,NVVNL,ITCLH,APPCPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,SJVNL,OIDLWM3_AEROCITY,SJVNL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,NA,
,,BAWANA_GAS,BAWANA_GAS,BRPL,BYPL,BRPL,BYPL,BYPL,CHANJUII,SKS_Raigarh,RKM_POWER,TRN_ENERGY,BYPL,JPL2,BYPL,RKM_POWER,JIPL,ITCWIND,BRPL,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,TCSPL_BKN2,RSRPL_BKN,
,,HARYANA_STATE,PUNJAB_STATE,HIMACHAL_STATE,HIMACHAL_STATE,MSEB_State,KERALA_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,PUNJAB,HP,HP,AEML,KSEB,AEML,TPDDL,NDMC,NDMC,NDMC,KSEB,NDMC,TPC_MSEB,NDMC,NDMC,ITCLH,GOA_Beneficiary,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,NDMC,OIDLWM3_AEROCITY,NDMC,
,,North-North,North-North,North-North,North-North,North-West,North-West-South,North-West,North-North,West-North,West-North,West-North,North-West-South,West-North,North-West,West-North,East-North,South-West-North,North-West,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

2,00:15-00:30,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

3,00:30-00:45,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

4,00:45-01:00,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

5,01:00-01:15,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

6,01:15-01:30,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

7,01:30-01:45,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

8,01:45-02:00,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

9,02:00-02:15,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

10,02:15-02:30,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

11,02:30-02:45,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

12,02:45-03:00,26.99,26.99,47.56,15.85,0,0,0,1.38,8.65,23.07,8.65,75,23.07,0,23.07,14.28,0.38,0,0,0,0,0,0,294.93999999999994

