Column1,Time,NR/26072023/25122043/L_NR_2023_10,GNA/WR/2025/01/01/8625,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/3733,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/5531,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/02/1250,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925
1,00:00-00:15,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,25.23,20.18,0,0,0,18.81,0,10.17,28.33,0,10.17,30.49,0,0,0,8.67,0,28.34,0,0,0,19.22,28.82,59.41,0,0,1.22,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

2,00:15-00:30,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,25.23,20.18,0,0,0,18.21,0,10.17,28,0,10.17,30.49,0,0,0,8.67,0,28,0,0,0,19.22,28.82,59.41,0,0,1.22,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

3,00:30-00:45,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,25.74,20.18,0,0,0,18.01,0,10.17,28,0,10.17,30.49,0,0,0,8.33,0,28,0,0,0,19.22,28.82,59.41,0,0,1.22,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

4,00:45-01:00,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,26.24,20.18,0,0,0,17.61,0,10.17,27.67,0,10.17,30.49,0,0,0,8.33,0,27.66,0,0,0,19.22,28.82,59.41,0,0,1.22,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

5,01:00-01:15,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,26.24,20.18,0,0,0,25.21,0,10.33,18.33,0,10.33,31.01,0,0,0,8.33,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

6,01:15-01:30,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,26.24,20.18,0,0,0,24.41,0,10.5,18.33,0,10.5,31.5,0,0,0,8.33,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,57.65,0,26.9,0,48.04

7,01:30-01:45,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,26.24,20.18,0,0,0,23.61,0,10.67,18.33,0,10.67,31.99,0,0,0,8.33,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,62.45,0,26.9,0,48.04

8,01:45-02:00,0,0,0,25.94,64.37,1.74,25.94,25.94,0,70.07,74.71,0,25.74,20.18,0,0,0,22.21,0,11.33,18.33,0,11.33,34.01,0,0,0,8.33,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,62.45,0,26.9,0,48.04

9,02:00-02:15,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,25.74,20.18,0,0,0,21.21,0,12,18.33,0,12,36,0,0,0,8.67,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

10,02:15-02:30,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,25.23,20.18,0,0,0,19.6,0,12.5,18.33,0,12.5,37.5,0,0,0,9,0,18.34,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

11,02:30-02:45,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,25.23,20.18,0,0,0,18.4,0,8.33,16.67,0,8.33,25.01,0,0,0,7.33,0,16.66,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

12,02:45-03:00,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,17.2,0,8.33,16.67,0,8.33,25.01,0,0,0,7.33,0,16.66,0,0,0,19.22,28.82,59.41,0,0,1.14,1.57,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

13,03:00-03:15,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

14,03:15-03:30,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

15,03:30-03:45,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

16,03:45-04:00,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.21,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

17,04:00-04:15,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.21,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

18,04:15-04:30,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.61,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

19,04:30-04:45,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,52.84,0,26.9,0,48.04

20,04:45-05:00,0,0,0,24.98,64.37,1.74,24.98,24.98,0,70.07,74.71,0,24.73,20.18,0,0,0,15.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,76.86,0,26.9,0,48.04

21,05:00-05:15,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,23.72,20.18,0,0,0,12.01,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

22,05:15-05:30,0,0,0,24.98,64.37,1.65,24.98,24.98,0,70.07,74.71,0,23.72,20.18,0,0,0,12.21,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

23,05:30-05:45,0,0,0,24.98,82.11,1.65,24.98,24.98,0,65.93,74.71,0,23.72,20.18,0,0,0,12.41,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

24,05:45-06:00,0,0,0,24.98,82.11,1.65,24.98,24.98,0,65.93,74.71,0,23.72,20.18,0,0,0,12.61,0,7.5,15,0,7.5,22.5,0,0,0,7.33,0,15,0,0,0,19.22,28.82,59.41,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

25,06:00-06:15,0,0,0,28.82,100.34,1.74,28.82,28.82,0,65.93,96.08,0,23.72,20.18,0,0,0,12.81,0,7.5,15,0,7.5,22.5,0.67,0,0,7,0,15,0,0,0,19.22,28.82,63.01,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

26,06:15-06:30,0,0,0,28.82,130.43,1.74,28.82,28.82,0,65.93,115.3,0,23.72,20.18,0,0,0,13.21,0,7.5,15,0,7.5,22.5,1.26,0,0.1,6.67,0,15,0,0,0,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

27,06:30-06:45,0,0,0,31.71,130.43,1.74,31.71,31.71,0,65.93,134.03,0,23.72,20.18,0,0,0,16.41,0,7.5,15,0,7.5,22.5,2.84,0,0.22,6.67,0.16,15,0,0,0,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

28,06:45-07:00,0,0,0,31.71,130.43,1.74,31.71,31.71,0,65.93,134.03,0,23.72,20.18,0,0,0,16.61,0,7.5,15,0,7.5,22.5,5.78,1,0.32,6.67,3.53,15,0,0,0,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

29,07:00-07:15,0,50,0.02,31.71,130.43,1.65,31.71,31.71,0.02,65.93,134.03,0.02,23.21,20.18,0,0,0,13.21,0,7.5,15,0.6,7.5,22.5,13.91,3,1.12,6.67,13.07,15,0,1,2,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

30,07:15-07:30,0,50,0.08,31.71,130.43,1.65,31.71,31.71,0.08,114.91,134.03,0.08,22.71,20.18,0,0,0,13.21,1,7.5,15,5.52,7.5,22.5,24.02,7,2.47,6.67,24.15,15,1,2,3,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

31,07:30-07:45,1,50,0.18,36.51,130.43,1.65,36.51,36.51,0.19,114.91,134.03,0.18,22.71,20.18,1,0.37,1.84,13.61,4,7.5,15,13.92,7.5,22.5,31.94,12,6.78,6.67,31.95,15,2,3,5,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

32,07:45-08:00,3,50,0.56,36.51,130.43,1.65,36.51,36.51,0.57,114.91,134.03,0.56,23.21,20.18,2,1.66,8.31,14.41,7,7.5,15,22.08,7.5,22.5,28.75,20,8.45,6.67,28.75,15,2,5,7,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

33,08:00-08:15,6,50,1.27,43.24,130.43,1.74,36.51,36.51,1.3,114.91,134.03,1.27,23.72,20.18,4,4.2,20.99,13.01,14,7.5,15,31.54,7.5,22.5,26.5,26.5,10.53,6.67,26.5,15,5,9,11,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

34,08:15-08:30,12,50,2.41,43.24,130.43,1.74,36.51,36.51,2.47,114.91,134.03,2.41,24.22,20.18,5,8.18,40.91,13.21,28,7.5,15,43.03,7.5,22.5,28.06,28.07,15.76,6.67,28.07,15,8,15,15,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

35,08:30-08:45,24,50,3.71,43.24,130.43,1.74,36.51,36.51,3.81,114.91,134.03,3.71,24.73,20.18,8,13.34,66.67,13.41,56,7.5,15,55.78,7.5,22.5,29.56,29.57,20.99,6.67,29.57,15,13,27,23,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

36,08:45-09:00,31,50,4.83,43.24,130.43,1.74,36.51,36.51,4.96,114.91,134.03,4.83,24.73,20.18,12,17.66,88.31,13.61,74,7.5,15,68.47,7.5,22.5,29.56,29.57,26.23,6.67,29.57,15,18,37,33,19.22,28.82,86.66,0,0,1.14,1.53,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

37,09:00-09:15,37,0,5.95,43.24,130.43,1.65,36.51,36.51,6.1,114.91,134.03,5.95,25.23,20.18,22,21.95,109.72,14.01,88,5.83,13.33,80.28,5.83,17.51,29.56,29.57,32.25,5.33,29.57,13.34,23,47,45,19.22,28.82,86.66,0,0,1.14,1.48,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

38,09:15-09:30,43,0,7.9,43.24,130.43,1.65,36.51,36.51,8.09,114.91,134.03,7.9,25.74,20.18,25,25.79,128.92,14.01,102,5.83,13.33,90.87,5.83,17.51,30.56,30.57,40.89,5.33,30.57,13.34,27,53,53,19.22,28.82,86.66,0,0,1.14,1.48,0,48.04,8.65,48.04,100.1,0,26.9,0,48.04

