Block,Time,L_NR_2020_02,SH-06,L_NR_2019_11,LT-31,LT-59,L_NR_2019_07,L_NR_2012_01,L_NR_2021_12,L_NR_2019_05,L_NR_2020_05,L_NR_2018_61,L_NR_2023_04,LT-35,L_NR_2020_06,L_NR_2021_15,LT-36,L_NR_2020_07,L_NR_2023_07,LT-05,L_NR_2019_06,L_NR_2012_02,L_NR_2022_08,L_NR_2022_09,L_NR_2021_13,L_NR_2021_14,L_NR_2019_19,L_NR_2022_10,L_NR_2021_17,L_NR_2012_04,L_NR_2021_16,L_NR_2023_10,SH-07,L_NR_2012_07
1,00:00-00:15,8.560000,30.950000,9.850000,0.000000,10.350000,0,101.320000,0,0,92.07,21.65,27.800000,0.000000,30.69,0,0.000000,30.7,0,116.090000,0,174.110000,27.76,63.78,0,0,0,63.78,0,272.050000,0,0,30.950000,74.170000

2,00:15-00:30,8.560000,30.950000,9.850000,0.000000,10.350000,0,101.320000,0,0,91.49,21.62,27.800000,0.000000,30.5,0,0.000000,30.49,0,116.090000,0,174.110000,27.73,63.66,0,0,0,63.66,0,272.050000,0,0,30.950000,74.170000

3,00:30-00:45,8.560000,30.240000,9.850000,0.000000,10.350000,0,101.320000,0,0,100.46,16.17,27.800000,0.000000,33.49,0,0.000000,33.48,0,116.090000,0,174.110000,30.18,66.73,0,0,0,66.73,0,272.050000,0,0,30.240000,74.170000

4,00:45-01:00,8.560000,30.950000,9.850000,0.000000,10.350000,0,101.320000,0,0,99.1,16.09,27.800000,0.000000,33.03,0,0.000000,33.03,0,116.090000,0,174.110000,28.9,67.07,0,0,0,67.07,0,272.050000,0,0,30.950000,74.170000

5,01:00-01:15,8.370000,30.950000,9.850000,0.000000,10.350000,0,101.320000,0,0,99.07,15.75,28.770000,0.000000,33.02,0,0.000000,33.03,0,116.090000,0,174.110000,29.18,67.24,0,0,0,67.24,0,272.050000,0,0,30.950000,74.170000

