Block,Time,LT-05,SH-07,L_NR_2012_04,L_NR_2012_07,LT-31,L_NR_2020_02,L_NR_2019_19,LT_MEJA_Delhi,LT-35,LT-59,L_NR_2012_02,SH-06,LT-36,L_NR_2023_04,L_NR_2019_11,L_NR_2012_01,L_NR_2022_09,L_NR_2020_06,L_NR_2021_14,L_NR_2022_08,L_NR_2018_61,L_NR_2021_16,L_NR_2020_05,L_NR_2019_07,L_NR_2019_06,L_NR_2021_15,L_NR_2021_12,L_NR_2022_10,L_NR_2019_05,L_NR_2020_07,L_NR_2021_17,L_NR_2021_13
1,00:00-00:15,107.930000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,3.080000,0.000000,5.600000,241.620000,0.000000,0.000000,0.000000,5.990000,48.340000,72.35,40.58,0,10.11,9.13,0,121.73,0,0,0,0,72.35,0,40.57,0,0

2,00:15-00:30,107.930000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,3.080000,0.000000,5.600000,241.620000,0.000000,0.000000,0.000000,5.990000,48.340000,72.36,40.56,0,10.54,9.33,0,121.69,0,0,0,0,72.36,0,40.57,0,0

3,00:30-00:45,107.930000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,3.080000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.5,40.56,0,10.78,7.36,0,121.68,0,0,0,0,72.5,0,40.56,0,0

4,00:45-01:00,107.930000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,3.080000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.39,40.54,0,10.84,7.32,0,121.62,0,0,0,0,72.39,0,40.54,0,0

5,01:00-01:15,103.660000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,2.630000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.64,40.63,0,11.08,7.34,0,121.9,0,0,0,0,72.64,0,40.64,0,0

6,01:15-01:30,99.400000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,2.320000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.64,40.59,0,11.12,7.22,0,121.77,0,0,0,0,72.64,0,40.59,0,0

7,01:30-01:45,95.120000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,1.930000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.41,40.54,0,11.21,7.4,0,121.61,0,0,0,0,72.41,0,40.53,0,0

8,01:45-02:00,90.860000,0.000000,271.910000,74.400000,0.000000,5.860000,0.000000,1.930000,0.000000,5.600000,225.060000,0.000000,0.000000,0.000000,5.990000,48.340000,72.47,40.49,0,11.28,7.24,0,121.47,0,0,0,0,72.47,0,40.49,0,0

9,02:00-02:15,86.600000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.6,40.64,0,11.74,7.31,0,121.92,0,0,0,0,72.6,0,40.63,0,0

10,02:15-02:30,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.65,40.61,0,11.96,7.25,0,121.84,0,0,0,0,72.65,0,40.62,0,0

11,02:30-02:45,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.66,40.57,0,11.99,7.37,0,121.71,0,0,0,0,72.66,0,40.56,0,0

12,02:45-03:00,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.62,40.52,0,11.76,7.36,0,121.57,0,0,0,0,72.62,0,40.54,0,0

13,03:00-03:15,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.34,40.54,0,11.7,7.23,0,121.61,0,0,0,0,72.34,0,40.54,0,0

14,03:15-03:30,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,225.060000,0.000000,0.000000,0.000000,5.840000,48.340000,72.58,40.62,0,11.97,7.39,0,121.88,0,0,0,0,72.58,0,40.63,0,0

15,03:30-03:45,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,261.620000,0.000000,0.000000,0.000000,5.840000,48.340000,72.45,40.55,0,11.67,7.34,0,121.65,0,0,0,0,72.45,0,40.55,0,0

16,03:45-04:00,85.170000,0.000000,271.910000,74.400000,0.000000,5.710000,0.000000,1.930000,0.000000,5.440000,261.620000,0.000000,0.000000,0.000000,5.840000,48.340000,72.41,40.5,0,11.79,7.27,0,121.51,0,0,0,0,72.41,0,40.51,0,0

17,04:00-04:15,85.170000,0.000000,271.910000,74.400000,0.000000,5.580000,0.000000,1.930000,0.000000,5.290000,261.620000,0.000000,0.000000,0.000000,5.840000,48.340000,72.66,40.63,0,11.69,7.24,0,121.88,0,0,0,0,72.66,0,40.62,0,0

