Block,Time,CHAMERA1,CHAMERA3,KKNP,NAPP,RAPPC,RSTPSU7,TALA,TEHRI,TelanganaSTPP,DADRI_CRF,KGSU3AND4,NLCIIST1,PARBATI2,RAMPUR,RSTPSU1TO6,SINGRAULI,VALLURNTECL,BRBCL,DHAULIGNGA,JHAJJAR,NNTPP,RAPPD,RIHAND1,RIHAND3,TANAKPUR,UNCHAHAR1,UNCHAHAR4,URI,AURY_GF,DADRI_GF,DADRI_RF,KGSU1AND2,KHSTPP-II,NLCIIST2,SALAL,SASAN,TANDA2,UNCHAHAR2,UNCHAHAR3,ANTA_RF,CHAMERA2,KHSTPP-I,KKNPPU2,KOTESHWR,KUDGI,SINGRAULI_HYDRO,ANTA_GF,DADRI_LF,BSIUL,KISHANGANGA,PARBATI3,RAPPB,SIMHST1,ANTA_LF,AURY_CRF,MAPS,NJPC,NTPL,SEWA2,TALST2,URI2,ANTA_CRF,DADRT2,DULHASTI,FSTPP I & II,KOLDAM,NLCEXP,NLCTS2EXP,RIHAND2,SIMHST2,AURY_LF,AURY_RF
1,00:00-00:15,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,454.77,0,21.66,81.37,130.79,6.27,21.94,2.1,52.36,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,33.76,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,9.59,0,0,124.58,0,0,80.77

2,00:15-00:30,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,454.77,0,21.66,81.37,130.79,6.27,21.94,2.1,52.36,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,33.76,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,9.59,0,0,124.58,0,0,80.77

3,00:30-00:45,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,454.77,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,33.76,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,9.59,0,0,124.58,0,0,80.77

4,00:45-01:00,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,33.76,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,9.59,0,0,124.58,0,0,80.77

5,01:00-01:15,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,36.83,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

6,01:15-01:30,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,0,0,0,19.56,7.58,36.83,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

7,01:30-01:45,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,1.02,0,0,19.56,7.58,36.83,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

8,01:45-02:00,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,6.27,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.17,48.81,45.53,0,10.43,0,1.02,0,0,19.56,7.58,36.83,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

9,02:00-02:15,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,0,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.83,48.81,45.53,0,10.43,0,1.02,0,0,13.04,8.49,38.36,0,0,0,0,0,138.33,0,0,0,38.1,0,520.47,59.5,20.8,7.19,0,0,124.58,0,0,80.77

10,02:15-02:30,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,0,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.83,48.81,45.53,0,10.43,0,1.02,0,0,13.04,8.49,38.36,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

11,02:30-02:45,42.15,35,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,0,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.83,48.81,45.53,0,10.43,0,1.02,0,0,13.04,8.49,38.36,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

12,02:45-03:00,42.15,23.33,0,25.77,69.07,0,0,32.26,0,0,0,0,30.06,5.5,0,150.34,0,20,10.95,670.67,0,21.66,81.37,130.79,0,21.94,2.1,50.79,0,0,98.41,0,148.3,0,66.82,418.77,4.8,44.3,27.68,51.83,48.81,45.53,0,10.43,0,1.02,0,0,13.04,8.49,38.36,0,0,0,0,0,138.33,0,0,0,38.1,0,548.92,59.5,20.8,7.19,0,0,124.58,0,0,80.77

