Time,Block,NR/2024/18919/A/16556,NR/2024/19483/A/16678,NR/2024/19290/A/16714,NR/2024/19596/C,NR/2024/18986/A/15951,NR/2024/18936/A/16005,NR/2024/19075/A/15988,NR/2024/19469/A/16066,NR/2024/19601/C,NR/2024/19245/A/16068,NR/2024/19577/C,NR/2024/19115/A/15986,NR/2024/19024/A/16069,NR/2024/19121/A/16092,NR/2024/19485/A/16680,NR/2024/19604/C,NR/2024/19582/C,NR/2024/19337/A/16067,NR/2024/19607/C,NR/2024/18935/A/16004,NR/2024/19594/C,NR/2024/18977/A/16062,NR/2024/19606/C,NR/2024/19598/C,NR/2024/19484/A/16679,NR/2024/18976/A/16021,NR/2024/19610/C,NR/2024/18978/A/16023,NR/2024/18934/A/16001,NR/2024/19030/A/16003,NR/2024/19043/A/15996,NR/2024/19143/A/15984,NR/2024/19602/C,NR/2024/18855/A/16093,NR/2024/18996/A/16578,NR/2024/19172/A/16715,NR/2024/19581/C,Total
,,APPCPL,NVVNL,TPDDL,PXIL,ITCLH,PXIL,IEXL,DIAPL,IEXL,DIAPL,IEXL,IEXL,DIAPL,GMRETL,NVVNL,IEXL,NVVNL,DIAPL,HPXL,PXIL,IEXL,PXIL,HPXL,IEXL,NVVNL,PXIL,HPXL,PXIL,PXIL,IEXL,IEXL,IEXL,HPXL,GMRETL,PTC,TPDDL,NVVNL,Total

,,NAGALAND,NA,NA,KERALA,ANDHRA PRADESH,TAMIL NADU,ODISHA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,RAJASTHAN,NA,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,NA,NA,MEGHALAYA,NA,NA,ODISHA,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,NA,NA,DELHI,KERALA,RAJASTHAN,MAHARASHTRA,NA,NA,
,,Nagaland_Ben,SKS Raigarh,JHAJJAR,KSEB,ITCWIND,SAKTHISUGARSLTD,VSL,GBHHPL,MCCPL,GBHHPL,SEIL,SWPL,GBHHPL,RUVNL,RKM_POWER,JPL,KAMENG,GBHHPL,DBPL,SAKTHISUGARS_ELMTN,SORANG_HEP,MEENAKSHI,Meghalaya_Ben,SINGOLI,RKM_POWER,FACORPOWER,GBHHPL,BIRLACARBONTN,SAKTHISUGRAR_TN,JHABUA_IPP,MBMP,EDWPCL12,KSEB,RUVNL,JPL_DHULE,JHAJJAR,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,NDMC,TPDDL,BRPL,ITCLH,BRPL,BRPL,DIAPL,BYPL,DIAPL,TPDDL,BRPL,DIAPL,BYPL,NDMC,TPDDL,TPDDL,DIAPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,UPPCL,BRPL,BYPL,BRPL,TPDDL,MES (Delhi),
,,North East-East-North,West-North,North-North,South-West-North,South-West-North,South-West-North,East-North,North-North,West-East-North,North-North,South-East-North,West-East-North,North-North,North-North,West-North,West-East-North,North East-East-North,North-North,West-North,South-West-North,North-North,South-West-North,North East-East-North,North-North,West-North,East-West-North,North-North,South-West-North,South-West-North,West-East-North,West-East-North,North-North,South-East-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,9.650000,12.430000,67.570000,289.590000,0.530000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,58.880000,38.610000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1366.23

2,00:15-00:30,9.650000,12.430000,67.570000,289.590000,0.530000,0.000000,0.000000,0.000000,39.580000,0.000000,193.060000,0.000000,4.830000,0.000000,37.290000,96.530000,52.510000,1.930000,48.260000,0.000000,38.610000,0.000000,58.880000,38.610000,37.290000,0.000000,57.920000,0.000000,0.000000,0.000000,0.000000,2.000000,96.530000,66.790000,0.000000,115.840000,0,1366.23
