Block,Time,LT-35,SH-07,LT-36,SH-06,L_NR_2012_02,L_NR_2020_05,L_NR_2022_10,L_NR_2019_05,L_NR_2012_07,LT_MEJA_Delhi,L_NR_2012_01,L_NR_2019_06,L_NR_2022_08,L_NR_2020_06,L_NR_2012_04,L_NR_2020_02,L_NR_2019_11,LT-59,L_NR_2022_09,L_NR_2019_07,LT-31,L_NR_2019_19,LT-05,L_NR_2020_07,L_NR_2021_15,L_NR_2021_12,L_NR_2018_61,L_NR_2021_17,L_NR_2021_13,L_NR_2021_16,L_NR_2021_14
1,00:00-00:15,0.000000,18.710000,0.000000,30.860000,130.500000,41.54,35.26,0,76.120000,11.440000,101.030000,0,6.02,13.85,271.270000,3.250000,3.140000,2.800000,35.26,0,0.000000,0.000000,115.420000,13.84,0,0,3.02,0,0,0,0

2,00:15-00:30,0.000000,18.710000,0.000000,30.860000,130.500000,41.81,35.11,0,76.120000,11.440000,101.030000,0,5.97,13.94,271.270000,3.250000,3.140000,2.800000,35.11,0,0.000000,0.000000,115.420000,13.93,0,0,3.02,0,0,0,0

3,00:30-00:45,0.000000,18.710000,0.000000,30.860000,89.570000,42.09,34.77,0,55.480000,6.380000,97.280000,0,5.93,14.03,271.270000,3.250000,3.140000,3.110000,34.77,0,0.000000,0.000000,115.420000,14.03,0,0,2.94,0,0,0,0

4,00:45-01:00,0.000000,18.710000,0.000000,30.860000,89.570000,42.3,34.82,0,55.480000,6.380000,97.280000,0,5.89,14.1,271.270000,3.250000,3.140000,3.110000,34.82,0,0.000000,0.000000,115.420000,14.1,0,0,2.82,0,0,0,0

5,01:00-01:15,0.000000,18.710000,0.000000,30.860000,89.570000,42.47,33.46,0,55.480000,6.380000,97.280000,0,5.87,14.16,271.270000,3.250000,3.140000,3.110000,33.46,0,0.000000,0.000000,115.420000,14.14,0,0,7.1,0,0,0,0

6,01:15-01:30,0.000000,25.480000,0.000000,30.860000,73.150000,42.72,31.95,0,46.500000,6.380000,48.220000,0,5.85,14.24,271.270000,3.250000,3.140000,3.110000,31.95,0,0.000000,0.000000,94.610000,14.24,0,0,7.11,0,0,0,0

7,01:30-01:45,0.000000,25.480000,0.000000,30.860000,73.150000,34.22,22.59,0,46.500000,6.380000,48.220000,0,5.84,11.41,271.270000,3.250000,3.140000,3.110000,22.59,0,0.000000,0.000000,70.390000,11.41,0,0,7.12,0,0,0,0

