Time,Block,NR/2024/18759/A/11151,NR/2024/18807/A/11360,SR/2024/12632/C,NR/2024/18874/A/11363,NR/2024/18921/C,NR/2024/18806/A/11209,Total
,,ITCLH,DIAPL,IEXL,DIAPL,NVVNL,IEXL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,KARNATAKA,
,,ITCWIND,GBHHPL,BYPL,GBHHPL,SOLAPUR_SOLAR,NSLSUGARALAND,
,,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,
,,ITCLH,DIAPL,TANGEDCO,DIAPL,MES (Delhi),MES (Delhi),
,,South-West-North,North-North,North-East-South,North-North,West-North,South-East-North,
1,00:00-00:15,0.480000,0.000000,5.00,1.930000,0,9.650000,17.06

2,00:15-00:30,0.480000,0.000000,20.00,1.930000,0,9.650000,32.06

3,00:30-00:45,0.480000,0.000000,30.00,1.930000,0,9.650000,42.06

4,00:45-01:00,0.480000,0.000000,40.00,1.930000,0,9.650000,52.06

5,01:00-01:15,0.480000,0.000000,50.00,1.930000,0,9.650000,62.06

6,01:15-01:30,0.480000,0.000000,65.00,1.930000,0,9.650000,77.06

7,01:30-01:45,0.480000,0.000000,70.00,1.930000,0,9.650000,82.06

8,01:45-02:00,0.480000,0.000000,85.00,1.930000,0,9.650000,97.06

9,02:00-02:15,0.480000,0.000000,95.00,1.930000,0,9.650000,107.06

10,02:15-02:30,0.480000,0.000000,105.00,1.930000,0,9.650000,117.06

11,02:30-02:45,0.480000,0.000000,115.00,1.930000,0,9.650000,127.06

12,02:45-03:00,0.480000,0.000000,84.00,1.930000,0,9.650000,96.06

13,03:00-03:15,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

14,03:15-03:30,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

15,03:30-03:45,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

16,03:45-04:00,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

17,04:00-04:15,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

18,04:15-04:30,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

19,04:30-04:45,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

20,04:45-05:00,0.430000,0.000000,0.00,1.930000,0,9.650000,12.01

21,05:00-05:15,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

22,05:15-05:30,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

23,05:30-05:45,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

24,05:45-06:00,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

25,06:00-06:15,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

26,06:15-06:30,0.480000,0.000000,0.00,1.930000,0,9.650000,12.06

27,06:30-06:45,0.480000,0.000000,0.00,1.930000,0.14,9.650000,12.2

28,06:45-07:00,0.480000,0.000000,0.00,1.930000,0.54,9.650000,12.6

29,07:00-07:15,0.530000,0.000000,0.00,1.930000,0.9,9.650000,13.01

30,07:15-07:30,0.530000,0.000000,0.00,1.930000,1.35,9.650000,13.46

31,07:30-07:45,0.530000,0.000000,0.00,1.930000,1.89,9.650000,14

32,07:45:08:00,0.530000,0.000000,0.00,1.930000,2.49,9.650000,14.6

33,08:00-08:15,0.960000,0.000000,0.00,1.930000,3.05,9.650000,15.59

34,08:15-08:30,0.960000,0.000000,0.00,1.930000,3.66,9.650000,16.2

35,08:30-08:45,0.960000,0.000000,0.00,1.930000,4.25,9.650000,16.79

36,08:45:09:00,0.960000,0.000000,0.00,1.930000,4.79,9.650000,17.33

37,09:00:09:15,0.920000,0.000000,0.00,1.930000,5.43,9.650000,17.93

38,09:15-09:30,0.920000,0.000000,0.00,1.930000,5.99,9.650000,18.49

39,09:30-09:45,0.920000,0.000000,0.00,1.930000,6.46,9.650000,18.96

40,09:45-10:00,0.920000,0.000000,0.00,1.930000,6.66,9.650000,19.16

41,10:00-10:15,0.920000,0.000000,0.00,1.930000,6.75,9.650000,19.25

42,10:15-10:30,0.920000,0.000000,0.00,1.930000,6.95,9.650000,19.45

43,10:30-10:45,0.920000,0.000000,0.00,1.930000,7.24,9.650000,19.74

44,10:45-11:00,0.920000,0.000000,0.00,1.930000,7.33,9.650000,19.83

45,11:00-11:15,0.920000,0.000000,0.00,1.930000,7.57,9.650000,20.07

46,11:15-11:30,0.920000,0.000000,0.00,1.930000,7.72,9.650000,20.22

47,11:30-11:45,0.920000,0.000000,0.00,1.930000,7.81,9.650000,20.31

48,11:45-12:00,0.920000,0.000000,0.00,1.930000,7.91,9.650000,20.41

49,12:00-12:15,0.920000,0.000000,0.00,1.930000,8.06,9.650000,20.56

50,12:15-12:30,0.920000,0.000000,0.00,1.930000,8.1,9.650000,20.6

51,12:30-12:45,0.920000,0.000000,0.00,1.930000,8.25,9.650000,20.75

52,12:45-13:00,0.920000,0.000000,0.00,1.930000,8.3,9.650000,20.8

53,13:00-13:15,0.820000,0.000000,0.00,1.930000,8.44,9.650000,20.84

54,13:15-13:30,0.820000,0.000000,0.00,1.930000,8.59,9.650000,20.99

55,13:30-13:45,0.820000,0.000000,0.00,1.930000,8.78,9.650000,21.18

56,13:45-14:00,0.820000,0.000000,0.00,1.930000,8.63,9.650000,21.03

57,14:00-14:15,0.920000,1.930000,0.00,1.930000,8.49,9.650000,22.92

58,14:15-14:30,0.920000,1.930000,0.00,1.930000,8.2,9.650000,22.63

59,14:30-14:45,0.920000,1.930000,0.00,1.930000,7.91,9.650000,22.34

60,14:45-15:00,0.920000,1.930000,0.00,1.930000,7.33,9.650000,21.76

61,15:00-15:15,0.920000,1.930000,0.00,1.930000,6.56,9.650000,20.99

62,15:15-15:30,0.920000,1.930000,0.00,1.930000,6.27,9.650000,20.7

63,15:30-15:45,0.920000,1.930000,0.00,1.930000,5.98,9.650000,20.41

64,15:45-16:00,0.920000,1.930000,0.00,1.930000,5.6,9.650000,20.03

65,16:00-16:15,0.630000,1.930000,0.00,1.930000,5.21,9.650000,19.35

66,16:15-16:30,0.630000,1.930000,0.00,1.930000,4.82,9.650000,18.96

67,16:30-16:45,0.630000,1.930000,0.00,1.930000,4.34,9.650000,18.48

68,16:45-17:00,0.630000,1.930000,0.00,1.930000,3.42,9.650000,17.56

69,17:00-17:15,0.630000,1.930000,0.00,1.930000,1.98,9.650000,16.12

70,17:15-17:30,0.630000,1.930000,0.00,1.930000,1.37,9.650000,15.51

71,17:30-17:45,0.630000,1.930000,0.00,1.930000,0.73,9.650000,14.87

72,17:45-18:00,0.630000,1.930000,0.00,1.930000,0.13,9.650000,14.27

73,18:00-18:15,0.630000,1.930000,0.00,1.930000,0.17,9.650000,14.31

74,18:15-18:30,0.630000,1.930000,0.00,1.930000,0,9.650000,14.14

75,18:30-18:45,0.630000,1.930000,0.00,1.930000,0,9.650000,14.14

76,18:45-19:00,0.630000,1.930000,0.00,1.930000,0,9.650000,14.14

77,19:00-19:15,0.720000,1.930000,0.00,1.930000,0,9.650000,14.23

78,19:15-19:30,0.720000,1.930000,0.00,1.930000,0,9.650000,14.23

79,19:30-19:45,0.720000,1.930000,0.00,1.930000,0,9.650000,14.23

80,19:45-20:00,0.720000,1.930000,0.00,1.930000,0,9.650000,14.23

81,20:00-20:15,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

82,20:15-20:30,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

83,20:30-20:45,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

84,20:45-21:00,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

85,21:00-21:15,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

86,21:15-21:30,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

87,21:30-21:45,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

88,21:45-22:00,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

89,22:00-22:15,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

90,22:15-22:30,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

91,22:30-22:45,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

92,22:45-23:00,0.680000,1.930000,0.00,1.930000,0,9.650000,14.19

93,23:00-23:15,0.630000,1.930000,0.00,1.930000,0,9.650000,14.14

94,23:15-23:30,0.630000,1.930000,0.00,1.930000,0,9.650000,14.14

